method,p,q,R2
L1,0.25,2.0,0.00033000782739134316
L1,0.25,0.25,0.000253630923127357
L1,0.25,1.0,0.0003381207504249417
L1,0.25,0.5,0.00042982968682792055
subtract,0.25,0.25,0.0002762579470463322
average,0.25,0.25,0.00044347726808335874
L1,0.5,1.0,0.0004348519351483615
L1,0.5,4.0,0.0003812764984386652
L1,0.25,4.0,0.00035529958496782754
L1,0.5,0.5,0.00031037789857168985
subtract,0.25,2.0,0.0003810054745823077
subtract,0.25,1.0,0.0004430374189191566
L1,0.5,0.25,0.000290550234746334
L1,0.5,2.0,0.00030421518515977297
average,0.25,1.0,0.00042463607378773194
average,0.25,0.5,0.00024492098098094495
subtract,0.25,0.5,0.0003933416848758142
average,0.5,0.5,0.00036187429522682724
average,0.5,4.0,0.00043663434342500196
subtract,0.5,2.0,0.00035712166763712805
average,0.25,4.0,0.000362816784303277
subtract,0.5,1.0,0.000575352473839108
average,0.5,0.25,0.0005381011554980164
average,0.5,1.0,0.0003866565102050856
average,0.5,2.0,0.0003544352549521568
average,0.25,2.0,0.0004470701499086349
L2,0.25,0.25,0.00017096483072076563
L2,0.25,1.0,0.00026134590547421954
L2,0.5,0.25,0.00020293769221935154
hadamard,0.25,0.25,0.0009159456357223927
L2,0.25,4.0,0.00023179039913867605
L2,0.5,0.5,0.0002332379626136527
L2,0.5,1.0,0.000269881854790599
L2,0.5,2.0,0.00017483757131153688
hadamard,0.25,0.5,0.0005453271904138912
L2,0.25,2.0,0.00022316859829463187
hadamard,0.5,1.0,0.0008795070884020095
hadamard,0.5,0.5,0.0009981306116514377
L2,0.25,0.5,0.000236943363154829
hadamard,0.25,4.0,0.000973963023916502
hadamard,0.25,2.0,0.0008033447766767621
hadamard,0.25,1.0,0.0013014751102433664
hadamard,0.5,2.0,0.0007496367330888098
hadamard,0.5,0.25,0.0009874288601253722
hadamard,0.5,4.0,0.0010984064293945162
L1,1.0,0.25,0.000338230017463248
L1,1.0,0.5,0.00039512487379445016
average,1.0,0.25,0.00040689820452766146
subtract,0.5,4.0,0.00038533912551941274
L1,1.0,1.0,0.00026039728207716273
subtract,1.0,0.25,0.00034762724897741126
subtract,1.0,0.5,0.0005299162892429266
subtract,1.0,1.0,0.0002802404779237433
average,1.0,1.0,0.00041604887944968194
average,1.0,0.5,0.00047215817776624647
L2,1.0,0.25,0.00019558686597997976
L1,1.0,2.0,0.0004780720627887147
L1,1.0,4.0,0.0003420612502239573
average,1.0,2.0,0.00025178428745742387
L1,2.0,0.25,0.0003794940807827496
L2,0.5,4.0,0.00021742937750446334
subtract,1.0,4.0,0.00033769263717764453
L2,1.0,1.0,0.00013422631574622201
average,2.0,0.5,0.000384695613631747
L1,2.0,0.5,0.00038043183940139613
hadamard,1.0,1.0,0.0008542170847467556
average,1.0,4.0,0.0004747601719504724
L1,2.0,1.0,0.00032387698466362913
L2,1.0,0.5,0.0002167486139476038
subtract,1.0,2.0,0.0005077225212233305
subtract,2.0,0.5,0.00046226455214559703
hadamard,1.0,0.25,0.000902009580373786
average,2.0,0.25,0.0006235502979882179
hadamard,1.0,0.5,0.000911786515654045
average,2.0,1.0,0.0003989986125659817
subtract,2.0,0.25,0.0004191754593414476
hadamard,1.0,2.0,0.0008122774101343433
L2,1.0,2.0,0.0002805636496425734
subtract,2.0,1.0,0.0004133882507337816
hadamard,1.0,4.0,0.0009821954525063292
hadamard,2.0,0.25,0.001232914315002831
L1,2.0,2.0,0.00035102782288498613
hadamard,2.0,0.5,0.0009188381543765445
L2,2.0,0.5,0.0002288298552415302
L2,1.0,4.0,0.0002244616382822695
average,2.0,2.0,0.00042249143300399084
L2,2.0,0.25,0.0002786126520297749
subtract,2.0,2.0,0.00041118438192422335
L2,2.0,1.0,0.00021673030849744812
average,2.0,4.0,0.0005070018108094265
hadamard,2.0,1.0,0.0009496896940656141
L2,2.0,2.0,0.0002228491543371236
hadamard,2.0,2.0,0.0009932056546981816
L1,4.0,0.25,0.00044244413495453383
subtract,2.0,4.0,0.0004772300879649638
L1,4.0,0.5,0.0004555542350080932
average,4.0,0.25,0.0004923568032140224
subtract,4.0,0.25,0.00047618892045919736
L2,4.0,0.5,0.0002580472123527855
L1,2.0,4.0,0.0003438600755477639
hadamard,2.0,4.0,0.001043000491504964
average,4.0,0.5,0.0004375948816939257
hadamard,4.0,0.5,0.000881788596855726
L2,4.0,0.25,0.0002383481100719509
L1,4.0,1.0,0.0005804897377071905
subtract,4.0,2.0,0.0003629361770162154
L2,4.0,1.0,0.00038856983815005464
hadamard,4.0,0.25,0.0009483820035010027
L2,2.0,4.0,0.00017472023646269985
L2,4.0,2.0,0.00016698576737661508
hadamard,4.0,2.0,0.0008505965747503952
L1,4.0,2.0,0.0002921819644842172
average,4.0,1.0,0.0005626028613133771
L1,4.0,4.0,0.0002637124216632314
hadamard,4.0,1.0,0.0014773850843575742
average,4.0,2.0,0.00032432882690125453
average,4.0,4.0,0.0003588503368072704
subtract,4.0,4.0,0.0004094678152761766
hadamard,4.0,4.0,0.0008775311224830107
