method,p,q,R2
L1,0.5,1.0,0.5772010905370188
L2,0.5,1.0,0.5738396547661979
hadamard,0.25,1.0,0.5662148675389592
L1,0.5,2.0,0.5642934612148647
L1,2.0,0.25,0.5613311226353948
hadamard,2.0,1.0,0.5602292060081902
hadamard,1.0,1.0,0.5593646746405487
L1,2.0,0.5,0.5575439654396099
L1,4.0,2.0,0.555037866832933
L1,0.5,4.0,0.5518157273673473
L2,2.0,0.5,0.549403581467575
L1,1.0,1.0,0.5477551200946628
hadamard,1.0,0.5,0.5453915997664052
L1,0.25,4.0,0.5446747666014662
L2,0.25,2.0,0.5428649363359737
hadamard,2.0,0.5,0.541758493926959
hadamard,2.0,2.0,0.5415841999641788
L2,2.0,0.25,0.5412405243929991
L1,0.25,2.0,0.5411977972521148
L1,0.25,0.5,0.5410189536542755
hadamard,2.0,0.25,0.5404452522836769
hadamard,0.5,4.0,0.5400382373276749
L1,4.0,1.0,0.5394375205396285
L1,1.0,4.0,0.5393322987790932
L2,0.5,4.0,0.5393044016654078
L1,2.0,2.0,0.5390950556579371
hadamard,4.0,4.0,0.5383207313641947
hadamard,0.5,0.5,0.5357143324466638
L1,1.0,0.5,0.5354182901650215
L2,0.5,0.25,0.5350863494459104
L2,1.0,4.0,0.5337698724176659
L2,1.0,0.5,0.5335252867700765
hadamard,0.25,0.5,0.5323959362255934
L1,0.5,0.25,0.5313188899044825
hadamard,1.0,0.25,0.5305980666794048
L2,2.0,2.0,0.5297990824751251
hadamard,1.0,2.0,0.5290115427694008
L1,1.0,2.0,0.5290058244523864
L1,0.25,0.25,0.5283417399089826
L1,2.0,1.0,0.527702180664459
L2,1.0,0.25,0.526984066946842
L1,1.0,0.25,0.5260973859472733
L2,0.5,2.0,0.5239567403273933
L2,0.25,0.5,0.5217265183466866
L2,1.0,1.0,0.521656253517368
L2,4.0,0.25,0.5206399574366197
hadamard,0.25,2.0,0.5181567223793733
hadamard,0.25,0.25,0.5167888260633046
L2,2.0,1.0,0.5163242308463474
hadamard,0.25,4.0,0.5158030380997847
L2,0.25,4.0,0.5137663058807507
L2,0.25,1.0,0.5131527477017068
L1,0.25,1.0,0.5127858787166052
L2,4.0,4.0,0.512520539423797
L1,0.5,0.5,0.5121783013969716
hadamard,4.0,1.0,0.512120359826236
hadamard,4.0,2.0,0.511997902304733
L2,4.0,2.0,0.5116848954289088
L2,0.25,0.25,0.5096267003108039
L1,4.0,4.0,0.5095851477770345
hadamard,2.0,4.0,0.5072570686386753
hadamard,0.5,1.0,0.5060265627197049
L1,2.0,4.0,0.5057868779607501
L2,4.0,0.5,0.5049000924620931
hadamard,0.5,0.25,0.504642781352122
L1,4.0,0.25,0.5019354083335674
hadamard,4.0,0.5,0.5019173689415923
hadamard,1.0,4.0,0.5014702598997876
L2,4.0,1.0,0.500798193457318
hadamard,4.0,0.25,0.4978682332700961
L1,4.0,0.5,0.4969964952727859
L2,1.0,2.0,0.4945811945673288
L2,2.0,4.0,0.4940963601175163
hadamard,0.5,2.0,0.489716481423982
L2,0.5,0.5,0.4885162593102669
average,1.0,1.0,0.4793421852612455
average,2.0,0.5,0.4746516156427203
average,0.25,0.5,0.4697754739269854
average,4.0,2.0,0.4632316963565838
average,4.0,0.25,0.4623735820072513
subtract,0.25,2.0,0.4600685840950704
subtract,0.25,1.0,0.4599287361537372
average,1.0,0.5,0.4560578127107453
average,0.5,0.25,0.4556266844466818
average,1.0,0.25,0.4555556289366155
average,4.0,0.5,0.4549855780687485
subtract,4.0,0.25,0.4536486254851257
subtract,1.0,0.5,0.4528318951072915
subtract,2.0,0.5,0.4478911239081563
average,4.0,4.0,0.4473590111444305
subtract,0.5,0.25,0.4454367405572379
average,2.0,0.25,0.44530551394384
average,0.25,4.0,0.4448092297648476
average,0.25,1.0,0.4440371058342924
average,0.25,2.0,0.4419856320965997
average,1.0,4.0,0.4396181477641052
subtract,4.0,2.0,0.4391157967319895
subtract,0.25,0.25,0.4379818535416779
average,2.0,2.0,0.4377039159950381
average,2.0,1.0,0.4369147507392691
subtract,1.0,2.0,0.4330356995750756
average,0.5,2.0,0.4327180722063446
subtract,1.0,1.0,0.4325693139875856
average,1.0,2.0,0.4310767272948169
average,0.25,0.25,0.4303663715776816
subtract,4.0,4.0,0.4297701182640857
subtract,0.5,2.0,0.4292616141122924
subtract,0.25,4.0,0.4292169043865858
subtract,2.0,0.25,0.4270119087061731
subtract,1.0,0.25,0.4267551324761355
average,2.0,4.0,0.4261560920007348
subtract,0.5,4.0,0.4239502640129405
subtract,0.25,0.5,0.4222437073413658
subtract,4.0,0.5,0.4220725040723665
average,0.5,4.0,0.4215364286159889
subtract,0.5,1.0,0.4201635436890685
average,4.0,1.0,0.4199437335942768
subtract,2.0,4.0,0.4113094235504931
subtract,0.5,0.5,0.4111043626110613
subtract,2.0,1.0,0.4101933005027813
average,0.5,0.5,0.4048805507245787
subtract,2.0,2.0,0.4045296666253359
average,0.5,1.0,0.403972440748531
subtract,1.0,4.0,0.3935669043176428
subtract,4.0,1.0,0.3792624906132548
