method,p,q,R2
hadamard,0.25,4.0,0.2148265960781532
hadamard,2.0,4.0,0.212635528415383
hadamard,2.0,1.0,0.2112788077165387
average,4.0,0.5,0.2105920510969552
hadamard,0.5,0.5,0.2095568964734878
hadamard,4.0,2.0,0.2078685647526784
hadamard,0.25,1.0,0.206201330006543
hadamard,0.25,0.5,0.2058074740369907
hadamard,4.0,0.5,0.2055139087994461
hadamard,1.0,1.0,0.2049682141638064
hadamard,0.25,2.0,0.204754013122599
subtract,1.0,1.0,0.2045573395696832
hadamard,1.0,0.5,0.2044067642157966
hadamard,4.0,1.0,0.2042503583616304
hadamard,0.5,1.0,0.2039676393455762
hadamard,0.5,0.25,0.2039448390910448
hadamard,1.0,2.0,0.203551265963059
hadamard,2.0,0.5,0.2031944999629668
hadamard,1.0,4.0,0.203161933695789
L1,1.0,1.0,0.2027644899804653
hadamard,0.25,0.25,0.2025970861646936
hadamard,2.0,2.0,0.2018959692385945
hadamard,1.0,0.25,0.2017783866937337
hadamard,0.5,2.0,0.200688988989282
hadamard,0.5,4.0,0.2003534306345439
hadamard,4.0,0.25,0.2001872751048027
L2,0.5,0.5,0.1991896736291321
hadamard,2.0,0.25,0.1991056390328596
subtract,4.0,0.5,0.198309178171533
L2,1.0,1.0,0.1980180223199245
hadamard,4.0,4.0,0.1977531429125081
average,1.0,0.5,0.1961088487711472
subtract,4.0,1.0,0.1956387879628603
subtract,4.0,4.0,0.1942087106479207
subtract,2.0,2.0,0.1922014641574009
average,0.25,0.5,0.192189352655636
subtract,1.0,0.25,0.1917463507532985
L1,0.5,0.5,0.1917237617006122
subtract,0.25,2.0,0.1917194101663667
subtract,0.5,1.0,0.1916370757974232
subtract,0.5,0.25,0.191454527227451
L1,2.0,2.0,0.1911343386134001
L1,4.0,0.5,0.1909426223657253
subtract,0.5,0.5,0.1904373364773685
L2,4.0,0.5,0.190359476224171
L1,4.0,1.0,0.1902532904111276
average,0.5,2.0,0.189626401612552
average,2.0,4.0,0.1887190123054656
L1,0.25,2.0,0.1884896100632688
average,2.0,0.25,0.1883710633192554
average,0.25,1.0,0.1880617264932069
L2,2.0,2.0,0.1873542122924468
subtract,4.0,2.0,0.1872596280652909
subtract,0.5,4.0,0.1868563423528317
L1,0.5,1.0,0.1866582950635092
average,1.0,1.0,0.1865889835063995
average,4.0,4.0,0.1865787399702967
L2,4.0,1.0,0.1860400319425191
L1,0.5,0.25,0.1856827239469982
L1,1.0,0.25,0.1852565623996122
L1,4.0,4.0,0.1848827740743506
L2,0.5,0.25,0.1848611503771219
average,1.0,4.0,0.1838069817408569
average,4.0,0.25,0.1825647995341059
average,2.0,1.0,0.1819999712430317
L1,0.5,4.0,0.1819442798365211
L2,0.25,2.0,0.1816372796185205
L1,4.0,2.0,0.1809585137917861
L2,0.25,0.25,0.1807358854031654
subtract,1.0,2.0,0.1806164093240942
L2,0.5,4.0,0.1798583405040307
L2,4.0,4.0,0.1795538524752341
subtract,0.25,0.5,0.1795043709054379
average,4.0,2.0,0.1791000002404267
subtract,0.25,0.25,0.1788333552418669
L1,0.25,0.25,0.1787046894885293
L2,0.5,1.0,0.1785443191701285
L1,1.0,2.0,0.1785112304277215
subtract,0.25,4.0,0.1782575959735819
L2,1.0,2.0,0.1779682030519788
subtract,0.25,1.0,0.1778873381235756
average,2.0,0.5,0.1777216457033122
L2,1.0,0.25,0.1772395869748667
L1,2.0,4.0,0.1766972514219226
average,0.5,1.0,0.1763363822149404
average,0.5,0.25,0.1760601270963858
average,0.25,2.0,0.1754418882778105
L2,2.0,4.0,0.175390878415186
subtract,2.0,4.0,0.1744839267910717
average,2.0,2.0,0.1739066969197272
subtract,0.5,2.0,0.1738821358945386
average,0.5,0.5,0.1736817083638293
L2,0.25,4.0,0.173490122629456
L1,2.0,1.0,0.1733836839098679
L1,2.0,0.5,0.1730607533176708
subtract,2.0,1.0,0.1725580546887301
L1,0.25,4.0,0.1723741669078037
subtract,1.0,4.0,0.1723143606073129
average,0.25,0.25,0.172266325476104
L2,4.0,2.0,0.1714466047691758
subtract,2.0,0.5,0.1708830996484706
average,0.5,4.0,0.1705538306798286
subtract,2.0,0.25,0.1700586760895219
average,1.0,2.0,0.1699754962974506
L2,0.5,2.0,0.169742508687862
average,0.25,4.0,0.1696521538575244
subtract,1.0,0.5,0.1695555921197782
L2,2.0,1.0,0.168834637498548
L1,0.25,0.5,0.1676727319615175
L2,0.25,0.5,0.1665717277182969
subtract,4.0,0.25,0.1652501672342957
L1,4.0,0.25,0.1648579719193244
L1,0.25,1.0,0.1643343616414503
L1,0.5,2.0,0.1641467081847564
L1,1.0,4.0,0.1640692740686135
L2,2.0,0.5,0.1630849154620732
L2,1.0,4.0,0.1626093769084675
L1,1.0,0.5,0.1624841192525893
L2,0.25,1.0,0.1610693890833803
L2,4.0,0.25,0.1608001172726396
average,1.0,0.25,0.1605629872937091
L2,1.0,0.5,0.1544447365795124
L2,2.0,0.25,0.1526929728853517
L1,2.0,0.25,0.1516762270311851
average,4.0,1.0,0.1457162088181919
