method,p,q,R2
subtract,0.25,4.0,0.1740839110595465
average,1.0,4.0,0.1735730667535113
subtract,1.0,4.0,0.1708788694615445
average,0.5,1.0,0.1694606657700478
average,0.25,4.0,0.1662124925271165
subtract,0.5,4.0,0.1628508464541858
average,1.0,0.5,0.1613942382723386
average,4.0,2.0,0.1606268659145596
average,2.0,1.0,0.1605272591142104
subtract,0.5,0.5,0.1595440167708313
average,0.5,4.0,0.1560033358927849
average,1.0,2.0,0.1551905864401441
subtract,2.0,4.0,0.1539460879043351
average,4.0,0.25,0.1528801064738324
subtract,4.0,0.25,0.1527206382293319
subtract,0.5,2.0,0.1526195626891492
subtract,0.5,1.0,0.1508462240746937
average,0.5,0.5,0.1501057590238509
subtract,2.0,1.0,0.1501029441181933
average,4.0,0.5,0.1498033784846532
L1,0.5,4.0,0.1495818241520349
subtract,4.0,2.0,0.1493917307087497
L2,0.25,4.0,0.1492184077879481
L1,1.0,4.0,0.1483778348595238
L1,4.0,0.25,0.1482162739249058
L1,0.25,4.0,0.1463254820466727
average,2.0,4.0,0.1445655078805193
L1,4.0,2.0,0.142455121700127
subtract,1.0,1.0,0.1418197300949519
average,1.0,0.25,0.1415514128744414
L1,0.5,2.0,0.1403490707805319
average,0.25,2.0,0.1390933148001086
subtract,1.0,2.0,0.1382297503329319
subtract,0.25,1.0,0.1361102747902876
L1,1.0,0.5,0.136014618647618
average,0.25,1.0,0.1354125684420404
subtract,1.0,0.5,0.1350667509048951
L1,0.5,0.5,0.1334589839690414
L1,2.0,4.0,0.1331834839114963
subtract,1.0,0.25,0.1329173376428812
subtract,4.0,0.5,0.1325684479510603
L2,1.0,0.5,0.1322112950273528
L2,0.5,4.0,0.1321619299469156
average,0.5,2.0,0.1318556241964693
subtract,0.25,2.0,0.131801615887541
L1,2.0,1.0,0.1316503194105153
L1,0.5,1.0,0.1305093553606988
L1,1.0,1.0,0.1303196184699924
L2,4.0,2.0,0.1300178959844785
L2,4.0,0.25,0.1292909258623148
L1,0.25,1.0,0.1292566493495144
average,1.0,1.0,0.1282664064375246
subtract,0.25,0.25,0.1276142491138197
L2,0.5,0.5,0.1275366362707811
L2,1.0,1.0,0.1274030582662968
L2,0.5,2.0,0.1262327709393413
L2,1.0,4.0,0.123434538694763
L1,1.0,2.0,0.1229481139559542
L2,2.0,1.0,0.1225849625956664
L1,0.25,0.25,0.1172652250759266
L1,1.0,0.25,0.1169648195455226
L1,4.0,0.5,0.115772730499419
average,0.25,0.25,0.1154227308682751
L2,0.5,1.0,0.1141076410187493
L2,0.25,1.0,0.1137461026532753
L2,2.0,4.0,0.1131606204511048
L1,0.25,2.0,0.1092868323785777
L2,1.0,2.0,0.1065329500196464
L2,0.25,0.25,0.1044758139842445
L2,1.0,0.25,0.1021693332533488
average,2.0,0.25,0.0978607778417312
L2,4.0,0.5,0.0956335366118694
L2,0.25,2.0,0.0894183438790962
subtract,4.0,1.0,0.0779795850695893
subtract,0.5,0.25,0.0771905467673951
L1,2.0,2.0,0.0768833816010826
L1,4.0,1.0,0.0761500473008343
L1,0.5,0.25,0.0754544290584551
L2,4.0,1.0,0.075236537080603
L2,2.0,2.0,0.0732302224640302
subtract,2.0,2.0,0.0732215756678735
average,2.0,0.5,0.0722243107938526
average,4.0,4.0,0.0718111826793911
L2,0.5,0.25,0.0693686692701276
subtract,2.0,0.25,0.0667225940861756
L1,0.25,0.5,0.0663605298550149
L1,2.0,0.25,0.0663513585174107
L2,0.25,0.5,0.0658811747357859
subtract,0.25,0.5,0.065044757823798
L2,4.0,4.0,0.061528292047973
average,0.25,0.5,0.0614819269217401
average,0.5,0.25,0.0604326006629593
L2,2.0,0.5,0.0603182016410402
L2,2.0,0.25,0.0594667855646583
L1,2.0,0.5,0.0570404354556173
L1,4.0,4.0,0.0566578282215332
subtract,2.0,0.5,0.0563306858479176
average,4.0,1.0,0.0553981437844058
average,2.0,2.0,0.0543858780498316
subtract,4.0,4.0,0.0534197760448733
hadamard,1.0,0.5,0.0339851430693682
hadamard,4.0,2.0,0.0337786558216341
hadamard,1.0,4.0,0.0336462793654721
hadamard,0.5,2.0,0.0333871208816921
hadamard,0.5,0.25,0.032895632743857
hadamard,4.0,4.0,0.0328359975406845
hadamard,0.25,2.0,0.0326160931429324
hadamard,2.0,1.0,0.0324569444220358
hadamard,4.0,0.25,0.0324555139973544
hadamard,4.0,0.5,0.0322773942104225
hadamard,1.0,2.0,0.0318549173398814
hadamard,0.5,0.5,0.0313058729495516
hadamard,0.25,0.25,0.0313017340809255
hadamard,0.25,4.0,0.0297045132245512
hadamard,2.0,0.5,0.029704075667296
hadamard,1.0,0.25,0.0296631050997869
hadamard,0.5,4.0,0.029608989942734
hadamard,0.5,1.0,0.0292522949431847
hadamard,2.0,4.0,0.0289351619164374
hadamard,1.0,1.0,0.0288487221307601
hadamard,0.25,1.0,0.0288389000935574
hadamard,0.25,0.5,0.0284707132283394
hadamard,2.0,2.0,0.0281013805364893
hadamard,2.0,0.25,0.0278966097081492
hadamard,4.0,1.0,0.0276807204198861
