method,p,q,R2
hadamard,1.0,0.25,0.2383409709998702
hadamard,1.0,2.0,0.2371363213774548
hadamard,0.5,0.5,0.2370932615147225
hadamard,0.5,0.25,0.2352575369156018
hadamard,0.5,4.0,0.2349855506754578
hadamard,4.0,1.0,0.234494099439112
hadamard,1.0,1.0,0.2334703386036787
hadamard,0.5,2.0,0.2333591369686277
hadamard,1.0,4.0,0.2332258986446154
hadamard,4.0,2.0,0.2318500866094834
hadamard,2.0,0.5,0.2316974456100302
hadamard,4.0,0.5,0.2314250838011121
hadamard,0.25,4.0,0.2308517971740405
hadamard,0.5,1.0,0.2304289433994004
hadamard,2.0,2.0,0.2296851732876631
hadamard,0.25,1.0,0.2286584554555483
hadamard,2.0,1.0,0.2277291971977827
hadamard,0.25,0.25,0.2262511663079627
hadamard,2.0,0.25,0.2260455708482133
hadamard,4.0,0.25,0.225886064999804
hadamard,0.25,0.5,0.2239800999933708
hadamard,0.25,2.0,0.2239619791153014
hadamard,4.0,4.0,0.2225550717335753
hadamard,2.0,4.0,0.2204897404313759
hadamard,1.0,0.5,0.2199857822781268
average,0.25,4.0,0.2194845546909194
average,1.0,4.0,0.2120153188123109
average,4.0,4.0,0.2092354303971628
average,4.0,2.0,0.209044248115178
average,0.25,2.0,0.208629071013796
L2,2.0,1.0,0.208379207406824
subtract,0.25,0.5,0.206553661064048
subtract,0.25,0.25,0.2060917339627103
L2,0.5,0.5,0.2053284322924941
subtract,2.0,1.0,0.2038900040879039
average,2.0,1.0,0.203732306486622
subtract,2.0,0.5,0.203587527963634
average,1.0,0.25,0.2024738480369867
subtract,1.0,0.25,0.2012553860042046
L1,0.25,0.25,0.2011990710533439
L1,0.25,0.5,0.2010151280200924
L2,0.25,0.25,0.2010042229593859
L2,2.0,0.25,0.2006924186280599
subtract,0.5,0.5,0.2003172746404525
L1,2.0,0.5,0.2000296733356454
average,0.25,1.0,0.1991159574578654
L1,0.25,2.0,0.1985308507090555
subtract,0.25,2.0,0.1983011352285754
average,2.0,0.5,0.1981785386519252
L1,2.0,1.0,0.197997578569114
L2,2.0,0.5,0.1974468385224292
average,2.0,0.25,0.1956911584133889
average,0.5,1.0,0.1955806155130991
L2,0.25,0.5,0.1947887229360729
subtract,2.0,0.25,0.1947383992003152
L1,0.5,0.5,0.1941866950493161
subtract,1.0,2.0,0.193565884119601
subtract,0.5,4.0,0.1933009298604006
subtract,1.0,0.5,0.1929314294079503
L1,2.0,0.25,0.1928942071421144
L1,1.0,0.25,0.1927435892975577
subtract,0.5,0.25,0.1919398619677056
average,1.0,2.0,0.1906705172367354
L1,0.5,0.25,0.1902792436778541
subtract,0.25,1.0,0.189456738373598
L2,1.0,0.25,0.1894450454457025
subtract,4.0,0.25,0.1894311448786434
average,4.0,0.25,0.1888464730184011
subtract,0.5,2.0,0.1887004766330901
subtract,2.0,2.0,0.1883315033103684
average,4.0,1.0,0.1882816661302374
L1,4.0,2.0,0.1881752944844497
average,2.0,2.0,0.1876591509845486
subtract,4.0,4.0,0.1874547544351654
L2,0.25,2.0,0.1870388613146432
subtract,4.0,0.5,0.1868408588034209
L1,1.0,0.5,0.1867672327864631
L1,1.0,2.0,0.1865426579782996
average,0.5,0.5,0.1863177592413082
subtract,1.0,1.0,0.1859613481843882
L1,4.0,0.5,0.1858911841400682
L2,1.0,1.0,0.1857748492714266
L2,4.0,2.0,0.1854691538667161
L1,1.0,1.0,0.1846560747136749
L2,1.0,0.5,0.1842078130550737
L2,4.0,0.5,0.1838838933962884
L2,2.0,2.0,0.1835756304304349
L1,4.0,0.25,0.1830172023641462
L2,0.5,0.25,0.1828748767568095
subtract,4.0,1.0,0.1825208596927381
subtract,4.0,2.0,0.1820436886866826
L1,2.0,2.0,0.1803921608248078
L1,4.0,4.0,0.1801887956684253
average,2.0,4.0,0.1801305437273624
L2,4.0,4.0,0.1800242313794648
average,0.5,0.25,0.1793569257443129
average,0.5,2.0,0.179205844612852
L2,0.5,1.0,0.1787654726223313
average,0.5,4.0,0.1785367786065869
L1,0.5,2.0,0.1780855101253619
L2,1.0,4.0,0.1780750131640931
L2,0.5,2.0,0.1774371589381024
L2,4.0,0.25,0.1772720473974748
average,1.0,0.5,0.1764335625207033
L1,0.5,4.0,0.1757189136244619
L2,0.5,4.0,0.1756685692883506
L1,4.0,1.0,0.1752666652897636
L1,0.5,1.0,0.1731285118265395
L2,4.0,1.0,0.1728471607495938
average,1.0,1.0,0.1728126946365727
subtract,0.5,1.0,0.1726889848005313
average,4.0,0.5,0.1719883915771405
subtract,2.0,4.0,0.1714803145185184
L2,1.0,2.0,0.1713932849800737
L1,1.0,4.0,0.1711682760687166
L2,2.0,4.0,0.1700626449428692
average,0.25,0.25,0.1696691701108048
subtract,1.0,4.0,0.1692667494846095
L1,2.0,4.0,0.169036905465729
average,0.25,0.5,0.1637059700785118
L1,0.25,4.0,0.1633862169846944
subtract,0.25,4.0,0.1628294898104744
L1,0.25,1.0,0.1623810662884741
L2,0.25,1.0,0.1599328436811671
L2,0.25,4.0,0.1581287928014256
