method,p,q,R2
hadamard,1.0,2.0,0.2154752951047281
hadamard,1.0,1.0,0.2133461347043455
hadamard,0.25,0.5,0.2121134666490027
hadamard,4.0,2.0,0.2117725223855587
hadamard,0.5,4.0,0.2107456470087262
hadamard,0.5,1.0,0.2096700303113897
hadamard,4.0,0.5,0.2096581958132506
hadamard,2.0,0.5,0.2091164874062707
hadamard,2.0,2.0,0.2081845321482537
hadamard,0.25,1.0,0.2079343364772242
average,1.0,0.25,0.2078641255030446
hadamard,1.0,4.0,0.2074592926850983
hadamard,2.0,4.0,0.2067387333447967
hadamard,1.0,0.25,0.2067238726931985
hadamard,0.5,0.5,0.2066594067157846
hadamard,4.0,0.25,0.2060185868786916
hadamard,0.25,2.0,0.2059021987469546
hadamard,4.0,4.0,0.2057722972949968
L2,2.0,4.0,0.2055804912969761
hadamard,0.5,2.0,0.2055042173075446
hadamard,1.0,0.5,0.2042781709417845
hadamard,0.25,4.0,0.2041476733601434
L1,2.0,4.0,0.2032305478307071
subtract,2.0,4.0,0.2029268562770221
average,4.0,1.0,0.2023478544990727
subtract,1.0,1.0,0.2022906958202943
average,4.0,4.0,0.2020572833942886
hadamard,0.25,0.25,0.2018037252729524
hadamard,0.5,0.25,0.2012067173614552
average,0.5,1.0,0.1973277716236028
hadamard,2.0,1.0,0.1972352159812554
hadamard,4.0,1.0,0.1967218281015281
subtract,0.25,0.25,0.1964623739020691
hadamard,2.0,0.25,0.1964309699327739
subtract,1.0,4.0,0.1951917681570055
L1,1.0,1.0,0.1929020588218184
L2,1.0,1.0,0.1918100021606888
L1,1.0,4.0,0.1912129808843901
L2,1.0,4.0,0.1911934963693535
average,2.0,2.0,0.1903870107455018
L1,0.5,0.5,0.1902028556030429
average,1.0,4.0,0.1896799501132154
subtract,0.5,2.0,0.1894281843736439
average,1.0,2.0,0.1890508902458691
subtract,2.0,2.0,0.1889152512712003
subtract,1.0,2.0,0.1888967739019039
average,1.0,0.5,0.1888039060567208
average,0.5,0.25,0.1885818726143736
average,0.25,0.5,0.1884104354636364
subtract,0.5,0.5,0.1882841887528354
L1,0.5,2.0,0.1877031573087137
average,0.25,4.0,0.1872894126425861
L1,0.25,0.25,0.1868132157020083
average,2.0,0.5,0.1868043130399225
average,2.0,1.0,0.1866636458249059
average,0.5,4.0,0.1855991299901531
L1,2.0,2.0,0.1855296544244242
average,0.25,1.0,0.1842611895002939
subtract,0.25,4.0,0.1827219327721283
L2,0.5,2.0,0.1825502776553873
L2,0.25,0.25,0.1821184127263486
L2,2.0,2.0,0.1813671947132854
L1,4.0,0.5,0.1810172774550185
L2,0.5,0.5,0.1806675674225537
subtract,4.0,0.25,0.1800515646222908
L1,1.0,2.0,0.1796856848557304
L2,4.0,0.5,0.1789872377942695
average,4.0,0.5,0.178871638368057
L2,1.0,2.0,0.1781379862985167
average,0.25,2.0,0.1780535808652167
subtract,4.0,0.5,0.1779201047102393
average,1.0,1.0,0.1775214759292753
subtract,1.0,0.5,0.1772254026314611
subtract,1.0,0.25,0.1769282436525925
L2,1.0,0.5,0.1761737223348984
L1,0.25,4.0,0.1760648594121246
average,2.0,0.25,0.1755946626552019
average,0.5,2.0,0.1745958798626556
L1,1.0,0.5,0.1744903739173114
subtract,2.0,0.5,0.1722875490626314
average,0.25,0.25,0.1720107538276516
L1,1.0,0.25,0.1716183607655479
average,4.0,2.0,0.1715971840676715
L2,4.0,4.0,0.1712803753575245
L1,0.25,0.5,0.171124567032487
subtract,4.0,4.0,0.1709859086850002
L2,4.0,1.0,0.1706277212441405
subtract,0.25,0.5,0.1701188572243415
L1,4.0,0.25,0.1700755274359721
subtract,4.0,2.0,0.1699648633646476
L1,2.0,0.25,0.1698206514379121
L2,0.25,4.0,0.1695580241162791
subtract,0.5,1.0,0.169528991221824
subtract,0.5,4.0,0.1691613375021854
L1,2.0,1.0,0.169009923309804
L1,4.0,4.0,0.168616490136342
subtract,2.0,0.25,0.1670848376656865
subtract,2.0,1.0,0.1670110723210112
L2,4.0,2.0,0.1666825362071978
L1,2.0,0.5,0.166428248288238
subtract,0.5,0.25,0.1663282336250475
L1,4.0,1.0,0.1662086058973553
L2,2.0,0.5,0.1661061492736666
average,4.0,0.25,0.1660863074647053
L1,4.0,2.0,0.1655744134181237
L2,0.25,0.5,0.1651942141312494
subtract,4.0,1.0,0.1648090902285054
subtract,0.25,2.0,0.1647848245962763
average,0.5,0.5,0.1645729933663878
L2,2.0,0.25,0.1640860718763763
L2,4.0,0.25,0.1629204690043917
L1,0.5,1.0,0.161940475623911
subtract,0.25,1.0,0.1616497306944938
average,2.0,4.0,0.1610747491581604
L1,0.25,1.0,0.1605164092416126
L1,0.5,0.25,0.160019806034126
L2,2.0,1.0,0.159849533977739
L2,1.0,0.25,0.1597964103743261
L2,0.5,1.0,0.1594718265840068
L2,0.5,0.25,0.1584487736025994
L1,0.25,2.0,0.1574632914747775
L1,0.5,4.0,0.1562033445756356
L2,0.25,2.0,0.155410787302642
L2,0.25,1.0,0.1543051198816559
L2,0.5,4.0,0.1426294734875746
