method,p,q,R2
average,1.0,1.0,0.0599087749631669
subtract,0.25,4.0,0.0588856461792736
average,1.0,2.0,0.0586419583779014
L1,4.0,1.0,0.0582509437913515
subtract,0.5,1.0,0.0580643356946904
subtract,4.0,2.0,0.0578861729089104
subtract,2.0,1.0,0.0578469356463313
L2,4.0,1.0,0.0574058891917436
subtract,1.0,2.0,0.0573533623903944
average,0.25,0.5,0.0571591306819825
subtract,4.0,1.0,0.0570996863991579
average,0.25,0.25,0.0567487572119206
subtract,2.0,4.0,0.0565218754446503
L1,0.25,4.0,0.056416578062183
average,4.0,2.0,0.0560225237034962
L2,0.5,1.0,0.0559590949397814
L1,0.5,1.0,0.0558853201707397
hadamard,2.0,2.0,0.0553291952071317
L1,2.0,4.0,0.0549331639664214
average,4.0,0.25,0.05469489170015
L2,0.25,4.0,0.054498353403234
average,4.0,1.0,0.0543327352774284
average,0.5,0.25,0.054311951351936
average,0.25,1.0,0.05421069510078
average,0.25,2.0,0.0537157374749308
average,0.5,1.0,0.0533909711303296
L1,2.0,1.0,0.0533660308697352
L1,0.25,0.25,0.0533368798097407
average,2.0,1.0,0.0530159146808354
average,1.0,0.5,0.0528075122978932
L1,4.0,2.0,0.0527778276396108
average,0.5,2.0,0.052598965231248
hadamard,0.5,4.0,0.052552759098287
subtract,0.25,0.5,0.0524191478915432
L1,0.25,0.5,0.0520849323219874
subtract,4.0,0.25,0.0520444229072761
hadamard,1.0,1.0,0.051747130525018
average,0.25,4.0,0.0514979545227883
L2,2.0,4.0,0.0514869972682456
L1,4.0,4.0,0.051265814876737
L2,0.25,0.25,0.0512474228250654
L1,4.0,0.25,0.0511523711721156
subtract,0.25,0.25,0.0511492855148073
hadamard,0.25,0.5,0.0505201212807092
average,1.0,0.25,0.0503933505695168
subtract,0.5,0.5,0.0501308233610306
subtract,2.0,0.5,0.0500702263411795
subtract,2.0,2.0,0.0500244078144411
hadamard,1.0,0.25,0.0499935209827621
subtract,0.5,0.25,0.0499225321898291
average,0.5,4.0,0.0499006642412693
L1,4.0,0.5,0.0498398976688393
hadamard,0.25,1.0,0.049833865372283
L2,4.0,2.0,0.0497223084963414
L1,0.5,0.5,0.0494502046425676
L2,0.5,0.5,0.0493397814744034
L2,1.0,1.0,0.0492802732755341
subtract,0.25,2.0,0.0492719694423581
average,4.0,4.0,0.0491403264957474
average,2.0,0.5,0.0490907310413044
L2,0.25,0.5,0.0490471414052633
average,2.0,4.0,0.0488465138888446
subtract,4.0,0.5,0.0487151053682897
hadamard,0.25,2.0,0.0485554259217779
L1,2.0,0.5,0.0484702829822868
L1,0.5,0.25,0.0482687180935061
L2,2.0,1.0,0.0482503905816392
subtract,4.0,4.0,0.0481656832368405
L1,1.0,1.0,0.0480793693432604
L1,1.0,2.0,0.0477861050187983
average,2.0,2.0,0.0476055430331845
L2,1.0,2.0,0.0472292555011206
subtract,1.0,1.0,0.0472131723676343
hadamard,0.5,0.25,0.0467228431676447
L2,2.0,2.0,0.0466141176152435
hadamard,0.5,1.0,0.0465331601577302
hadamard,2.0,1.0,0.0464271542286496
L2,4.0,0.5,0.0463419820801392
hadamard,4.0,2.0,0.0463173695580123
L1,2.0,2.0,0.0459584589147558
L1,2.0,0.25,0.0457926034961518
subtract,0.5,2.0,0.0455739805760924
L2,2.0,0.5,0.0455505144055713
hadamard,2.0,4.0,0.0455133589699303
L2,4.0,0.25,0.0453767103692839
L2,2.0,0.25,0.0453009402569981
L2,0.5,0.25,0.0452051033268831
hadamard,2.0,0.25,0.0450207911335243
L2,4.0,4.0,0.0449811052976109
hadamard,1.0,4.0,0.0449700239459905
hadamard,4.0,1.0,0.0447960122689955
hadamard,0.25,4.0,0.0446599292882469
hadamard,1.0,0.5,0.0445734405830614
average,0.5,0.5,0.0445238781373752
average,2.0,0.25,0.0443621409898112
hadamard,1.0,2.0,0.0442617949249626
average,4.0,0.5,0.0434933819747788
L1,0.5,2.0,0.0434618298883536
L1,0.25,2.0,0.0422742158420527
hadamard,4.0,0.5,0.0421930252640027
hadamard,2.0,0.5,0.0421112932792067
L2,0.25,2.0,0.041871170793161
hadamard,0.5,2.0,0.0418412751697655
hadamard,4.0,0.25,0.0417997340802542
L1,1.0,4.0,0.0416317775584309
subtract,2.0,0.25,0.0413850152578892
hadamard,4.0,4.0,0.0410615351969014
hadamard,0.5,0.5,0.0407849387233031
hadamard,0.25,0.25,0.0405766680255454
average,1.0,4.0,0.0404855214659228
L2,0.5,2.0,0.0403142439872986
subtract,1.0,4.0,0.0401299993882104
L2,1.0,4.0,0.0398084878663538
L2,0.25,1.0,0.0386199799398289
L1,0.25,1.0,0.0379366206447219
subtract,0.25,1.0,0.0359609934142236
L2,1.0,0.5,0.0358802019788248
subtract,1.0,0.5,0.0357827536863368
L1,1.0,0.5,0.0355276010031242
L1,1.0,0.25,0.0348353373792595
L2,0.5,4.0,0.034120493278525
L1,0.5,4.0,0.0328099508416255
subtract,1.0,0.25,0.0328007070990792
subtract,0.5,4.0,0.0319648811082753
L2,1.0,0.25,0.0306291567165258
