method,p,q,R2
hadamard,0.25,2.0,0.2483924435039317
hadamard,0.25,4.0,0.2434855072634624
hadamard,1.0,0.5,0.2433879564485773
hadamard,0.5,2.0,0.2419760409299081
hadamard,1.0,4.0,0.2412441798262146
hadamard,2.0,0.25,0.2399179437849171
hadamard,2.0,2.0,0.23916781916264
hadamard,0.25,0.5,0.2388043854846577
hadamard,0.25,0.25,0.2381444306302705
hadamard,0.5,1.0,0.2379446212553043
hadamard,4.0,0.5,0.2378048734855888
hadamard,1.0,2.0,0.2374135771115907
hadamard,2.0,4.0,0.2373698682110724
hadamard,4.0,2.0,0.2371408587357151
hadamard,2.0,1.0,0.2371035473700538
hadamard,4.0,1.0,0.2370956380562486
hadamard,0.5,0.5,0.2365169511640767
hadamard,4.0,4.0,0.2364954677049831
hadamard,1.0,1.0,0.2357003991904422
hadamard,4.0,0.25,0.2354162243806732
hadamard,2.0,0.5,0.2338272986799527
hadamard,0.25,1.0,0.2334960837173917
hadamard,0.5,4.0,0.2321135522925729
hadamard,1.0,0.25,0.2317392292792816
hadamard,0.5,0.25,0.2258719217020378
subtract,2.0,1.0,0.2143300766111373
L1,2.0,1.0,0.2071310925332551
subtract,1.0,0.25,0.2066890106397421
L1,1.0,2.0,0.2033061128862548
L1,2.0,2.0,0.2032336887056939
subtract,1.0,2.0,0.2030837049498933
L2,0.25,0.25,0.2020158024007166
subtract,2.0,2.0,0.2015595888110712
L2,1.0,2.0,0.2011628311292103
L2,2.0,2.0,0.2010781659078556
L2,1.0,4.0,0.2010017473577869
subtract,0.25,0.25,0.2003849276327396
L1,0.25,0.25,0.1996755057187178
L2,2.0,1.0,0.1973756881787031
L1,0.5,0.5,0.1962521654431482
subtract,2.0,0.5,0.1961505805072871
subtract,1.0,4.0,0.1952420906880931
L1,1.0,4.0,0.1950993024936989
L1,1.0,0.25,0.1950831897801014
subtract,0.5,0.5,0.1939475007982648
subtract,2.0,0.25,0.1939125391282214
subtract,0.5,1.0,0.1936405083490735
subtract,0.25,0.5,0.1928969447110533
average,0.5,2.0,0.1926723530971332
L1,2.0,0.25,0.1926375091396978
subtract,0.5,4.0,0.1919327903813866
subtract,0.25,2.0,0.1914756617078238
L2,1.0,0.5,0.1913010908409257
L2,2.0,4.0,0.1908160661177697
subtract,2.0,4.0,0.1907471639277862
L2,0.5,0.5,0.1905431708240816
average,2.0,0.25,0.1899578363353667
L1,2.0,0.5,0.189899629956026
average,2.0,4.0,0.1896880249213799
L1,0.5,4.0,0.1893677591981108
subtract,4.0,0.25,0.1891098259816774
subtract,1.0,0.5,0.1887295234471735
average,2.0,1.0,0.1886967542925645
subtract,4.0,1.0,0.1884622287895713
L2,1.0,0.25,0.1884177363427408
L2,0.25,0.5,0.1883410815550833
L1,2.0,4.0,0.1878448604383522
average,4.0,1.0,0.1876635530788714
L2,2.0,0.25,0.1866173245915569
L1,0.25,2.0,0.1865770810125909
L1,0.5,1.0,0.185829107674749
L2,4.0,0.25,0.1857004691978954
L1,0.25,0.5,0.184921112012162
average,2.0,2.0,0.1847551762847534
L1,4.0,0.25,0.1843955426293264
L1,1.0,0.5,0.1842790000973624
subtract,0.5,0.25,0.1839894376927939
L2,2.0,0.5,0.1838773262600133
subtract,4.0,2.0,0.1820536069169023
average,2.0,0.5,0.1813048910957789
subtract,0.25,1.0,0.1812127461837498
average,1.0,4.0,0.1810107809498591
L1,4.0,2.0,0.180255214449609
subtract,0.5,2.0,0.180212576669702
average,1.0,0.5,0.1796489717770214
L1,0.25,4.0,0.1792440288097835
L2,0.5,1.0,0.1787446692601962
average,4.0,2.0,0.1787060848780022
L2,0.25,2.0,0.1785696813671174
average,0.5,1.0,0.1784001385049799
average,4.0,4.0,0.1776984805161571
L1,0.5,0.25,0.1769907903671242
subtract,1.0,1.0,0.1767435054415924
subtract,4.0,0.5,0.1764499929729008
L2,4.0,2.0,0.1763687438775529
average,1.0,0.25,0.1763587370313079
L1,0.5,2.0,0.1753834273149759
average,1.0,2.0,0.1753501278469759
L2,0.5,4.0,0.1751345851781783
L1,1.0,1.0,0.1749005748910675
average,0.25,1.0,0.174786599058395
L1,0.25,1.0,0.1742759742787276
average,1.0,1.0,0.1741115972443424
L2,0.25,4.0,0.1735258242983348
L2,1.0,1.0,0.1732231498655151
L2,0.25,1.0,0.1730631958747928
average,4.0,0.5,0.1728957031758976
average,0.5,0.25,0.1727028761563184
average,0.25,0.5,0.1725662842544689
L1,4.0,1.0,0.1721251078837451
average,0.5,4.0,0.1719575713649529
subtract,0.25,4.0,0.1718146347648439
L2,0.5,2.0,0.1706228158545187
subtract,4.0,4.0,0.1704492761821392
L2,4.0,1.0,0.1703115209041034
L2,4.0,0.5,0.1700611605892231
average,0.5,0.5,0.1696962981858863
L2,0.5,0.25,0.1680252074436994
average,4.0,0.25,0.167033630467707
average,0.25,0.25,0.1669581265822793
L1,4.0,0.5,0.1669179249134696
L1,4.0,4.0,0.1668871865781664
average,0.25,4.0,0.1662170729887566
L2,4.0,4.0,0.1661892964835155
average,0.25,2.0,0.1632972982691113
