method,p,q,R2
hadamard,0.25,1.0,0.2077991103720771
hadamard,0.5,2.0,0.2075213657795334
hadamard,0.5,0.5,0.2056694447454689
hadamard,0.25,4.0,0.2031580694905033
hadamard,1.0,0.25,0.2016850173454388
hadamard,4.0,0.25,0.2016769475202506
hadamard,0.5,0.25,0.2007858538558253
hadamard,2.0,4.0,0.2001786272847313
hadamard,1.0,1.0,0.2000885561071652
hadamard,0.25,2.0,0.2000139967341428
hadamard,4.0,4.0,0.1998132226296932
hadamard,2.0,2.0,0.199395697974214
hadamard,2.0,1.0,0.1987263033603467
hadamard,4.0,2.0,0.1987146771497739
hadamard,1.0,0.5,0.1980903890994085
hadamard,2.0,0.25,0.1980085776260093
hadamard,0.25,0.25,0.1978487577010431
hadamard,4.0,0.5,0.1978044363924003
hadamard,2.0,0.5,0.1976353515977825
hadamard,0.5,1.0,0.1976029288942327
hadamard,1.0,4.0,0.1973780131313666
hadamard,0.25,0.5,0.1962756755435584
hadamard,1.0,2.0,0.1955814057697165
hadamard,4.0,1.0,0.1938667379027717
hadamard,0.5,4.0,0.1931620525693188
average,2.0,0.25,0.1890850901461579
average,2.0,1.0,0.1847555848263127
subtract,0.5,1.0,0.1777520106316236
average,0.25,1.0,0.1737011752802008
average,0.25,0.5,0.1736843232038524
average,0.25,0.25,0.1723032555923069
subtract,0.25,2.0,0.1722538683869119
average,2.0,0.5,0.1711205899972329
average,1.0,0.25,0.1706371387213614
subtract,1.0,0.5,0.1682490482841577
average,1.0,4.0,0.1652278275701734
subtract,4.0,0.25,0.1639400650437364
subtract,4.0,1.0,0.1628000379706882
average,2.0,4.0,0.1625689765097846
subtract,0.5,2.0,0.1623709882760853
L1,0.5,1.0,0.1622857528766423
subtract,0.5,4.0,0.1612843777164926
subtract,1.0,2.0,0.1606243363799281
subtract,0.5,0.25,0.1606059237879757
subtract,2.0,2.0,0.1603783889836625
L1,4.0,0.25,0.1597784094108253
average,0.5,4.0,0.1594628518116747
average,0.5,0.5,0.1594498367582256
subtract,4.0,0.5,0.1590282784173129
average,4.0,1.0,0.1588451782432539
average,0.25,4.0,0.1585556783735096
average,4.0,4.0,0.1585121847924246
average,4.0,2.0,0.1584497778643876
L1,0.5,2.0,0.1580912142967002
L1,1.0,2.0,0.1578416054366316
average,0.5,1.0,0.1578276732365475
average,4.0,0.25,0.1569723506139775
L1,4.0,0.5,0.1561929327277091
L1,2.0,2.0,0.1561117012004748
average,0.5,2.0,0.1560668208108642
subtract,1.0,1.0,0.1545464956694602
subtract,1.0,4.0,0.1545200261425833
L1,1.0,4.0,0.1539789927355338
subtract,2.0,0.5,0.1534597762087665
L2,0.5,2.0,0.1531763521397229
L1,0.5,4.0,0.1531113082679164
subtract,2.0,4.0,0.1528334924873109
L1,1.0,0.5,0.1522144241186881
L2,0.5,1.0,0.152115356496077
L1,0.25,2.0,0.1514745411521106
average,0.5,0.25,0.1505354147073487
subtract,0.5,0.5,0.1504704727484882
L1,2.0,4.0,0.1503713270609078
average,4.0,0.5,0.1498459850815111
L1,0.25,0.25,0.1487762965490119
subtract,0.25,4.0,0.1486585197420405
subtract,4.0,4.0,0.1486120885780179
subtract,1.0,0.25,0.1486091871120907
L1,4.0,1.0,0.1479687776575304
L1,0.5,0.25,0.1478488685579085
subtract,0.25,0.25,0.1477348244977178
L1,1.0,0.25,0.14740728976764
L2,0.5,4.0,0.1472775690721777
L1,1.0,1.0,0.1472008735441706
L1,0.25,4.0,0.1465378308169637
L1,4.0,4.0,0.1456544032274289
average,1.0,1.0,0.1451066002136254
L2,2.0,2.0,0.145034818340328
L2,0.25,2.0,0.1445304423669589
subtract,0.25,1.0,0.1444215444744302
L2,4.0,0.25,0.1442787314115738
L1,0.25,1.0,0.1442502946829349
L1,2.0,0.5,0.1437762316557804
L1,2.0,1.0,0.1420561751246737
L1,0.5,0.5,0.1412656062862648
subtract,4.0,2.0,0.1410812720581641
L2,1.0,1.0,0.1410038941423282
subtract,0.25,0.5,0.1409293118104372
L1,0.25,0.5,0.1409007103209166
L2,0.5,0.25,0.1407432221443301
average,1.0,0.5,0.1407045302951081
L2,1.0,0.25,0.1399533846427103
average,0.25,2.0,0.1397723416104175
L2,1.0,4.0,0.1394110237878711
L2,1.0,0.5,0.1388963504028153
L2,2.0,0.5,0.1384319485327195
L2,0.25,4.0,0.1376774116016156
L2,4.0,4.0,0.1376573102675624
subtract,2.0,1.0,0.1369075838352992
L2,0.25,0.25,0.1368828388834156
average,2.0,2.0,0.1361252561216709
average,1.0,2.0,0.1357975920263709
L2,4.0,0.5,0.1351356204210883
subtract,2.0,0.25,0.1340862841793358
L2,2.0,4.0,0.1335525209023685
L2,2.0,1.0,0.1334163293035951
L2,1.0,2.0,0.1323871929164493
L2,0.5,0.5,0.1316661412313132
L1,2.0,0.25,0.1312876872481456
L2,0.25,1.0,0.1293219624279581
L1,4.0,2.0,0.1283193910131859
L2,4.0,1.0,0.1279581816317766
L2,0.25,0.5,0.1263137728766233
L2,2.0,0.25,0.122941418192723
L2,4.0,2.0,0.1186905747163777
