method,p,q,R2
subtract,2.0,1.0,0.1390539201820103
average,4.0,4.0,0.1344131133325239
average,4.0,1.0,0.1330843291056325
hadamard,4.0,1.0,0.132186669063624
average,0.25,0.5,0.1299013384728902
average,4.0,0.25,0.1298238851102534
subtract,2.0,2.0,0.1290080633186842
L1,2.0,1.0,0.1284306859044188
average,0.25,2.0,0.1246236832195429
L1,1.0,0.5,0.1230360303897302
average,1.0,4.0,0.1224725721908155
subtract,0.25,4.0,0.1214437937868989
hadamard,0.25,0.5,0.1213973635270346
subtract,1.0,0.5,0.1210870845793057
hadamard,4.0,0.5,0.1205632757439193
subtract,0.25,0.25,0.1205449078723724
hadamard,2.0,1.0,0.1192475026138252
subtract,2.0,4.0,0.1192392159689833
hadamard,4.0,4.0,0.1189256152915637
hadamard,4.0,0.25,0.1186554952070512
hadamard,1.0,4.0,0.1185474102994098
hadamard,0.25,2.0,0.1184923449379601
average,0.5,4.0,0.1183051404899777
L1,2.0,4.0,0.1177844635777862
L1,2.0,2.0,0.1175012198929017
hadamard,0.5,0.25,0.1174768038912058
subtract,4.0,2.0,0.1169640560733951
hadamard,0.5,4.0,0.1169205853411304
hadamard,1.0,0.25,0.1167896840599737
L1,0.25,4.0,0.1166312763530229
hadamard,0.25,0.25,0.116485548120894
hadamard,1.0,2.0,0.1164361221190229
subtract,0.5,0.25,0.1163435789088117
L2,1.0,0.5,0.1162388343616455
hadamard,1.0,0.5,0.1160669426648296
L1,0.5,0.25,0.1158547700199776
subtract,1.0,2.0,0.1156602877714132
average,0.5,0.25,0.1153249222611807
L1,4.0,2.0,0.1147813778103908
subtract,0.25,2.0,0.1145157569376714
L1,0.25,0.25,0.1143032824978618
hadamard,4.0,2.0,0.1141029303886113
hadamard,0.25,4.0,0.1138795994147217
hadamard,2.0,2.0,0.1136483957518861
hadamard,0.5,2.0,0.1132246073906072
L2,0.25,0.25,0.1132158936265653
L2,0.5,0.25,0.113104544364775
subtract,2.0,0.5,0.1128630856663006
hadamard,2.0,0.25,0.112860271790818
subtract,1.0,0.25,0.1127175693109531
L1,1.0,0.25,0.1125195891437584
hadamard,0.5,0.5,0.1121600563536953
L2,2.0,2.0,0.1120275465737893
hadamard,2.0,4.0,0.1116516118785501
average,0.25,0.25,0.1116213944854707
L2,2.0,1.0,0.111516868033281
subtract,0.25,1.0,0.1113799407293463
hadamard,0.25,1.0,0.1113435554113793
average,2.0,0.25,0.1113082516960521
L2,2.0,4.0,0.110845129017962
L1,2.0,0.5,0.1107249292730382
average,4.0,2.0,0.1106199188550981
hadamard,0.5,1.0,0.1104312010494666
hadamard,1.0,1.0,0.1097438356199855
average,1.0,2.0,0.1094408527997675
average,0.5,0.5,0.109141450195073
average,0.25,1.0,0.1089616134067005
L2,0.25,4.0,0.1086337228607613
average,0.5,1.0,0.108570989261541
average,2.0,1.0,0.1084507154869635
subtract,0.5,0.5,0.1083978312684039
subtract,0.5,1.0,0.1081229374152561
L1,4.0,0.25,0.1077944807710248
subtract,0.25,0.5,0.1077769892153519
L2,1.0,0.25,0.1076680032677799
L2,4.0,2.0,0.1076336747579583
L2,4.0,0.25,0.1074866359338514
subtract,4.0,0.25,0.1073857997529907
hadamard,2.0,0.5,0.1071116957519727
average,1.0,0.5,0.1069908832552761
average,2.0,4.0,0.1067288476122876
L1,1.0,2.0,0.1067073004495879
L1,0.25,0.5,0.1063001484627415
average,4.0,0.5,0.1062781416716922
L1,0.5,1.0,0.1062366686416129
subtract,4.0,0.5,0.1059048279157507
L2,0.5,1.0,0.1055818386639292
L2,0.25,1.0,0.1047825288968949
L1,0.25,1.0,0.1035527191130325
average,2.0,0.5,0.103193350425617
average,1.0,1.0,0.1031250770359936
subtract,2.0,0.25,0.1028577909785698
L2,0.25,0.5,0.1027479340751525
average,0.5,2.0,0.1014022716332752
subtract,0.5,4.0,0.1012471879625863
L1,0.25,2.0,0.1011630509761255
L2,2.0,0.5,0.1002908183919363
L2,0.25,2.0,0.1002577213102778
L2,4.0,0.5,0.0996761704008621
L1,4.0,0.5,0.0996668061977027
subtract,1.0,4.0,0.099148279467396
L1,2.0,0.25,0.0989043460962142
L1,0.5,0.5,0.0988916346772679
L1,1.0,1.0,0.0987912513373849
L1,1.0,4.0,0.0986542906555728
average,2.0,2.0,0.0978892937623736
subtract,0.5,2.0,0.0978818311528608
subtract,1.0,1.0,0.097089033199024
L2,2.0,0.25,0.0970668156139651
L2,1.0,2.0,0.0968306790909436
L2,1.0,4.0,0.0948616553532457
L2,0.5,0.5,0.0944811722871559
L2,4.0,1.0,0.0929836027426405
L1,0.5,2.0,0.0921570093050769
subtract,4.0,1.0,0.0919919187201292
L2,1.0,1.0,0.0914097390984121
average,0.25,4.0,0.0910116794488364
subtract,4.0,4.0,0.0908849123776256
L1,4.0,1.0,0.0900893450473817
L1,0.5,4.0,0.0893181172081762
average,1.0,0.25,0.0892625536637916
L2,0.5,2.0,0.0887137029045305
L2,0.5,4.0,0.088536790286026
L1,4.0,4.0,0.0877961250272035
L2,4.0,4.0,0.0821075642066488
