method,p,q,R2
hadamard,0.5,0.5,0.2442904063202023
hadamard,1.0,2.0,0.2439704738777317
hadamard,0.25,4.0,0.243696267930167
hadamard,2.0,0.25,0.2432476931019455
hadamard,0.5,4.0,0.2428309326792928
hadamard,1.0,4.0,0.2419176017645256
hadamard,2.0,1.0,0.2410589622469022
hadamard,0.5,1.0,0.2404238799572751
hadamard,1.0,1.0,0.2402857795594307
hadamard,0.5,0.25,0.2402639192469691
hadamard,4.0,0.5,0.2402429017785629
hadamard,1.0,0.25,0.2397425733940289
hadamard,4.0,0.25,0.2395669866630899
hadamard,2.0,0.5,0.2392852295156854
hadamard,0.25,0.5,0.2387859171642572
hadamard,4.0,4.0,0.2385577050944152
hadamard,2.0,2.0,0.2375762158884447
hadamard,0.25,0.25,0.2373478263756459
hadamard,1.0,0.5,0.2362653154800648
hadamard,0.25,1.0,0.2359878447261036
hadamard,0.25,2.0,0.2359281168861688
hadamard,4.0,1.0,0.2346362022801594
hadamard,4.0,2.0,0.2345231402522039
hadamard,0.5,2.0,0.2338479197252331
hadamard,2.0,4.0,0.2337087132216172
average,1.0,4.0,0.2040900193738004
average,1.0,2.0,0.1957205959895374
average,0.5,4.0,0.1956335839517453
subtract,0.5,1.0,0.1946493720633091
L1,0.5,1.0,0.1943017735288613
subtract,2.0,0.25,0.1889298878756153
subtract,4.0,0.5,0.1887038774711965
subtract,2.0,4.0,0.1886121131027373
subtract,2.0,0.5,0.1881144808776593
subtract,4.0,2.0,0.1879207526410026
L2,0.5,1.0,0.187230979721882
subtract,4.0,1.0,0.1867966507960781
subtract,1.0,2.0,0.1867222588174258
average,1.0,0.5,0.1851875248244047
subtract,0.25,0.5,0.1848906630277698
subtract,0.25,0.25,0.1844684748525024
average,1.0,1.0,0.183578389978818
L1,4.0,1.0,0.1831892129990071
average,4.0,4.0,0.1827151906707883
L1,0.25,0.25,0.1817093477318633
subtract,0.5,0.5,0.1813780302124139
average,0.5,0.5,0.1813502965663207
subtract,0.25,2.0,0.1811288068189842
L1,2.0,4.0,0.1808015897417025
L2,2.0,0.25,0.1806128708257224
L1,1.0,2.0,0.1793399525418316
L1,0.5,0.5,0.1789954281598854
L1,4.0,0.25,0.178855385460097
L2,4.0,0.25,0.1786255543336183
subtract,4.0,0.25,0.1783730253748322
L1,2.0,0.25,0.1783615854329466
average,4.0,0.25,0.1779854352758428
L1,4.0,4.0,0.1771203901932498
L2,1.0,2.0,0.1770002709330498
L1,0.25,2.0,0.1769462836364639
L1,4.0,0.5,0.176769627918652
subtract,4.0,4.0,0.1766483854056232
subtract,0.5,2.0,0.1766450937497573
L1,0.25,0.5,0.1764950010714016
subtract,1.0,1.0,0.1764176862758373
L2,0.5,0.5,0.1749978588368043
L2,4.0,0.5,0.174966866892234
average,0.25,0.25,0.1743028395350073
L1,1.0,1.0,0.1742994163511613
L2,4.0,1.0,0.1741679073100644
average,2.0,2.0,0.1740497326091993
average,4.0,2.0,0.1738640948902943
L2,0.25,0.25,0.1736338709884829
L1,2.0,0.5,0.1728398268506201
L1,4.0,2.0,0.1725865187820181
average,4.0,1.0,0.1725403491809474
L1,0.5,2.0,0.1722755059986536
L2,0.25,0.5,0.1721038948809123
average,2.0,4.0,0.1714371770681101
L2,0.25,2.0,0.1714344116337129
subtract,2.0,1.0,0.1708540472105176
average,2.0,1.0,0.170206411819348
L2,2.0,4.0,0.1693739170892104
L2,2.0,0.5,0.1686180885018642
L1,1.0,0.25,0.1683483608518946
average,0.5,0.25,0.1674929094792306
subtract,1.0,0.25,0.1668473335666213
L2,1.0,1.0,0.1666762292981576
average,1.0,0.25,0.1661243296989654
subtract,0.25,1.0,0.1649036481968503
subtract,1.0,0.5,0.1648038677575628
L2,4.0,4.0,0.164536091854908
L1,0.5,4.0,0.1643800565920713
average,4.0,0.5,0.1641279509223051
average,0.25,2.0,0.1635574812739084
subtract,2.0,2.0,0.1631143916439019
average,0.5,2.0,0.1631091161985124
subtract,0.25,4.0,0.1628364697470342
average,2.0,0.5,0.1627857888625737
L2,0.5,4.0,0.1627654565283856
subtract,0.5,4.0,0.162651595847905
average,0.5,1.0,0.1625929139919313
L1,2.0,1.0,0.1602626083883906
average,0.25,1.0,0.1600402010815854
L1,0.25,4.0,0.1590001141914229
L1,1.0,0.5,0.158603143231729
average,0.25,4.0,0.158510400689405
average,0.25,0.5,0.1582764418211654
L2,4.0,2.0,0.1576317849415617
subtract,0.5,0.25,0.1571743174221
L2,1.0,0.25,0.1570949483475496
L2,0.5,2.0,0.1568086945340517
average,2.0,0.25,0.1565971844941648
L1,0.5,0.25,0.1532955594968
L1,0.25,1.0,0.1529418137261958
L2,2.0,1.0,0.1510254455222029
L1,2.0,2.0,0.1498846244094839
L2,0.25,1.0,0.1496198685751405
L2,0.25,4.0,0.1487836996167192
L2,1.0,0.5,0.1458147029427587
subtract,1.0,4.0,0.1453844118862078
L2,0.5,0.25,0.1447667885797336
L2,2.0,2.0,0.1406931557456038
L1,1.0,4.0,0.1354361477640556
L2,1.0,4.0,0.1275091937490228
