method,p,q,R2
hadamard,0.25,1.0,0.1885738935171252
hadamard,0.25,0.5,0.1867442026948832
hadamard,0.25,4.0,0.1866775393278184
hadamard,1.0,0.5,0.1851340548925651
hadamard,1.0,4.0,0.1834484348619405
hadamard,0.5,0.5,0.1831638456166561
hadamard,4.0,2.0,0.1828421932647537
hadamard,4.0,4.0,0.1817723614398246
hadamard,0.5,1.0,0.1816107810102837
hadamard,2.0,0.5,0.1810438169431059
hadamard,4.0,0.25,0.18076030385759
hadamard,2.0,2.0,0.1805964724585806
hadamard,0.5,0.25,0.1799304378893503
hadamard,1.0,2.0,0.1793897897693193
hadamard,2.0,1.0,0.17882533593778
hadamard,0.25,0.25,0.1782842018132906
hadamard,4.0,1.0,0.1778608026522816
hadamard,0.5,4.0,0.1777599446625781
hadamard,2.0,4.0,0.1773210991307822
hadamard,4.0,0.5,0.1770327018203215
hadamard,0.25,2.0,0.1754466797803904
hadamard,1.0,1.0,0.1752742733652459
hadamard,0.5,2.0,0.1732342420276358
hadamard,1.0,0.25,0.1728766805615016
average,0.25,1.0,0.1725058772244494
hadamard,2.0,0.25,0.171190179649019
average,0.5,4.0,0.1642745068594557
L2,2.0,4.0,0.162962914730868
average,1.0,1.0,0.1617349977925113
average,0.25,4.0,0.1607323324851485
subtract,1.0,2.0,0.1606011272527616
average,0.5,0.25,0.1600065454790917
L1,1.0,0.5,0.1598633878321427
average,1.0,0.25,0.1597863068193814
L2,1.0,0.5,0.1592757557639345
subtract,1.0,0.5,0.1584356787989437
subtract,4.0,1.0,0.1582473791252685
average,2.0,0.5,0.1579083803633589
average,2.0,2.0,0.154780446624181
L1,4.0,1.0,0.1540323758489941
subtract,1.0,4.0,0.1540188077023172
average,4.0,1.0,0.1537227826463264
subtract,4.0,4.0,0.1532622834921593
L1,2.0,4.0,0.1524446527624026
subtract,0.25,4.0,0.1518322041128476
average,0.25,2.0,0.1490974212792665
subtract,0.5,1.0,0.148208892596755
average,1.0,4.0,0.147815903865297
L2,4.0,1.0,0.1474973221552348
subtract,4.0,0.25,0.1474087682183611
L1,0.25,4.0,0.1469821879256349
L1,4.0,4.0,0.1467362826098167
subtract,4.0,0.5,0.1462196456064116
L2,1.0,2.0,0.1453257360710079
L2,0.25,4.0,0.1451455333950919
average,4.0,4.0,0.1449062540474708
L2,0.5,0.5,0.1448102344481454
subtract,2.0,4.0,0.1447835853439277
L1,1.0,4.0,0.1431317744289819
average,0.25,0.25,0.1418419103003757
L1,1.0,2.0,0.1412721709087159
average,4.0,0.5,0.1405094776112548
L2,4.0,4.0,0.140424011811645
L1,4.0,0.25,0.1402204950568131
average,4.0,2.0,0.1400027590270421
L2,0.5,0.25,0.1398289011447476
average,2.0,4.0,0.1397274718557841
subtract,0.5,0.5,0.1394726934327759
subtract,0.5,0.25,0.1389215461165079
L2,1.0,4.0,0.1381542625068418
L2,4.0,0.5,0.1375284223365955
L1,4.0,0.5,0.1373312304744316
average,1.0,0.5,0.1368631531587697
average,0.5,2.0,0.1364949038934227
average,0.5,0.5,0.136392312126414
L2,0.5,1.0,0.1363562402667286
subtract,0.25,1.0,0.1362390722629528
L1,0.5,1.0,0.1356799489284434
L1,0.5,0.25,0.1347494379822402
subtract,0.25,2.0,0.1345054620685044
L1,0.5,0.5,0.134460643033307
L2,0.25,2.0,0.134331912395225
L2,0.25,1.0,0.1330539379038762
L1,0.25,1.0,0.1325390711895122
average,2.0,0.25,0.1317356548528705
L2,4.0,2.0,0.1314691918343585
average,0.25,0.5,0.1311949126311153
L2,2.0,0.25,0.1311889143131743
L1,0.25,2.0,0.130746191342154
subtract,0.5,4.0,0.1303973444113955
L2,0.5,4.0,0.128769012848902
L2,0.25,0.5,0.1285702292198548
subtract,4.0,2.0,0.1284983941267722
L1,0.5,4.0,0.128446146421237
average,0.5,1.0,0.1283887030203701
L2,4.0,0.25,0.1281138386208031
L1,0.25,0.5,0.1280211498662644
subtract,0.25,0.5,0.1279689765068246
average,2.0,1.0,0.1279192936629143
L1,4.0,2.0,0.1271439853725738
L1,2.0,0.25,0.126461692798894
subtract,2.0,0.25,0.1263761677948252
subtract,0.25,0.25,0.1262579388252228
subtract,0.5,2.0,0.1260627020618349
L1,0.25,0.25,0.1246767660148174
average,4.0,0.25,0.1246744580546249
L2,0.5,2.0,0.1223959159294931
L2,0.25,0.25,0.1211150970512026
subtract,2.0,2.0,0.1209550764868095
average,1.0,2.0,0.1204427191787212
subtract,2.0,1.0,0.1196912365709438
L1,0.5,2.0,0.1193522772002741
subtract,1.0,1.0,0.1175641164134942
L1,1.0,1.0,0.1163304160583401
L2,1.0,1.0,0.1132024187626183
L1,2.0,2.0,0.1128208745240586
L2,2.0,1.0,0.1116267722549975
L2,2.0,2.0,0.1114115837244437
L1,2.0,1.0,0.1098435029383143
subtract,1.0,0.25,0.1089689284963278
L1,1.0,0.25,0.1055531704170904
L2,1.0,0.25,0.1040593299742456
subtract,2.0,0.5,0.0921028044164119
L1,2.0,0.5,0.0889039849624129
L2,2.0,0.5,0.0872532339181552
