method,p,q,R2
hadamard,0.5,0.25,0.3529744271303512
hadamard,4.0,2.0,0.3504437529009826
hadamard,0.25,4.0,0.349293501425885
hadamard,0.25,1.0,0.3484269847039478
hadamard,2.0,4.0,0.3462379435803685
hadamard,0.5,2.0,0.3445653014290433
hadamard,2.0,1.0,0.3430615559598976
hadamard,0.5,4.0,0.3416356346574163
hadamard,1.0,0.25,0.3414189148119488
hadamard,4.0,0.5,0.3387086246479782
hadamard,1.0,1.0,0.336789980962298
hadamard,1.0,4.0,0.3357335498203041
hadamard,0.25,0.5,0.335614168570114
hadamard,2.0,0.25,0.3301595939467107
hadamard,4.0,4.0,0.3296881728158815
hadamard,2.0,0.5,0.3279943553079063
hadamard,2.0,2.0,0.3277809646484743
hadamard,1.0,0.5,0.3245320241866745
hadamard,0.5,1.0,0.3243621129593101
hadamard,4.0,0.25,0.3233929059847988
hadamard,4.0,1.0,0.3208391623753996
hadamard,1.0,2.0,0.3185929672028682
hadamard,0.25,0.25,0.3150589825754641
hadamard,0.25,2.0,0.3103207378357467
hadamard,0.5,0.5,0.3037208454723865
L2,4.0,2.0,0.2815127452932683
L2,4.0,0.25,0.2730130606378812
L2,0.5,0.25,0.2704120026378829
subtract,0.25,0.5,0.26896988989261
L1,4.0,2.0,0.2687343894220971
average,1.0,0.25,0.2655042457652552
average,4.0,2.0,0.2654583557627995
subtract,4.0,2.0,0.2642344175238286
subtract,1.0,0.5,0.2641548396404717
subtract,0.5,1.0,0.2636875363118617
L1,1.0,0.5,0.2634816169653388
L2,1.0,0.5,0.2630662836136103
L2,1.0,4.0,0.2613781849529033
L1,4.0,0.25,0.2611477381307863
average,0.5,1.0,0.2611105718198705
subtract,0.5,4.0,0.2608910801602685
L2,4.0,0.5,0.260156877610447
subtract,4.0,0.25,0.2585354251770495
average,0.5,0.5,0.2584413381899134
subtract,0.5,0.25,0.2583546908887605
L2,0.25,4.0,0.2580209075958722
average,1.0,0.5,0.2578811072510603
subtract,4.0,0.5,0.2574791228921355
L2,1.0,1.0,0.2570104104737211
average,2.0,2.0,0.2569485706962195
average,4.0,0.5,0.2565915177205551
L2,2.0,4.0,0.2564350148333462
average,0.25,0.5,0.2562842888054147
L1,0.5,1.0,0.2558672595513519
average,0.5,4.0,0.2555497146506736
average,0.5,0.25,0.2547755473430639
L1,1.0,1.0,0.2547391621228452
L1,0.5,0.25,0.2545316035119065
L2,0.5,1.0,0.2541004026677007
subtract,4.0,1.0,0.2540399863825965
L1,0.25,0.5,0.2537820214394298
L2,0.25,2.0,0.2535426576625513
L2,0.5,4.0,0.2533645697044465
subtract,0.5,2.0,0.253132598046871
L1,0.5,4.0,0.2530888681067198
L2,0.25,0.5,0.2530811343176226
average,1.0,4.0,0.2530113365650532
L2,0.25,1.0,0.2529855378030757
L2,4.0,4.0,0.2529010178228902
average,0.25,4.0,0.2527853096641317
average,1.0,1.0,0.2524525002123242
average,0.25,1.0,0.251259333340342
subtract,1.0,4.0,0.2509769214966482
L1,4.0,0.5,0.2506829371310395
average,2.0,4.0,0.2506752161105833
subtract,1.0,1.0,0.25059149681186
average,4.0,4.0,0.2504885975871481
subtract,0.25,1.0,0.2497719347709664
subtract,4.0,4.0,0.2494699681461532
L2,0.5,2.0,0.2485571756083403
L1,4.0,4.0,0.248488536155213
subtract,1.0,0.25,0.2477643530572644
average,2.0,1.0,0.2470974540965456
L1,1.0,4.0,0.2469047434118533
L1,2.0,4.0,0.2467558266311172
average,2.0,0.5,0.2467285583844468
subtract,0.5,0.5,0.2465328815106617
subtract,2.0,2.0,0.2459168115405129
subtract,0.25,4.0,0.2458371940440237
subtract,2.0,4.0,0.2456512419883234
L2,0.25,0.25,0.2444362931080413
L1,0.25,1.0,0.2435575272401325
L1,0.25,2.0,0.2433816494106383
subtract,0.25,0.25,0.2429439080954292
L2,4.0,1.0,0.2428621291133865
subtract,1.0,2.0,0.2428256342723106
subtract,0.25,2.0,0.2427140993796674
L1,0.25,4.0,0.2426515883177303
L1,0.25,0.25,0.242086745312662
L1,2.0,0.25,0.2405146194898874
subtract,2.0,0.25,0.2404673712603123
L2,1.0,0.25,0.2404128013898645
L1,1.0,2.0,0.2399720348678019
L1,2.0,2.0,0.2395043358662376
L1,0.5,0.5,0.2392412617954015
L2,2.0,0.25,0.2391326446949271
L1,1.0,0.25,0.2390686935375457
L1,0.5,2.0,0.2366248352343882
L1,4.0,1.0,0.2360793972554496
average,0.5,2.0,0.2358156635346602
subtract,2.0,0.5,0.2355654214290339
subtract,2.0,1.0,0.2346757654928952
L2,2.0,2.0,0.2343409560341425
L2,1.0,2.0,0.2329599935411519
average,4.0,0.25,0.2314813477276457
L2,0.5,0.5,0.2300620754308731
L2,2.0,1.0,0.2291303921118986
L2,2.0,0.5,0.226811740317316
L1,2.0,0.5,0.2260849019064853
average,0.25,0.25,0.2256193936069492
average,1.0,2.0,0.2235870617619211
L1,2.0,1.0,0.2210508118969119
average,0.25,2.0,0.219480571680788
average,2.0,0.25,0.2191738152386594
average,4.0,1.0,0.2107272960637674
