method,p,q,R2
subtract,4.0,2.0,0.1983856952159813
average,4.0,0.25,0.1977514727869087
hadamard,1.0,0.5,0.1951364671704443
hadamard,2.0,0.25,0.1929902791110902
L1,4.0,2.0,0.1918606755300709
hadamard,2.0,2.0,0.1916754040613721
hadamard,1.0,4.0,0.1911171092093015
hadamard,1.0,0.25,0.1908347203985813
subtract,1.0,0.25,0.1896841845993255
hadamard,4.0,1.0,0.189674682107932
hadamard,2.0,0.5,0.1888346366257359
hadamard,4.0,4.0,0.1887484380564165
hadamard,0.5,1.0,0.1885650129548058
hadamard,0.25,4.0,0.1883683956301739
hadamard,0.5,4.0,0.1883317604094299
hadamard,4.0,2.0,0.1878928518653801
hadamard,0.5,2.0,0.187837004819392
hadamard,0.25,0.5,0.1878110604198474
hadamard,0.25,0.25,0.1875052264862617
hadamard,2.0,1.0,0.1872900207105013
hadamard,2.0,4.0,0.186646312469507
hadamard,0.25,1.0,0.1866045881452448
hadamard,1.0,1.0,0.1865732535077462
L2,1.0,0.25,0.1864223718498626
hadamard,4.0,0.5,0.1863677787260372
average,1.0,4.0,0.1860990171311288
hadamard,0.5,0.25,0.1859339063231161
hadamard,4.0,0.25,0.1855767533301997
L1,1.0,0.25,0.1849288280101064
hadamard,0.25,2.0,0.1848910635715409
hadamard,1.0,2.0,0.1837562671682354
average,0.5,0.25,0.1835207845721514
hadamard,0.5,0.5,0.1833625328396549
subtract,0.5,4.0,0.1833048521347042
average,1.0,2.0,0.1827228239518854
L1,0.5,4.0,0.1816071195082482
average,0.25,1.0,0.1806455099332281
average,2.0,2.0,0.1803893794742773
average,2.0,1.0,0.1792718826898779
L2,4.0,2.0,0.1785554172791423
subtract,2.0,0.5,0.1775734621531743
L2,0.5,4.0,0.1771623839516065
L1,0.5,0.5,0.1760283949779437
average,0.5,0.5,0.1756996945875391
subtract,0.25,0.5,0.1747684169199082
subtract,0.5,0.5,0.1746518355664179
subtract,0.25,4.0,0.1710128673452799
L1,0.25,0.5,0.1701688946241638
L1,2.0,0.5,0.1699537121109875
subtract,2.0,1.0,0.169901576798742
subtract,4.0,4.0,0.1690699068422868
subtract,4.0,0.5,0.1682878938149379
average,4.0,0.5,0.1678112100858667
L2,0.25,0.5,0.1676688148088025
average,2.0,4.0,0.1676341467202072
L1,4.0,4.0,0.167432041060061
subtract,2.0,2.0,0.1671768954971945
L1,4.0,0.5,0.1671334124337483
L1,2.0,2.0,0.1670183187031592
L2,2.0,0.5,0.1669691579591682
average,2.0,0.5,0.1667427895019254
L2,0.5,0.5,0.1664178475749147
average,1.0,1.0,0.1659118686904858
subtract,1.0,1.0,0.1651572595390489
average,0.25,0.25,0.1644304122343282
L1,0.25,4.0,0.1643843340004077
average,0.5,4.0,0.1634058472307322
L2,2.0,2.0,0.1627269651865535
L2,4.0,0.5,0.161550640246591
average,0.5,2.0,0.1614822617417046
subtract,2.0,0.25,0.1614219943341407
subtract,1.0,4.0,0.1613164840831319
subtract,0.25,1.0,0.1601561712264694
average,4.0,4.0,0.1597933929569543
average,2.0,0.25,0.1595227340212506
L2,4.0,4.0,0.159478545713483
subtract,4.0,1.0,0.1592212049472615
average,1.0,0.25,0.1586575353900485
L1,2.0,0.25,0.1585991288599189
average,1.0,0.5,0.1584198998453904
subtract,0.25,2.0,0.1577488311942214
L1,4.0,0.25,0.1575314163597422
L2,0.25,4.0,0.1570888438484958
subtract,4.0,0.25,0.1570822867791552
subtract,0.5,0.25,0.1568802453652747
L2,4.0,0.25,0.1557066043427555
L2,1.0,1.0,0.1551987654709987
L1,1.0,1.0,0.1551774122073228
L1,0.25,2.0,0.1544330672363393
L1,1.0,4.0,0.1543964229784505
average,0.25,2.0,0.1543086058411996
subtract,1.0,0.5,0.1542204058166308
L1,4.0,1.0,0.1540752748996172
L1,2.0,1.0,0.1534287073503473
average,0.25,0.5,0.15267131758111
subtract,0.5,1.0,0.1524612929253401
L2,2.0,0.25,0.1520577347276192
subtract,0.25,0.25,0.1515610131601893
subtract,0.5,2.0,0.1512669829311278
L1,0.25,0.25,0.1508060349575785
L1,0.5,0.25,0.1502221700483661
L1,1.0,2.0,0.1500142615373999
L1,0.25,1.0,0.149820268442361
L1,1.0,0.5,0.1498087075525896
subtract,1.0,2.0,0.149736356711111
average,4.0,1.0,0.1494289130695886
L2,1.0,4.0,0.1479377286796036
average,0.5,1.0,0.14767031812621
L2,1.0,2.0,0.146732709054702
L2,0.5,0.25,0.1460051218411929
L2,0.25,0.25,0.145297535595931
L2,0.5,2.0,0.144987363300766
L2,1.0,0.5,0.1441293974245554
L1,0.5,2.0,0.1439582193339932
L2,2.0,1.0,0.1414042529098019
L2,0.25,1.0,0.1404933937259856
subtract,2.0,4.0,0.1399129081329339
L1,0.5,1.0,0.1390337121223028
L2,4.0,1.0,0.1389595719681811
average,4.0,2.0,0.138636410526571
L2,0.25,2.0,0.1384979287120481
L2,0.5,1.0,0.1308179645370469
average,0.25,4.0,0.1301189269877447
L1,2.0,4.0,0.1280417786323527
L2,2.0,4.0,0.1262263762171278
