method,p,q,R2
hadamard,0.5,0.25,0.3504426083561658
hadamard,1.0,4.0,0.3464901088477516
hadamard,0.5,0.5,0.3452807668228301
hadamard,0.5,2.0,0.34429199903294
hadamard,2.0,2.0,0.3436724336610962
hadamard,0.25,4.0,0.3425724044105743
hadamard,4.0,1.0,0.3425568926269345
hadamard,1.0,0.25,0.3423958635110723
hadamard,0.25,2.0,0.3419161172339335
hadamard,4.0,0.25,0.3417383099726298
hadamard,4.0,4.0,0.3410176314067666
hadamard,2.0,4.0,0.3409847546390132
hadamard,2.0,0.25,0.3408449102674392
hadamard,2.0,0.5,0.3386495435371013
hadamard,0.25,0.5,0.3379050084763167
hadamard,1.0,1.0,0.3377276252400675
hadamard,1.0,0.5,0.3375671608144955
hadamard,0.5,4.0,0.337402987080707
hadamard,2.0,1.0,0.3364798626750683
hadamard,4.0,2.0,0.3355342315898325
hadamard,1.0,2.0,0.3336213869750455
hadamard,0.25,0.25,0.3328801574473876
hadamard,0.5,1.0,0.3327141594868245
hadamard,4.0,0.5,0.3288998920851721
hadamard,0.25,1.0,0.3285452874088952
average,2.0,0.25,0.2660605446455935
average,2.0,0.5,0.2538277261983915
L1,2.0,1.0,0.25159349698026
subtract,0.5,1.0,0.249462844239757
average,0.25,0.5,0.2493766081385713
subtract,4.0,0.25,0.2490042556824651
subtract,2.0,1.0,0.2479960105237163
average,0.5,0.5,0.2470528230012015
average,4.0,0.5,0.246516289867706
average,1.0,0.25,0.2458659749815717
subtract,1.0,2.0,0.245271772267294
subtract,4.0,1.0,0.2449427951307263
average,0.5,4.0,0.2435356396151113
average,0.25,1.0,0.2423252282492959
average,1.0,4.0,0.241932786653691
subtract,0.25,4.0,0.2413683861398894
average,4.0,0.25,0.2412594660234611
L1,4.0,0.25,0.2398456397891568
average,0.5,2.0,0.2398340859795777
subtract,0.5,0.25,0.236688061342576
L1,1.0,1.0,0.2365098810211492
average,0.25,0.25,0.2356432744677969
average,0.5,0.25,0.2353748843668106
subtract,1.0,1.0,0.2351867809625181
L1,4.0,1.0,0.234658371529225
L1,0.25,4.0,0.2345282164644696
L2,2.0,1.0,0.2338716951930124
subtract,0.5,4.0,0.2333435437043532
L1,0.25,2.0,0.2332068201296293
subtract,2.0,4.0,0.2329073332119441
L1,2.0,4.0,0.232666517395798
subtract,0.25,2.0,0.2326012429901267
L1,1.0,0.25,0.2325978921938527
L2,1.0,1.0,0.232405312602783
subtract,2.0,2.0,0.2322650052233847
subtract,1.0,0.25,0.2315558785448187
L1,1.0,2.0,0.23071283838727
L1,0.5,4.0,0.2302577515486995
subtract,2.0,0.5,0.229991930090752
average,0.25,4.0,0.2298095545615417
L2,4.0,0.25,0.2294378185028753
L2,4.0,1.0,0.2291642233504139
L2,1.0,2.0,0.2290963274149955
subtract,0.25,0.25,0.2287733898308276
L2,2.0,4.0,0.2282051191931232
average,2.0,2.0,0.2281282189791212
L1,0.5,1.0,0.2270303189920651
L2,0.25,0.5,0.2266385246255242
L2,0.25,2.0,0.2264110503945942
average,4.0,4.0,0.2262812046483984
average,0.5,1.0,0.2259847776154552
L1,0.25,0.25,0.2256307579762491
subtract,0.25,0.5,0.2248455011256172
L1,2.0,2.0,0.2239577900271387
L2,0.5,1.0,0.2233752859465008
L1,0.25,0.5,0.222777283428174
average,2.0,1.0,0.2225216142105412
average,1.0,1.0,0.2222873528368748
subtract,1.0,4.0,0.2212374602711648
L2,2.0,2.0,0.2211455944505128
average,0.25,2.0,0.220274352709872
L2,0.25,4.0,0.2180160348825974
L1,2.0,0.5,0.2178619044266907
L2,0.25,0.25,0.2178497139791141
L1,4.0,4.0,0.2172040945819183
L2,0.5,4.0,0.2171121089527324
subtract,1.0,0.5,0.2167060211930425
subtract,0.5,2.0,0.2160687326656912
average,4.0,2.0,0.2158466652935773
L1,0.5,0.25,0.2149899169819471
L2,1.0,0.25,0.2148115634267796
subtract,4.0,4.0,0.2144566950667275
average,4.0,1.0,0.2140520262211976
L1,1.0,4.0,0.2135184125390601
L2,2.0,0.5,0.2126407952374992
L2,4.0,4.0,0.2123651463574699
L1,0.5,2.0,0.212098356853672
L2,0.5,2.0,0.2103230839615743
average,1.0,2.0,0.2101338106313686
L1,2.0,0.25,0.2095911471742491
subtract,4.0,0.5,0.2094782883157132
subtract,2.0,0.25,0.2088811091142426
L2,2.0,0.25,0.2088405131376166
subtract,0.25,1.0,0.2055221692926804
L2,1.0,4.0,0.2053400108728814
L1,0.25,1.0,0.2037388798625445
subtract,0.5,0.5,0.2035997431454881
L2,0.5,0.25,0.2034612036113543
average,2.0,4.0,0.2021423275551596
subtract,4.0,2.0,0.2000775557427313
L1,4.0,2.0,0.1980472292492012
L1,0.5,0.5,0.1979129340888543
L1,1.0,0.5,0.1959467609145577
L2,1.0,0.5,0.19465658535602
L2,0.25,1.0,0.1944964324770176
L1,4.0,0.5,0.1884092043616159
L2,4.0,2.0,0.1878167291970016
L2,0.5,0.5,0.1865831463212186
average,1.0,0.5,0.1823072094721449
L2,4.0,0.5,0.1796294714534007
