method,p,q,R2
average,0.25,4.0,0.0900558717272004
hadamard,0.5,0.25,0.0900273520437867
L1,0.25,1.0,0.0900272949028404
subtract,0.25,1.0,0.089251506057013
hadamard,1.0,2.0,0.0891223231422521
hadamard,0.5,2.0,0.0890743824687462
subtract,0.25,0.5,0.0871690877797152
average,4.0,4.0,0.0870891894266367
subtract,4.0,2.0,0.0867145250352032
average,2.0,0.25,0.0856155295338949
subtract,0.5,1.0,0.0853751327749821
hadamard,2.0,0.25,0.0852118769391152
L1,1.0,1.0,0.084959849232078
L1,0.5,1.0,0.0849279356999883
hadamard,1.0,0.25,0.0846694190751629
hadamard,4.0,2.0,0.084630550948934
hadamard,0.25,2.0,0.0845273103190281
subtract,1.0,1.0,0.0845006919477364
hadamard,0.25,0.5,0.0844499206729376
L1,0.25,0.5,0.0843960303354998
hadamard,4.0,4.0,0.0839244811097221
hadamard,1.0,4.0,0.0838901606130988
hadamard,2.0,4.0,0.0835400924521853
L1,4.0,2.0,0.0834330633353548
hadamard,0.5,1.0,0.0834307303348996
subtract,0.5,2.0,0.082185914426465
hadamard,0.5,4.0,0.0820774358510166
hadamard,0.25,4.0,0.0820754112331415
hadamard,0.5,0.5,0.0819402424838873
L2,0.5,1.0,0.0814686951348728
hadamard,4.0,0.5,0.0811526447636625
average,4.0,2.0,0.0810214487169211
L2,0.25,0.5,0.0807216755941085
hadamard,0.25,0.25,0.0805830627880033
hadamard,1.0,0.5,0.0805188059362957
hadamard,2.0,2.0,0.0801971680270886
hadamard,1.0,1.0,0.0798479607373031
hadamard,4.0,1.0,0.0797720382714112
hadamard,2.0,1.0,0.079690336419267
hadamard,4.0,0.25,0.0796103398218437
subtract,1.0,2.0,0.0794364710100684
L2,4.0,2.0,0.0778891108219858
average,1.0,2.0,0.0778363046565344
average,0.25,1.0,0.0778000621581187
subtract,0.5,0.5,0.0774242995605746
subtract,0.25,2.0,0.0774205062533135
average,0.5,2.0,0.0773133917971541
average,1.0,4.0,0.0772346531048258
hadamard,2.0,0.5,0.0770014679427921
L1,1.0,2.0,0.0768831988998774
average,2.0,4.0,0.0766635649176881
average,0.5,4.0,0.0765871673101381
average,2.0,2.0,0.076496970904791
subtract,2.0,2.0,0.0763512221544584
L2,0.25,1.0,0.0761725013279867
subtract,1.0,0.5,0.075821236317358
L1,1.0,0.25,0.0757469309522629
hadamard,0.25,1.0,0.0756943107389239
average,0.5,0.5,0.0754532846824321
subtract,2.0,0.5,0.0753244030528336
subtract,0.25,0.25,0.0750771003186198
subtract,2.0,4.0,0.074394183171823
average,1.0,1.0,0.0743070357147551
L2,1.0,2.0,0.0741655637787308
subtract,0.25,4.0,0.0741323301133839
L1,0.5,0.5,0.0740808773637927
subtract,4.0,1.0,0.0740344687415217
subtract,1.0,0.25,0.0739007452585659
average,1.0,0.25,0.073142831372918
L1,0.5,2.0,0.0728540513257417
L1,0.25,4.0,0.072830982952594
L1,2.0,2.0,0.0727462824501983
subtract,2.0,1.0,0.0726847771541542
L1,1.0,0.5,0.0724613404959174
L1,2.0,1.0,0.0717480268135662
L1,0.25,2.0,0.0708583975140496
L2,1.0,1.0,0.0705536038750079
average,1.0,0.5,0.0704896910720587
average,4.0,0.25,0.070209019037486
average,0.5,0.25,0.0700237501594972
L1,4.0,1.0,0.0699934966419846
L1,2.0,4.0,0.0699575433113945
L2,1.0,0.25,0.0699411281467451
subtract,4.0,0.5,0.0697648903733416
L1,4.0,0.5,0.0697164330283132
L2,0.5,0.5,0.0696180752416281
L2,0.25,2.0,0.0692601675025271
L2,0.25,4.0,0.0692188486325449
subtract,0.5,4.0,0.0689309080904995
average,2.0,0.5,0.0688932599237952
L1,0.5,4.0,0.068091322739504
L1,2.0,0.5,0.0679081807643674
average,2.0,1.0,0.0674207110206323
average,0.5,1.0,0.0674047107266254
L1,0.25,0.25,0.0671712119242923
subtract,0.5,0.25,0.0671349190629376
L2,2.0,2.0,0.0671232210750052
subtract,4.0,0.25,0.0671112679422742
L2,2.0,4.0,0.0666389886499797
L1,4.0,4.0,0.0663974443770267
subtract,4.0,4.0,0.0658484220109959
L2,0.5,2.0,0.0654745813086342
L2,4.0,1.0,0.0649187552898856
average,0.25,2.0,0.0635305344926423
L2,0.25,0.25,0.063399686700767
L2,1.0,0.5,0.0632596936196212
L1,1.0,4.0,0.0630388623619787
subtract,1.0,4.0,0.0628843444645427
L2,4.0,0.5,0.0628444423861014
L2,2.0,1.0,0.0627987810071714
average,0.25,0.5,0.0626629894814142
L2,2.0,0.5,0.0618127531539178
L2,0.5,4.0,0.0617426245902096
L1,4.0,0.25,0.061688017517852
average,0.25,0.25,0.0607813159130646
average,4.0,0.5,0.0605436395015462
L2,4.0,4.0,0.0600595765153456
subtract,2.0,0.25,0.0600159444822697
L1,0.5,0.25,0.059931321696886
L2,1.0,4.0,0.0599089341557509
L2,4.0,0.25,0.0597785228700549
average,4.0,1.0,0.0591792066339323
L1,2.0,0.25,0.0586902172676374
L2,0.5,0.25,0.0559508142496818
L2,2.0,0.25,0.054614486957895
