method,p,q,R2
average,4.0,4.0,0.1766254774640517
subtract,0.5,0.5,0.1749014185860907
subtract,0.25,1.0,0.1733363377691691
average,0.25,1.0,0.1721482928929388
subtract,0.5,1.0,0.171959750032331
average,0.5,0.5,0.1705993195492559
average,0.5,1.0,0.1695494408023646
subtract,2.0,0.25,0.1680391490274976
subtract,4.0,4.0,0.1670333649080403
L1,0.5,0.5,0.1655265927114665
average,4.0,0.25,0.1604109488513104
subtract,2.0,0.5,0.1602237468261934
average,2.0,0.25,0.1573800483193905
L1,0.5,1.0,0.1569745926597779
L1,0.25,1.0,0.156801508051852
average,2.0,0.5,0.1560715024268517
average,0.25,0.25,0.1558522900740543
average,0.25,0.5,0.1548908963538831
subtract,0.25,0.25,0.1546782203092088
L2,0.5,0.5,0.1542887828733519
subtract,1.0,1.0,0.1530331103191555
subtract,1.0,0.5,0.1528307279248956
L1,4.0,4.0,0.1527835512568875
L2,2.0,0.25,0.1505475100037522
average,1.0,4.0,0.1499979801439647
average,4.0,1.0,0.1499208938170274
subtract,4.0,1.0,0.1498483959578785
L1,2.0,0.5,0.1496813073211703
average,1.0,1.0,0.1492128641846443
subtract,4.0,0.25,0.1490990448101595
average,4.0,2.0,0.1490062518752919
subtract,2.0,4.0,0.1467217983843
L1,2.0,0.25,0.146108767434043
subtract,2.0,1.0,0.1461087655224624
L1,1.0,1.0,0.1456473726613549
average,2.0,1.0,0.1447185823334703
subtract,1.0,0.25,0.1441744607834976
L2,1.0,1.0,0.1435784555664537
average,1.0,0.25,0.1431979560038275
subtract,1.0,4.0,0.1430464833273672
L2,0.5,1.0,0.1413178476162045
L2,2.0,0.5,0.140962620238503
subtract,0.25,0.5,0.1398935771048771
L1,1.0,0.5,0.1371531014853999
L2,0.25,0.25,0.1370921858276366
L2,0.25,1.0,0.1344588539985016
L1,0.25,0.5,0.1341239567754144
L1,0.25,0.25,0.1333311414681334
L2,4.0,4.0,0.1318337162360242
subtract,4.0,2.0,0.1304875360422672
L2,0.25,0.5,0.1297507470294853
L1,4.0,0.25,0.1295851776932877
average,2.0,4.0,0.1294775170246979
L1,4.0,1.0,0.1283885432394939
L2,4.0,1.0,0.1279919351032293
L2,4.0,0.25,0.123638210950442
L1,2.0,1.0,0.1222036031554376
average,1.0,0.5,0.1218588210273047
L1,1.0,0.25,0.1198526550678924
L1,1.0,4.0,0.1195541197638262
L2,1.0,0.5,0.119042954209914
L1,2.0,4.0,0.1187096444719916
L1,4.0,2.0,0.1182993545779876
L2,1.0,0.25,0.1167498056001203
L2,4.0,2.0,0.1156434610163335
L2,2.0,4.0,0.110000880238831
L2,1.0,4.0,0.1071398061145686
L2,2.0,1.0,0.1056086952097707
average,0.25,2.0,0.085063329947027
L1,0.25,4.0,0.0801963172662769
L2,0.5,2.0,0.0801790741094512
L1,0.5,4.0,0.0773873230820429
L2,1.0,2.0,0.0752621750374102
subtract,0.25,4.0,0.0750567163305536
subtract,0.5,2.0,0.0741539555397017
subtract,1.0,2.0,0.0736654811445632
L1,1.0,2.0,0.0735732414780582
L1,0.5,2.0,0.0731335352095233
L1,2.0,2.0,0.07296804747624
subtract,0.5,4.0,0.0724061235308443
subtract,2.0,2.0,0.0721431756849695
L2,0.25,4.0,0.0718948840366145
L2,0.5,4.0,0.0706829344398196
subtract,0.5,0.25,0.0695360177421033
average,4.0,0.5,0.0691739248292893
L2,2.0,2.0,0.0689972993136105
L1,4.0,0.5,0.0663411906034312
subtract,4.0,0.5,0.066119967303945
L2,4.0,0.5,0.0638159508876808
L1,0.5,0.25,0.0633266542810101
average,0.5,2.0,0.0612515248628595
L1,0.25,2.0,0.0588742019670756
L2,0.5,0.25,0.0583378463537587
subtract,0.25,2.0,0.0577782155151326
average,0.5,0.25,0.0570931278677681
average,0.5,4.0,0.0570634738788906
L2,0.25,2.0,0.0569650321571592
average,2.0,2.0,0.0569560528387594
average,1.0,2.0,0.0559745824355205
average,0.25,4.0,0.0471503186825198
hadamard,0.25,0.25,0.044342684363954
hadamard,4.0,0.25,0.0374186530304645
hadamard,0.25,2.0,0.0372347840974927
hadamard,1.0,0.25,0.0359230357035149
hadamard,0.5,2.0,0.0355585665963328
hadamard,2.0,0.25,0.0344042260564639
hadamard,4.0,2.0,0.0338449616883221
hadamard,0.5,1.0,0.0334820822062603
hadamard,2.0,1.0,0.0334759159915907
hadamard,4.0,4.0,0.0330232645866928
hadamard,0.25,0.5,0.032992823914873
hadamard,4.0,1.0,0.032283800925085
hadamard,0.5,0.5,0.0321332312165348
hadamard,0.5,4.0,0.0318093828277346
hadamard,1.0,2.0,0.0310609649101586
hadamard,2.0,0.5,0.0306007233099073
hadamard,1.0,4.0,0.0298066638273881
hadamard,1.0,1.0,0.0293701385568586
hadamard,0.5,0.25,0.0288616901804275
hadamard,2.0,2.0,0.0282316851014075
hadamard,0.25,4.0,0.02790244492955
hadamard,0.25,1.0,0.0269551463944068
hadamard,4.0,0.5,0.0264067901273623
hadamard,1.0,0.5,0.0257358668959296
hadamard,2.0,4.0,0.0254864466566702
