method,p,q,R2
subtract,4.0,1.0,0.044965841925825
subtract,0.25,0.5,0.0437005524486979
L2,4.0,1.0,0.0436268246755067
average,1.0,2.0,0.0428565012813935
subtract,2.0,2.0,0.0418679970520773
average,1.0,0.5,0.0415739205716428
subtract,0.25,2.0,0.0414137821485978
average,0.25,0.25,0.0412530701478441
L1,4.0,1.0,0.041178908569787
average,1.0,4.0,0.0411657817101275
average,1.0,1.0,0.0408754326319426
average,2.0,2.0,0.0408596482836757
average,4.0,1.0,0.0406889939572346
subtract,1.0,2.0,0.0403767668815853
average,0.5,0.5,0.0403012363233377
average,0.5,2.0,0.0402551037852527
L2,0.5,0.5,0.0402331932663545
subtract,0.5,0.5,0.0398271680221402
average,0.25,2.0,0.0396935894720767
subtract,2.0,0.25,0.0395692332030022
L2,0.25,2.0,0.0393725419817987
L2,0.25,0.5,0.0391798546266521
L1,0.5,0.5,0.0391415027005683
subtract,1.0,1.0,0.0389312219972586
L2,0.5,0.25,0.0387844604407809
subtract,1.0,0.5,0.038689831947415
L1,0.25,0.5,0.038679391886082
subtract,0.5,0.25,0.038627960651676
subtract,0.25,0.25,0.0386017052329009
subtract,2.0,4.0,0.0385484624995483
L1,1.0,1.0,0.0383723864434318
L1,0.25,0.25,0.0383494288292113
average,4.0,2.0,0.0383422447185891
subtract,4.0,0.25,0.0383254784498814
L2,1.0,2.0,0.0381132145175444
subtract,0.25,1.0,0.0380859500553958
average,2.0,0.25,0.0379579841070217
L1,0.5,0.25,0.0378134431650036
L2,1.0,1.0,0.0375994066561672
average,0.5,1.0,0.0375043625624842
subtract,2.0,1.0,0.03742650948486
average,0.25,0.5,0.0372754564050843
average,2.0,1.0,0.0371320340535318
L1,1.0,2.0,0.0370275958803277
subtract,0.5,2.0,0.0369792415378712
average,2.0,4.0,0.0368616090520784
average,4.0,0.5,0.0365677693621329
L2,2.0,0.5,0.0364402753901612
subtract,4.0,0.5,0.0363650716201341
subtract,1.0,4.0,0.036351427691851
L1,2.0,4.0,0.0361784381066934
L1,1.0,0.5,0.0360723270856594
average,0.25,1.0,0.0358959068214895
L2,1.0,0.5,0.035723142179309
L2,2.0,4.0,0.0356774415492918
L1,2.0,2.0,0.0355841080247782
L1,0.5,1.0,0.0355379915677595
L1,4.0,0.25,0.0354647363266378
L1,0.25,2.0,0.0354231003051723
L2,4.0,0.5,0.0354203172837271
subtract,0.5,1.0,0.0353854068470987
L1,2.0,0.25,0.0353628168176384
L2,0.25,0.25,0.0349884505851754
subtract,2.0,0.5,0.0349421596169015
L2,4.0,2.0,0.0349339834268909
average,4.0,0.25,0.03485196784393
average,0.5,0.25,0.0348376274188105
L1,4.0,0.5,0.0344175314873433
L1,2.0,1.0,0.0343284799815781
L2,4.0,0.25,0.034088543539546
L1,0.25,1.0,0.0338750174874279
L2,1.0,4.0,0.0338084335831037
L2,2.0,0.25,0.0334573523884389
L1,1.0,4.0,0.0332298086766397
average,2.0,0.5,0.0332250508722423
L2,0.5,1.0,0.0327831082508216
L2,0.25,1.0,0.0325981761612474
L2,2.0,2.0,0.0320284435788078
L2,2.0,1.0,0.0319299853556025
L1,2.0,0.5,0.0319066329163513
L1,4.0,2.0,0.0318719815549659
subtract,4.0,2.0,0.0316706797899072
L1,0.5,2.0,0.0312291171176699
L2,0.5,2.0,0.029851693942812
L2,0.25,4.0,0.027140495734977
L2,0.5,4.0,0.0251761300814626
L2,4.0,4.0,0.023861673084596
L1,0.25,4.0,0.0236000762657608
L2,1.0,0.25,0.0234628409775276
L1,0.5,4.0,0.0231205129004627
subtract,0.25,4.0,0.0226728508608056
L1,4.0,4.0,0.0225495991990463
L1,1.0,0.25,0.0217283262068344
hadamard,1.0,0.5,0.021539937529072
subtract,1.0,0.25,0.0206376181435617
hadamard,2.0,0.5,0.0205933308098775
subtract,0.5,4.0,0.0205920123938998
subtract,4.0,4.0,0.0201972751548991
hadamard,1.0,4.0,0.0194404744678647
average,0.25,4.0,0.019209611802165
hadamard,2.0,2.0,0.0189064927022586
hadamard,4.0,4.0,0.0180843147196959
average,1.0,0.25,0.0180603010653995
average,0.5,4.0,0.0179935172140437
hadamard,1.0,0.25,0.0177129827473355
hadamard,0.25,2.0,0.0175306279216631
hadamard,0.25,0.5,0.0169759045234658
hadamard,0.5,4.0,0.0169380069540278
hadamard,2.0,4.0,0.0164114283301816
hadamard,4.0,0.5,0.0163296974948132
hadamard,0.5,0.25,0.0163084508772076
hadamard,0.5,2.0,0.0161826419260874
average,4.0,4.0,0.0161520110066262
hadamard,4.0,1.0,0.0160876348430131
hadamard,1.0,1.0,0.0160678900877228
hadamard,1.0,2.0,0.0160386675928971
hadamard,4.0,2.0,0.0159624664450755
hadamard,0.5,0.5,0.0159379625881332
hadamard,2.0,0.25,0.0158421891792843
hadamard,2.0,1.0,0.0156583000664769
hadamard,0.25,1.0,0.0150664157638588
hadamard,0.25,0.25,0.0146569901591326
hadamard,0.25,4.0,0.0140928813275146
hadamard,4.0,0.25,0.0136868002167999
hadamard,0.5,1.0,0.0134924977585427
