method,p,q,R2
average,4.0,0.25,0.1194914997220094
average,4.0,1.0,0.1162805676881553
average,0.5,1.0,0.1149424013553443
subtract,0.25,4.0,0.1137528374139449
subtract,4.0,1.0,0.1110394554711627
average,0.25,4.0,0.1101365880239811
average,2.0,4.0,0.1098500664298068
subtract,0.5,0.25,0.1075324886725346
L1,2.0,2.0,0.1065404366661038
subtract,4.0,0.25,0.1061622283781511
subtract,1.0,1.0,0.1060407256041997
subtract,2.0,0.5,0.1060219066405344
average,1.0,1.0,0.1058210575555765
subtract,2.0,2.0,0.1055520889817867
average,2.0,2.0,0.10496500104975
subtract,1.0,4.0,0.1047839576699405
subtract,0.25,0.5,0.1038321690774873
L1,1.0,4.0,0.1037146214374539
average,4.0,0.5,0.1033405816842305
L1,4.0,1.0,0.1026593841695318
subtract,0.5,1.0,0.1018713601347255
L1,0.5,0.25,0.1007818687431145
subtract,4.0,0.5,0.1001507242246563
average,4.0,2.0,0.0995164222401403
subtract,2.0,4.0,0.099357073618545
average,1.0,4.0,0.0991636384489782
average,2.0,0.5,0.0990814503603717
average,0.25,0.5,0.0984760896981284
L1,0.25,0.5,0.0984611644138375
L1,4.0,0.25,0.0980240619036162
L1,2.0,0.5,0.0977230643716292
average,0.5,4.0,0.0966675017048726
average,4.0,4.0,0.0962764333867893
average,0.5,0.25,0.095810534741524
average,1.0,2.0,0.0950620506638211
L1,2.0,4.0,0.0948039641039102
L2,2.0,2.0,0.094641950188695
L2,1.0,4.0,0.0945410176698389
subtract,4.0,4.0,0.0943265635349706
subtract,0.5,0.5,0.0928508331827826
subtract,0.5,4.0,0.0925542590338158
L1,0.5,4.0,0.0918825686067048
L2,2.0,0.5,0.0918279810511898
L1,1.0,2.0,0.0909029270535149
average,0.25,1.0,0.0904331665430439
L2,4.0,1.0,0.0899454655268928
L1,0.25,4.0,0.089193740221222
subtract,0.25,1.0,0.0887364885320944
subtract,1.0,2.0,0.088422430873442
L1,1.0,1.0,0.0883705248292568
subtract,2.0,0.25,0.0882931750766529
L1,0.5,1.0,0.0882751210090795
L1,4.0,0.5,0.0873783202578916
L2,0.25,0.5,0.0870091702411548
L1,0.5,0.5,0.0865390672308618
L2,4.0,0.25,0.0864277702636864
L1,0.25,1.0,0.0863963317096507
L2,0.25,4.0,0.0862886234766839
subtract,4.0,2.0,0.0861402853927488
L1,4.0,2.0,0.0856295235960323
L2,0.5,0.25,0.0852165903297286
average,2.0,0.25,0.0845828659714849
L2,1.0,2.0,0.0829796287695029
L2,0.5,1.0,0.0819207067745635
average,0.5,0.5,0.0811416920502419
L2,2.0,4.0,0.0811087234050681
L2,4.0,2.0,0.0792714395833109
L2,0.5,0.5,0.079046745533588
L2,0.25,1.0,0.0788780064675985
L1,2.0,0.25,0.0777526662949059
L2,4.0,0.5,0.0765569364575575
L2,0.5,4.0,0.074997305594578
L1,4.0,4.0,0.0729522738184959
L2,1.0,1.0,0.0712053091879352
L2,2.0,0.25,0.0638643291315391
L2,4.0,4.0,0.0624414443563456
L2,0.5,2.0,0.0502452131408019
L1,0.5,2.0,0.0479806348352669
L2,0.25,0.25,0.0448110712357464
subtract,0.5,2.0,0.0441478317161594
average,2.0,1.0,0.042945224681791
L1,0.25,0.25,0.0425429457838137
L1,1.0,0.25,0.042266272776836
L1,0.25,2.0,0.0419087263389499
L1,1.0,0.5,0.0404937941812687
subtract,0.25,0.25,0.040348203858661
L2,0.25,2.0,0.0399445420316382
L2,1.0,0.5,0.039832493874389
subtract,0.25,2.0,0.0395293493561157
subtract,1.0,0.5,0.0386184050885055
subtract,1.0,0.25,0.0383674442422231
average,1.0,0.25,0.0381538103909939
L2,1.0,0.25,0.0376650829154041
subtract,2.0,1.0,0.0366625383459108
L2,2.0,1.0,0.0366165558757575
average,0.5,2.0,0.0362357772919599
average,1.0,0.5,0.0359885272812203
hadamard,0.5,2.0,0.0357867862576229
L1,2.0,1.0,0.0354827057537701
hadamard,2.0,0.5,0.0353212113973442
average,0.25,2.0,0.0341376796223579
average,0.25,0.25,0.033122077905311
hadamard,0.5,0.5,0.0321203244806627
hadamard,2.0,2.0,0.0314057916643247
hadamard,4.0,1.0,0.0307960983728695
hadamard,2.0,4.0,0.0296229952756778
hadamard,1.0,4.0,0.0293478003372417
hadamard,4.0,2.0,0.0291719671803096
hadamard,0.25,2.0,0.028407155700825
hadamard,2.0,0.25,0.0273899681472009
hadamard,0.5,0.25,0.0268385852174098
hadamard,1.0,2.0,0.0262016930038437
hadamard,0.25,4.0,0.0258760244418154
hadamard,4.0,4.0,0.025861188854909
hadamard,1.0,1.0,0.0255334962603756
hadamard,0.5,4.0,0.0247318079141789
hadamard,1.0,0.25,0.0245983164729745
hadamard,1.0,0.5,0.0240357335935549
hadamard,0.25,0.25,0.0235280966027635
hadamard,2.0,1.0,0.0233532047060078
hadamard,0.25,0.5,0.0229896620946148
hadamard,0.5,1.0,0.0226391399172852
hadamard,4.0,0.25,0.0224526753380039
hadamard,4.0,0.5,0.0220705153040907
hadamard,0.25,1.0,0.0187518312529012
