method,p,q,R2
average,1.0,0.25,0.128215839695658
hadamard,4.0,2.0,0.1176180215526599
hadamard,1.0,0.5,0.1176174436602318
hadamard,2.0,0.5,0.1164000997714947
hadamard,1.0,0.25,0.1135911926431643
hadamard,1.0,1.0,0.1131755551074863
hadamard,0.5,0.5,0.1130152274032083
hadamard,0.5,2.0,0.1129197311630989
hadamard,0.25,1.0,0.1116227819224338
subtract,0.5,0.5,0.1115375007559317
L1,1.0,2.0,0.1104935105053094
hadamard,0.25,0.25,0.1103868076848153
hadamard,2.0,4.0,0.1103333106270921
average,0.5,2.0,0.1103088202688599
hadamard,0.5,4.0,0.1101927755732973
hadamard,4.0,4.0,0.1100429213770748
hadamard,0.5,0.25,0.109783953037891
hadamard,1.0,4.0,0.1095887452796768
hadamard,2.0,0.25,0.10929776337987
hadamard,0.25,2.0,0.1090487762226053
hadamard,1.0,2.0,0.1089295282652449
hadamard,2.0,2.0,0.1084890903554924
hadamard,0.5,1.0,0.1084758098502378
subtract,1.0,2.0,0.108347492049546
hadamard,4.0,1.0,0.1079675788635862
hadamard,2.0,1.0,0.1077324976988548
subtract,0.5,2.0,0.1075024519982548
hadamard,4.0,0.5,0.106547234366358
hadamard,0.25,0.5,0.1060014978322412
subtract,0.25,2.0,0.1058954742771431
average,1.0,2.0,0.1056353794477479
average,0.25,0.25,0.1050015372251926
subtract,0.5,1.0,0.1048727600797838
subtract,4.0,0.5,0.1048395464900588
L1,0.5,0.5,0.1047832667111208
hadamard,0.25,4.0,0.1046122386971551
L1,0.5,2.0,0.1045506365728499
average,0.25,1.0,0.1044744996093395
average,4.0,4.0,0.1039056329013137
average,4.0,1.0,0.1036457075472945
subtract,1.0,1.0,0.1035902732500765
subtract,2.0,1.0,0.1030822563355634
subtract,1.0,0.5,0.1025446849123948
average,1.0,0.5,0.10239032015978
hadamard,4.0,0.25,0.1023186834924763
subtract,4.0,2.0,0.1013028234651999
average,4.0,0.5,0.1010689828841161
subtract,4.0,1.0,0.1008053778290444
L1,0.25,2.0,0.1005513488806032
average,2.0,0.5,0.1004218703164974
L1,4.0,2.0,0.1001755488449515
L1,2.0,1.0,0.099676563648809
L2,1.0,2.0,0.0989604047912522
L1,4.0,1.0,0.0988650209368808
subtract,0.25,0.25,0.0987458898250771
average,1.0,4.0,0.0983078319133925
L2,0.5,2.0,0.0981694658895063
average,0.5,0.5,0.0981356937687412
L1,1.0,0.5,0.0980480164878065
L1,1.0,1.0,0.0979725450005295
subtract,0.5,4.0,0.0971234543095218
average,1.0,1.0,0.0970398898369325
average,4.0,2.0,0.0970264586830492
subtract,4.0,0.25,0.0967819646072065
L1,0.5,1.0,0.0966108436728658
subtract,2.0,4.0,0.0964082800489805
L1,2.0,0.5,0.0962985440972009
average,4.0,0.25,0.0960040356076865
L1,0.5,4.0,0.0956804582257512
average,2.0,2.0,0.0955089652670997
subtract,0.25,0.5,0.0954019746378253
L2,2.0,1.0,0.0940772253356301
L1,2.0,4.0,0.0933735985966902
average,0.25,0.5,0.0932850382037303
subtract,2.0,0.5,0.0931452474767787
average,0.25,4.0,0.0930654575280297
L1,0.25,0.5,0.0925604105407087
subtract,2.0,0.25,0.092205888727357
L1,4.0,0.5,0.0920058976914371
subtract,2.0,2.0,0.0919016674629149
L2,0.25,2.0,0.091676830106807
subtract,0.25,1.0,0.0916715031024388
average,0.5,0.25,0.0912395250741225
L2,4.0,1.0,0.0911963491012557
subtract,4.0,4.0,0.0910525282777818
L2,0.5,1.0,0.0909611981514186
L2,1.0,1.0,0.090690312474698
L2,1.0,0.5,0.0906260416722691
L2,2.0,0.5,0.0904224316517813
L2,4.0,0.5,0.0902048714354737
L2,0.5,4.0,0.0901806899963957
L1,4.0,0.25,0.0899938413873426
L2,0.5,0.5,0.0899722208528961
subtract,0.5,0.25,0.0897567975457479
L1,2.0,2.0,0.0896747394230087
L1,0.25,0.25,0.0895440683141166
average,2.0,1.0,0.0894297065964685
average,0.5,4.0,0.0892060347897407
subtract,0.25,4.0,0.0891308623936574
average,0.25,2.0,0.0886110079648959
L1,1.0,4.0,0.0877830840582555
L1,2.0,0.25,0.087659925243111
L1,4.0,4.0,0.087273442927102
average,0.5,1.0,0.0871941693498332
L1,0.5,0.25,0.0870517050775536
subtract,1.0,4.0,0.0865296630911914
L2,4.0,2.0,0.086323946917908
L2,2.0,0.25,0.0853808925377073
L2,0.25,1.0,0.084912601178496
L1,0.25,1.0,0.0839279123490581
average,2.0,4.0,0.0828579813227997
L1,0.25,4.0,0.0827849086328691
L2,0.5,0.25,0.0820592622817973
average,2.0,0.25,0.0818041181172559
L2,0.25,0.25,0.0811290834893442
L2,2.0,2.0,0.0810896282398203
L2,2.0,4.0,0.0794129593605132
L2,1.0,4.0,0.0793348196673511
L2,0.25,0.5,0.078717530816006
L2,4.0,4.0,0.0784772611075543
L2,4.0,0.25,0.0782940987320027
L2,0.25,4.0,0.0731752955650023
subtract,1.0,0.25,0.0546853334845238
L1,1.0,0.25,0.0540673934506531
L2,1.0,0.25,0.0490564460933452
