method,p,q,R2
hadamard,0.5,4.0,0.0914987649542692
hadamard,2.0,4.0,0.0855166868636015
hadamard,1.0,0.25,0.0848485833009397
hadamard,1.0,1.0,0.0825143356867939
hadamard,0.25,0.5,0.0817961542501874
hadamard,2.0,0.5,0.0807928934052826
L2,2.0,0.5,0.0751465092547269
hadamard,2.0,2.0,0.0750074588699288
hadamard,0.5,0.25,0.074860480920618
hadamard,0.25,1.0,0.0736898557086783
hadamard,0.5,0.5,0.0730741370919784
hadamard,0.25,4.0,0.0696122835579566
hadamard,2.0,1.0,0.0694943944501249
hadamard,1.0,0.5,0.0660351634290697
hadamard,2.0,0.25,0.0656165009793131
hadamard,1.0,4.0,0.0638186527990297
L2,1.0,1.0,0.0629181004779758
hadamard,0.5,2.0,0.0607744860141389
hadamard,0.5,1.0,0.0599860605735069
hadamard,4.0,4.0,0.0591263907355799
hadamard,4.0,2.0,0.0590709303278523
hadamard,0.25,0.25,0.0588767646287731
hadamard,1.0,2.0,0.0574591867358038
L2,0.5,0.5,0.0570136770832585
L2,2.0,4.0,0.0558271843267916
hadamard,0.25,2.0,0.05570840668894
hadamard,4.0,1.0,0.0556433833556612
L2,0.5,4.0,0.0553534114230088
L2,4.0,2.0,0.055312317206381
hadamard,4.0,0.5,0.0531983465754337
L2,1.0,4.0,0.0523327393526436
L2,2.0,0.25,0.0522904630262851
hadamard,4.0,0.25,0.05051602336742
L2,0.25,4.0,0.0505007734093341
L1,4.0,4.0,0.0500060713189421
subtract,4.0,4.0,0.049652339750746
L2,4.0,4.0,0.0488863097279927
L2,0.25,1.0,0.048409996267254
L2,1.0,0.25,0.0480466542025217
L1,1.0,4.0,0.0478177690367519
subtract,1.0,4.0,0.0472605421722669
subtract,0.5,4.0,0.0471282967123593
subtract,0.5,0.5,0.0468359030482955
L1,0.5,4.0,0.0463911574601032
L2,0.25,0.25,0.0463054517699285
L2,1.0,0.5,0.0462912649425294
L2,0.5,2.0,0.0460672945225023
L1,0.5,0.5,0.0459503262656861
L1,2.0,0.5,0.0458001400142981
L2,0.25,0.5,0.0457935277829931
L1,1.0,1.0,0.0457217321201389
L1,2.0,0.25,0.0455190716902915
subtract,1.0,1.0,0.0452601772362947
subtract,0.5,2.0,0.0448219651629768
L1,4.0,2.0,0.044820017612618
subtract,2.0,0.25,0.0446571783101938
subtract,2.0,0.5,0.0445751368648394
average,0.5,0.25,0.0442194889814632
L2,0.5,1.0,0.0441202422157362
average,1.0,1.0,0.0439454640474472
L1,0.25,0.25,0.043939030208172
L2,0.5,0.25,0.043915019151375
average,2.0,0.25,0.043544197796886
average,0.25,4.0,0.0434524638491252
average,1.0,2.0,0.0430752674449005
subtract,4.0,2.0,0.0428600204949959
L1,1.0,0.5,0.0424467922841519
L2,0.25,2.0,0.0424359477772542
average,4.0,2.0,0.0423708145035631
subtract,2.0,4.0,0.0422034731675922
average,2.0,0.5,0.0416296291321736
subtract,1.0,0.25,0.0415431177992946
L1,0.5,2.0,0.0413699829304253
average,0.5,2.0,0.0410856705873136
average,0.25,1.0,0.0410549066277404
average,0.25,0.25,0.041011787797998
subtract,0.25,0.25,0.0409114176181703
L1,2.0,4.0,0.040876622148479
L2,4.0,0.5,0.0408167339733018
subtract,4.0,0.5,0.0406883458214483
L1,4.0,0.5,0.040628446636883
L2,2.0,1.0,0.0404783475478178
subtract,0.25,1.0,0.0402863120312289
L1,1.0,0.25,0.040278294319294
L2,1.0,2.0,0.039692171834601
L2,2.0,2.0,0.039374036384609
L1,0.25,1.0,0.0392950748224217
average,4.0,0.5,0.0392556420162523
average,2.0,4.0,0.0391332997085716
average,0.25,0.5,0.0390795397414974
average,1.0,0.25,0.0387152288324641
average,0.5,4.0,0.0386897666829336
subtract,0.25,0.5,0.0384800600795893
average,4.0,4.0,0.0384101711082308
L2,4.0,0.25,0.0379313475719048
L1,0.25,0.5,0.0378764342198365
subtract,0.5,0.25,0.0375933325084016
subtract,0.25,2.0,0.0374315932974108
average,0.5,0.5,0.0373240175528408
L1,0.25,2.0,0.0371166078397339
subtract,0.25,4.0,0.0368596306943034
L1,0.5,0.25,0.0366219486777635
average,0.25,2.0,0.0365593003757218
L1,0.25,4.0,0.0364243542266807
subtract,1.0,2.0,0.0361739663844502
L1,2.0,1.0,0.0361051023065428
L2,4.0,1.0,0.035853064805185
L1,2.0,2.0,0.0353713592082806
subtract,1.0,0.5,0.0352893850684871
L1,1.0,2.0,0.034808455247444
L1,0.5,1.0,0.0327634553104813
L1,4.0,0.25,0.0324738704079642
subtract,2.0,2.0,0.0324125030453975
subtract,0.5,1.0,0.0320671158292511
subtract,4.0,0.25,0.0312283332874151
subtract,4.0,1.0,0.0311345626378599
subtract,2.0,1.0,0.0308761650713128
average,1.0,4.0,0.0305983885643839
L1,4.0,1.0,0.0305969155129918
average,2.0,1.0,0.0303006885917579
average,4.0,1.0,0.0284413334518356
average,2.0,2.0,0.0271549725294067
average,1.0,0.5,0.0270301168179367
average,0.5,1.0,0.0265038822500867
average,4.0,0.25,0.0263286763542142
