method,p,q,R2
hadamard,2.0,0.25,0.1294711479630936
L1,0.5,4.0,0.1274590028644817
subtract,0.5,4.0,0.1262778439961509
hadamard,0.5,4.0,0.1251298749927267
hadamard,4.0,0.5,0.1246473737837864
L2,0.5,4.0,0.1246385458695304
hadamard,1.0,1.0,0.1245699236580251
hadamard,0.5,1.0,0.1228220975231839
hadamard,1.0,0.5,0.1222606012670002
hadamard,1.0,4.0,0.1215871063499107
average,4.0,0.5,0.1205694414372258
hadamard,0.25,0.25,0.1204656108704048
hadamard,2.0,0.5,0.1201600581551742
hadamard,0.5,0.25,0.1200257481306682
hadamard,0.25,4.0,0.1200122309734882
hadamard,0.5,2.0,0.1192811235888789
hadamard,0.25,0.5,0.1187425966252215
hadamard,0.25,1.0,0.1183306488348394
hadamard,0.25,2.0,0.1182599925157891
hadamard,2.0,2.0,0.1181806375029466
hadamard,4.0,2.0,0.1174119991855737
hadamard,1.0,2.0,0.1173163902032661
average,0.25,1.0,0.1172736219002913
hadamard,4.0,4.0,0.1171904144254848
hadamard,2.0,1.0,0.1166285204247966
subtract,0.5,0.25,0.1162580856058641
hadamard,1.0,0.25,0.1161763720703551
average,0.5,1.0,0.1158459602285194
hadamard,0.5,0.5,0.1153580496634437
hadamard,2.0,4.0,0.1144548318831667
hadamard,4.0,0.25,0.1143370482552839
L1,0.5,0.25,0.114257778509433
subtract,4.0,2.0,0.1130280057286718
subtract,1.0,1.0,0.1129790681801802
average,0.25,0.25,0.1120711686721146
L1,4.0,2.0,0.1119679302463342
hadamard,4.0,1.0,0.1113370968688961
average,0.5,0.25,0.1089100165824068
subtract,0.25,2.0,0.1086571810063891
subtract,2.0,1.0,0.1085705611727628
subtract,2.0,4.0,0.1081376068252194
subtract,2.0,0.5,0.1078212775277048
average,1.0,2.0,0.10772893072027
average,0.25,0.5,0.1077199615492779
average,1.0,0.5,0.1073566601151834
L2,2.0,0.5,0.1073529262640694
L1,0.25,2.0,0.1067069321944834
subtract,4.0,1.0,0.1066691766140737
L1,2.0,0.5,0.1064923841885805
L2,0.5,0.25,0.1063624371007923
average,2.0,0.25,0.1062363883417355
L2,0.25,2.0,0.1061870671013182
average,4.0,1.0,0.1058720157406394
L1,2.0,4.0,0.1058425173613026
average,1.0,0.25,0.1057895886456004
average,1.0,4.0,0.1054420145820512
subtract,2.0,0.25,0.1052180082168073
L2,4.0,2.0,0.105173578507475
average,0.25,2.0,0.1038724083929143
average,2.0,0.5,0.1037107505046026
average,1.0,1.0,0.1032128876990517
average,0.5,4.0,0.1025786037707552
subtract,0.25,0.25,0.1025400546190532
subtract,0.5,0.5,0.1024247156717841
subtract,4.0,4.0,0.1020797139931397
L1,4.0,1.0,0.1010430141596407
L1,0.5,0.5,0.1006219412335023
average,4.0,4.0,0.1006117782442085
L1,1.0,1.0,0.0999391697535114
L2,4.0,1.0,0.0998196565502531
subtract,4.0,0.25,0.0990984960432771
L2,2.0,4.0,0.0990887375240763
subtract,1.0,0.5,0.0989874884614894
subtract,0.5,1.0,0.0988309138120605
L2,0.5,0.5,0.0982764159240265
average,2.0,1.0,0.0981662928960697
L1,2.0,0.25,0.0976612173674852
average,4.0,0.25,0.0974709471687518
average,4.0,2.0,0.0972106190138496
subtract,0.5,2.0,0.0969478524081832
L1,0.5,1.0,0.0968619742523912
average,0.25,4.0,0.0965073881996305
L2,2.0,0.25,0.0957105996612711
average,0.5,0.5,0.095515321234606
L1,0.25,4.0,0.0951034753521984
L1,2.0,1.0,0.0949143035810109
subtract,0.25,4.0,0.0942841977120156
average,2.0,4.0,0.0937177286856282
L2,1.0,1.0,0.0930854387836493
subtract,1.0,4.0,0.0930391827670393
L1,0.5,2.0,0.0922063468626381
subtract,1.0,2.0,0.0917587209401937
L2,4.0,4.0,0.0915693591243361
L1,1.0,0.5,0.0907076440111107
subtract,2.0,2.0,0.0905984048297477
L1,0.25,0.25,0.090573267108989
average,2.0,2.0,0.0902792523560048
subtract,1.0,0.25,0.090192492236457
average,0.5,2.0,0.0897862642911375
L2,0.5,2.0,0.089703855942803
L1,1.0,4.0,0.0891968483663641
L2,1.0,0.25,0.0890385580644094
L2,0.25,4.0,0.0888512892448003
L2,1.0,4.0,0.0888276527334612
L1,0.25,0.5,0.0885556576776346
L2,1.0,2.0,0.087805355183287
L1,1.0,0.25,0.087580188437901
L1,4.0,4.0,0.0873030703326295
L2,0.5,1.0,0.0872876660107869
L1,2.0,2.0,0.086945173707512
subtract,0.25,0.5,0.0869221204546323
L1,1.0,2.0,0.0865147863786632
L2,1.0,0.5,0.0863593233986056
subtract,0.25,1.0,0.0860184677777584
L2,4.0,0.25,0.0844471897813654
L2,2.0,1.0,0.0843123635148848
L1,4.0,0.25,0.0830995475511199
L2,0.25,0.25,0.0827593179852475
L1,0.25,1.0,0.0821909902080438
L2,2.0,2.0,0.0799887056900675
L2,0.25,1.0,0.0794996155590626
L2,0.25,0.5,0.0793739787114372
subtract,4.0,0.5,0.0769881789004618
L1,4.0,0.5,0.0759982400621652
L2,4.0,0.5,0.0758304539461366
