method,p,q,R2
subtract,2.0,0.5,0.1758870504063541
average,4.0,4.0,0.1746077165748787
L1,2.0,0.5,0.1742061952373597
L2,2.0,0.5,0.1724083717926741
average,1.0,2.0,0.1711943974925925
subtract,1.0,1.0,0.1641673632620788
average,0.5,1.0,0.1630532471998037
subtract,0.25,2.0,0.1618477847120262
subtract,0.25,1.0,0.1615497305446529
average,1.0,0.25,0.161505294204159
average,0.25,0.25,0.1606990167643913
subtract,0.5,1.0,0.1601332597633724
average,1.0,4.0,0.1580340362761076
average,1.0,0.5,0.1575881251227817
average,0.25,2.0,0.1569484325185035
subtract,2.0,1.0,0.1567096015640985
L1,2.0,1.0,0.1558884789406244
subtract,0.25,0.25,0.1553683073432618
L1,1.0,1.0,0.1548953198870684
subtract,0.5,0.5,0.1545529169865053
subtract,2.0,4.0,0.1543885833947812
L1,2.0,4.0,0.1532616086212592
L1,0.25,0.25,0.1527609353028661
hadamard,2.0,0.5,0.1513570922230881
subtract,4.0,0.5,0.1513500725312339
average,0.25,4.0,0.1510216279700829
hadamard,0.5,0.25,0.1509797678943427
subtract,2.0,0.25,0.1503886473413184
L2,0.25,0.25,0.1497087632323768
subtract,1.0,0.25,0.1496952972109988
L1,4.0,0.5,0.1489152088300278
subtract,0.5,4.0,0.1485571815191689
L1,0.5,0.5,0.1484359877820562
L1,0.25,2.0,0.1481546384945329
subtract,1.0,4.0,0.1481151748615626
average,2.0,4.0,0.1475656690153238
L1,2.0,0.25,0.1468611973415455
subtract,0.5,0.25,0.1468453039531766
average,0.5,4.0,0.1467770327600777
subtract,0.25,4.0,0.1466903884479623
hadamard,2.0,2.0,0.1465989975551221
subtract,1.0,2.0,0.1464991352945331
hadamard,0.25,0.25,0.1463402760107232
hadamard,4.0,1.0,0.146300832665794
average,0.5,0.25,0.1462024055129551
L1,1.0,0.25,0.1460211099098237
L2,2.0,1.0,0.1456702799797991
hadamard,0.25,4.0,0.1455071037406218
subtract,4.0,0.25,0.1454210286099323
hadamard,0.5,0.5,0.1451596402001801
L1,0.5,1.0,0.145006893528612
hadamard,1.0,0.25,0.1448933565501186
hadamard,1.0,2.0,0.1448892896810985
hadamard,4.0,0.5,0.1440779546982085
hadamard,0.5,2.0,0.1440535857283692
L1,0.25,1.0,0.1437904649884448
hadamard,2.0,0.25,0.1432494230571336
L2,0.25,2.0,0.1431701725888932
hadamard,1.0,0.5,0.143032818391223
average,2.0,2.0,0.1426593001701082
hadamard,0.25,1.0,0.1426490988184365
L1,4.0,2.0,0.1425398120917336
L2,1.0,1.0,0.1424789645254403
L1,4.0,0.25,0.1422319794018164
L1,1.0,4.0,0.1419223353000147
L2,4.0,0.5,0.1418880910416166
L2,2.0,4.0,0.141771822487183
hadamard,1.0,1.0,0.1416920675964608
hadamard,2.0,4.0,0.1416298331690036
subtract,1.0,0.5,0.1414446143995771
hadamard,0.5,4.0,0.1410272504215386
hadamard,4.0,2.0,0.14081149758338
hadamard,4.0,0.25,0.1407483529824211
subtract,4.0,1.0,0.1406391629053113
L2,2.0,0.25,0.1401794554136892
L1,0.25,4.0,0.140097908565111
L1,0.5,4.0,0.1400532487192447
L2,0.5,0.5,0.1399905349190705
average,0.25,1.0,0.1399829509933328
L2,0.5,1.0,0.1397460721811375
hadamard,2.0,1.0,0.1396928592834337
hadamard,0.25,0.5,0.1394498949458976
hadamard,4.0,4.0,0.1393912766484097
L1,4.0,1.0,0.1391286602042345
L1,0.5,0.25,0.139019542255724
hadamard,0.5,1.0,0.1389425159088588
average,0.25,0.5,0.1389166814823648
L1,1.0,2.0,0.1384290473751753
average,0.5,0.5,0.138375820525395
average,0.5,2.0,0.1380997721689391
hadamard,1.0,4.0,0.1374536950864052
subtract,2.0,2.0,0.1372614449612326
hadamard,0.25,2.0,0.1371911684537892
L2,4.0,2.0,0.1368105547951923
L2,1.0,0.25,0.1366292507704015
average,4.0,0.5,0.1351082412727031
L2,4.0,0.25,0.1348385306739189
subtract,4.0,2.0,0.1348246028691622
subtract,0.5,2.0,0.1342659072366148
L1,0.5,2.0,0.1340248493130343
average,1.0,1.0,0.1329467546543067
subtract,0.25,0.5,0.1323557324375958
L1,2.0,2.0,0.13103415010336
L2,0.25,1.0,0.1303075784739507
L2,1.0,2.0,0.1298345666842795
L2,4.0,1.0,0.128991291933712
L2,0.5,4.0,0.1289042059940096
average,2.0,1.0,0.1286174057193112
L2,0.25,4.0,0.1284775708023542
L2,2.0,2.0,0.1282746175296486
L1,0.25,0.5,0.1279307759671155
subtract,4.0,4.0,0.1275113721640107
L1,1.0,0.5,0.1274632018828529
L1,4.0,4.0,0.1273367960731175
L2,0.5,0.25,0.1268698509629382
average,2.0,0.25,0.1259683845966307
L2,0.5,2.0,0.1257027161006368
average,4.0,1.0,0.125702669093365
L2,1.0,0.5,0.1247631892965797
average,2.0,0.5,0.1231055127711371
L2,1.0,4.0,0.1223802416354935
average,4.0,0.25,0.1221390469511582
average,4.0,2.0,0.1199660260133289
L2,4.0,4.0,0.1182783933221028
L2,0.25,0.5,0.1165895536574761
