method,p,q,R2
hadamard,0.25,1.0,0.1354984205137084
L2,4.0,0.5,0.1330349259628577
hadamard,0.5,1.0,0.132727520394616
subtract,4.0,0.5,0.1326835679944387
subtract,4.0,0.25,0.1321376524879138
hadamard,0.25,0.25,0.1315311432846448
hadamard,0.25,4.0,0.1312026013723154
hadamard,0.5,0.25,0.1308493563965969
hadamard,4.0,0.25,0.1261966258752087
hadamard,2.0,0.5,0.1243610276188759
L2,4.0,0.25,0.1242158096503261
subtract,0.25,0.5,0.1222469910017324
average,0.5,0.25,0.121997334576026
L1,4.0,0.25,0.1217210140028004
average,2.0,4.0,0.1211996590427062
L1,4.0,0.5,0.1210734324838574
average,2.0,0.25,0.1210303145176976
hadamard,4.0,2.0,0.1203468455176309
hadamard,1.0,1.0,0.1187514363541492
L2,1.0,1.0,0.1185317777242865
subtract,1.0,4.0,0.1185002831536043
hadamard,0.25,0.5,0.1178645254193961
L1,0.25,0.5,0.1174027877798153
hadamard,1.0,0.25,0.1165814536032618
hadamard,2.0,4.0,0.1158281377328105
L2,0.5,1.0,0.1156448272694843
hadamard,0.5,4.0,0.1156070773936271
hadamard,2.0,1.0,0.1151739926481554
L2,2.0,4.0,0.1147538333514347
L2,0.25,1.0,0.1144740042704345
hadamard,1.0,4.0,0.1141463656303817
hadamard,4.0,1.0,0.1140734810260915
average,0.5,2.0,0.1135704748497296
subtract,0.25,1.0,0.1132826267430678
subtract,2.0,4.0,0.1130844080134457
L2,0.5,0.25,0.1126521976471397
L2,0.25,0.5,0.1126123355606415
L1,1.0,1.0,0.1126014414885933
hadamard,2.0,2.0,0.1125297659237324
hadamard,4.0,0.5,0.1124165024523856
hadamard,1.0,2.0,0.1121912683421211
L1,0.5,1.0,0.1121559694170608
L2,2.0,1.0,0.1121371212309915
hadamard,0.5,2.0,0.1118263504865714
hadamard,0.25,2.0,0.111773455505334
average,1.0,1.0,0.1114239751591472
average,0.25,0.5,0.1113071848298773
subtract,4.0,1.0,0.1113025483488844
hadamard,1.0,0.5,0.1112422246262726
L1,0.25,1.0,0.1112382651012812
subtract,1.0,1.0,0.1111956353047775
L2,4.0,2.0,0.110786116013533
subtract,2.0,1.0,0.1107683887538623
average,1.0,0.25,0.1101052164829383
L2,4.0,4.0,0.1097018657316768
average,4.0,0.25,0.1095651175255804
hadamard,0.5,0.5,0.1091598781100128
L1,4.0,1.0,0.1091340627523599
L1,0.5,0.25,0.1091206030207814
subtract,0.5,1.0,0.1084447848520486
L1,2.0,4.0,0.1082224640262454
average,4.0,2.0,0.1079721948834055
L2,4.0,1.0,0.107934698817642
subtract,2.0,0.25,0.1071560517611716
average,1.0,4.0,0.1071458133616071
hadamard,4.0,4.0,0.1066728496017047
L2,2.0,2.0,0.1064880779447641
L2,0.25,0.25,0.1063078265156314
L2,1.0,4.0,0.1062302204041667
average,0.5,1.0,0.1061116058338806
subtract,0.5,0.25,0.1055521579539416
average,0.5,4.0,0.1054476731252552
subtract,2.0,2.0,0.1052849616434213
L1,2.0,1.0,0.1051560283023935
subtract,0.25,4.0,0.1050651551514776
L2,1.0,0.5,0.1046927765832048
subtract,0.25,0.25,0.1046685158644969
L1,1.0,0.5,0.1045524651820949
subtract,4.0,4.0,0.1045407042412013
L1,4.0,4.0,0.1044898375004808
subtract,1.0,0.5,0.1041270730315492
L1,2.0,0.25,0.104053926683542
subtract,0.25,2.0,0.1040059068629168
hadamard,2.0,0.25,0.1039147150260433
subtract,0.5,2.0,0.1032562403539174
average,1.0,0.5,0.1031951887028689
average,4.0,1.0,0.1028749411698948
subtract,0.5,4.0,0.1025061746796569
L1,1.0,4.0,0.102039780214693
average,2.0,0.5,0.1019011094512638
L1,0.5,4.0,0.1010372109919809
L2,0.25,2.0,0.1009392689973492
L1,0.25,0.25,0.1007461978483745
L1,0.25,2.0,0.0992914931287329
L1,4.0,2.0,0.0990762527470839
L1,2.0,2.0,0.0983386454344115
L1,0.25,4.0,0.0982302962630226
L2,0.5,2.0,0.0981593756771751
L2,0.25,4.0,0.0977201654751759
L2,2.0,0.25,0.0971735158674899
average,2.0,1.0,0.0969444314423297
average,4.0,4.0,0.096649146644163
L1,0.5,2.0,0.0963301921615967
L2,0.5,4.0,0.0960965979308623
average,4.0,0.5,0.0954243556364893
average,0.5,0.5,0.0950991164248665
subtract,4.0,2.0,0.093140151033132
average,0.25,0.25,0.0915374163288204
L2,2.0,0.5,0.0914765437516093
average,0.25,4.0,0.0898241697690409
subtract,0.5,0.5,0.0898032971231135
L1,2.0,0.5,0.0892964771524443
subtract,1.0,0.25,0.0890092407667255
subtract,1.0,2.0,0.0888606163543627
average,0.25,2.0,0.0882259498457906
subtract,2.0,0.5,0.0880174776186976
average,0.25,1.0,0.0877612800154612
L2,1.0,2.0,0.0876176955319316
L2,1.0,0.25,0.0873130984739363
average,2.0,2.0,0.0864528422115639
average,1.0,2.0,0.0856220507458496
L1,1.0,2.0,0.0839916351031263
L1,0.5,0.5,0.0835459206709432
L1,1.0,0.25,0.0832971329077193
L2,0.5,0.5,0.0822466540844268
