method,p,q,R2
subtract,0.5,0.5,0.1912485800692136
L1,0.5,0.5,0.1910054406846991
subtract,0.5,1.0,0.1907996475082619
average,4.0,2.0,0.1893864893691762
L2,0.5,0.5,0.1891359009096306
subtract,0.25,0.25,0.1877373635940418
average,0.25,1.0,0.1851775992817178
subtract,4.0,0.5,0.1851492096618749
L1,4.0,4.0,0.1850639066914267
L1,4.0,0.5,0.1844852508889271
subtract,0.25,2.0,0.1844310267594001
hadamard,0.5,0.5,0.1827933609675884
subtract,4.0,4.0,0.1816727159022212
L1,0.25,0.25,0.1812565864865474
L1,0.25,2.0,0.1809726833257704
hadamard,0.25,1.0,0.1784053784477351
hadamard,0.5,1.0,0.1783313687559014
subtract,4.0,1.0,0.1778912180517534
average,1.0,2.0,0.1777986197622841
hadamard,0.5,0.25,0.1775535559301893
hadamard,4.0,0.5,0.1772474401492852
L2,4.0,0.5,0.176853381811176
hadamard,4.0,2.0,0.1766052513218708
L2,0.25,0.25,0.1765796407476055
hadamard,4.0,4.0,0.1762632084306166
average,2.0,2.0,0.1759926512437556
L1,1.0,0.25,0.175943227900402
subtract,0.5,4.0,0.175862457219406
L1,0.5,1.0,0.1757060124796049
average,0.5,0.5,0.1757007898473257
average,4.0,4.0,0.1752832419268468
hadamard,1.0,1.0,0.1750574238111486
L2,0.25,2.0,0.1748237251913306
hadamard,0.25,0.25,0.1746827716416311
average,0.25,0.25,0.1744302562334915
L1,4.0,1.0,0.1743578656033972
hadamard,0.5,4.0,0.174222486562774
L2,4.0,4.0,0.1741889482038031
L2,0.5,1.0,0.1735458672723699
subtract,1.0,0.25,0.1735113520427854
L1,0.5,4.0,0.1731669411056099
hadamard,0.5,2.0,0.1731066927356546
hadamard,0.25,0.5,0.1725584460884677
hadamard,2.0,2.0,0.1723544021065728
hadamard,4.0,0.25,0.1722070287485023
hadamard,0.25,4.0,0.1718632690892548
hadamard,4.0,1.0,0.1718618043393978
hadamard,2.0,1.0,0.1715602096538637
subtract,0.25,0.5,0.171394567899622
average,2.0,1.0,0.1709398104343227
hadamard,1.0,0.5,0.1706260499896411
hadamard,1.0,2.0,0.1705402354000009
subtract,1.0,4.0,0.1696307237449065
subtract,2.0,0.5,0.1692955024514287
hadamard,2.0,0.25,0.1691182780317608
hadamard,1.0,4.0,0.1690628903914415
L2,0.5,4.0,0.1689997288765063
hadamard,0.25,2.0,0.1686870289672043
L2,4.0,1.0,0.1684348590606088
subtract,0.5,0.25,0.1679007985951947
hadamard,2.0,0.5,0.1678417034899162
hadamard,1.0,0.25,0.1677714912455986
average,0.25,4.0,0.1676703911945298
hadamard,2.0,4.0,0.1675999963123944
average,2.0,0.5,0.1673326717137908
L1,1.0,4.0,0.1662863893486104
L1,2.0,0.5,0.1653856957829228
average,0.5,4.0,0.1644876941849092
L1,4.0,0.25,0.1629868398409474
subtract,2.0,4.0,0.162701342185921
L2,1.0,0.25,0.1624953554068871
average,2.0,4.0,0.1624599963963581
L1,0.25,0.5,0.1620629635533553
subtract,4.0,0.25,0.1619428702304958
L1,0.5,0.25,0.1614496544723388
subtract,2.0,0.25,0.160356643332054
subtract,0.25,4.0,0.1603442139469927
subtract,4.0,2.0,0.1595362837744492
subtract,2.0,2.0,0.1594964367882975
L2,4.0,0.25,0.1588107286317672
subtract,0.5,2.0,0.1581689379308691
average,1.0,0.5,0.157893750626305
L1,4.0,2.0,0.1578372041811511
average,0.25,0.5,0.1574458319856698
L2,1.0,4.0,0.1569976924686968
L1,0.25,4.0,0.1562093537802924
L2,2.0,0.5,0.1561164516795143
average,4.0,0.5,0.1552428607274628
average,1.0,4.0,0.1550161864641028
average,4.0,0.25,0.1540131359112128
L1,0.5,2.0,0.1539892205015424
subtract,1.0,2.0,0.1538343480260663
average,0.5,1.0,0.1530905264237776
average,0.5,2.0,0.1530084415845106
subtract,2.0,1.0,0.1526937967565874
L2,4.0,2.0,0.1518577672459391
L1,1.0,2.0,0.1515012475204195
L2,0.25,0.5,0.1514185465400372
L1,2.0,0.25,0.1507018690732426
L2,0.5,0.25,0.1502321527489424
subtract,1.0,1.0,0.1490082027589486
subtract,0.25,1.0,0.1488261401196385
average,0.25,2.0,0.1484903616196878
L2,0.5,2.0,0.1475852578035352
L2,0.25,4.0,0.1474157047209108
average,4.0,1.0,0.147341322274905
L2,1.0,2.0,0.1450639606283412
L1,2.0,4.0,0.1448601548246542
L1,2.0,2.0,0.1446406801878705
average,2.0,0.25,0.1442051109281007
L2,2.0,0.25,0.1431668035315316
L1,2.0,1.0,0.1429324069725239
average,1.0,1.0,0.1428848544002366
average,1.0,0.25,0.1428093370920943
L2,2.0,2.0,0.1403738716942331
subtract,1.0,0.5,0.1398379584157352
L1,1.0,1.0,0.139450635040165
L1,1.0,0.5,0.1344472353357363
L2,2.0,4.0,0.1335173035012357
average,0.5,0.25,0.132152255290316
L2,1.0,1.0,0.1320757924340752
L2,2.0,1.0,0.1317545451356938
L2,1.0,0.5,0.1291229269531432
L1,0.25,1.0,0.1234097065643348
L2,0.25,1.0,0.1222163467960367
