method,p,q,R2
subtract,0.5,0.25,0.2502601171258016
average,0.5,0.25,0.2452880234507194
subtract,4.0,0.5,0.2438165262582025
average,4.0,0.5,0.2424623130685504
average,1.0,0.25,0.2407539946467186
L1,0.5,0.25,0.2390104465648652
subtract,4.0,1.0,0.2388737734047041
subtract,1.0,0.25,0.2364756275339772
subtract,0.25,1.0,0.2360099365702758
average,4.0,1.0,0.2349857716127035
average,0.25,2.0,0.2346664238890129
subtract,0.5,2.0,0.2328945962675358
L1,4.0,0.5,0.232645244609585
subtract,0.5,0.5,0.2321220296012599
average,0.5,0.5,0.2317971342742637
average,1.0,2.0,0.2317231729899327
L1,1.0,0.25,0.2312867732691531
L2,0.25,2.0,0.2311899132231821
L1,0.5,2.0,0.2310612581988773
subtract,0.25,2.0,0.2304751398045164
L2,2.0,1.0,0.229219080010786
L2,4.0,1.0,0.2288587391358589
L2,0.5,2.0,0.2287186491226347
average,0.5,2.0,0.2287102371538838
average,0.25,1.0,0.2279258672548247
average,0.5,4.0,0.2278591082916337
L1,4.0,1.0,0.2270278426858843
L2,0.5,0.25,0.2263076845463318
L1,0.25,1.0,0.2261728960319551
subtract,1.0,2.0,0.2256720931655494
subtract,2.0,2.0,0.2228950197406769
L1,1.0,2.0,0.2222078877306487
L2,1.0,0.25,0.2207086839734976
subtract,0.5,4.0,0.2199007188103754
average,2.0,2.0,0.2194210905235434
L2,1.0,2.0,0.219317073675768
average,1.0,4.0,0.2167936950909584
L1,0.5,0.5,0.2158401214094929
L2,1.0,4.0,0.215825306540054
L2,0.25,1.0,0.2152539889647944
L1,0.25,2.0,0.2146402357333279
subtract,1.0,1.0,0.2144953471130076
L2,4.0,0.5,0.2143009004641758
subtract,1.0,4.0,0.2139734032654124
L1,2.0,1.0,0.2136858952182236
L2,0.5,0.5,0.2136728653230705
L1,1.0,4.0,0.2136632621515809
average,2.0,1.0,0.2130128224657169
average,1.0,1.0,0.2121818256711053
L2,2.0,0.25,0.2108232129451575
average,0.25,4.0,0.2106087943032185
subtract,0.25,4.0,0.2105584632844916
L1,2.0,0.25,0.2103654034014422
subtract,2.0,1.0,0.2090699166892045
L2,2.0,2.0,0.2086533876557689
subtract,2.0,0.25,0.2084959394820987
L1,2.0,2.0,0.2051781831792622
average,2.0,0.25,0.2050635967599381
subtract,4.0,0.25,0.2045221267741932
average,4.0,0.25,0.203196703953155
L2,0.25,4.0,0.2016015029739932
L1,0.25,4.0,0.199844457019781
L2,4.0,0.25,0.1976129269671742
subtract,0.25,0.5,0.1969948070931849
L1,4.0,0.25,0.1968183600615799
L2,4.0,4.0,0.196293105191164
average,0.25,0.5,0.1952924712220035
subtract,4.0,4.0,0.1937985620459862
subtract,2.0,4.0,0.1923538282406331
average,4.0,4.0,0.1909884834317874
average,2.0,4.0,0.1874534151524207
L2,2.0,4.0,0.1866595247015079
L1,4.0,4.0,0.1853096664770207
L2,0.25,0.5,0.1786388768202714
average,0.5,1.0,0.1785283875167509
L1,0.25,0.5,0.1769530363766159
L1,0.5,4.0,0.174142997893287
L1,2.0,4.0,0.1719526696890012
L2,0.5,4.0,0.1715625094223255
L1,1.0,1.0,0.1603956437256924
subtract,0.5,1.0,0.1594258061728893
L1,0.5,1.0,0.1559078396407789
L2,1.0,1.0,0.1513014567994184
L2,0.5,1.0,0.1338822957785396
L2,4.0,2.0,0.0838206309280616
L1,4.0,2.0,0.081708141712614
L2,0.25,0.25,0.0803073252238729
average,0.25,0.25,0.0800392351133294
subtract,4.0,2.0,0.079710064489073
subtract,1.0,0.5,0.0767197101283059
L1,1.0,0.5,0.0756924566789359
L1,0.25,0.25,0.074707933823099
subtract,0.25,0.25,0.074628276875283
average,4.0,2.0,0.0737134393184645
L2,1.0,0.5,0.0727067801620743
L2,2.0,0.5,0.0721049481166299
L1,2.0,0.5,0.0710230956159886
average,2.0,0.5,0.0706724869372026
average,1.0,0.5,0.0640500292545598
subtract,2.0,0.5,0.0638919632284885
hadamard,0.5,1.0,0.033364223111537
hadamard,0.25,4.0,0.0317576573970269
hadamard,2.0,0.25,0.0305909634501539
hadamard,4.0,0.5,0.0303980669502137
hadamard,2.0,0.5,0.0281592403768068
hadamard,0.5,0.5,0.0275610591263498
hadamard,2.0,4.0,0.0266354247434241
hadamard,0.5,0.25,0.0243847033651358
hadamard,2.0,1.0,0.0240217919852392
hadamard,1.0,0.5,0.0240197383509043
hadamard,0.25,0.25,0.0234566184987752
hadamard,1.0,4.0,0.0225855598763534
hadamard,1.0,1.0,0.0214922540812091
hadamard,0.5,4.0,0.021307667807167
hadamard,1.0,0.25,0.021101407509278
hadamard,4.0,2.0,0.0206819942458814
hadamard,0.5,2.0,0.0202464233522848
hadamard,0.25,2.0,0.0196852904304141
hadamard,0.25,1.0,0.0194090844621748
hadamard,4.0,0.25,0.0192986168996865
hadamard,4.0,4.0,0.0185489109175235
hadamard,0.25,0.5,0.0176936660724477
hadamard,1.0,2.0,0.01747154484997
hadamard,4.0,1.0,0.0163819136398769
hadamard,2.0,2.0,0.0148228573281367
