method,p,q,R2
average,1.0,0.25,0.1701845252440176
average,4.0,1.0,0.1635996923951054
average,4.0,0.5,0.1627657879792513
L1,4.0,4.0,0.1613429146209396
subtract,2.0,0.5,0.1610625291491414
average,2.0,2.0,0.1606898446164004
subtract,4.0,4.0,0.160326535751946
L1,2.0,0.5,0.1589245367745215
average,0.25,0.5,0.1587917399636956
subtract,0.5,4.0,0.1587536494053681
L1,0.5,4.0,0.15868810565949
average,2.0,0.5,0.1581460779620923
subtract,4.0,0.25,0.1576745554451241
subtract,0.25,2.0,0.1571007759108812
hadamard,2.0,4.0,0.1563615803713771
subtract,2.0,1.0,0.1563520347080692
subtract,0.5,2.0,0.1558831946521652
hadamard,4.0,0.5,0.155045435755872
hadamard,4.0,1.0,0.1548845945483858
hadamard,2.0,0.25,0.1545384363862978
L1,0.5,2.0,0.154524472580586
subtract,0.25,0.25,0.1536087446013508
average,0.25,0.25,0.1534406443041669
subtract,0.25,1.0,0.153342983372639
subtract,1.0,0.25,0.1529292507678958
L1,4.0,0.25,0.1529163468802398
subtract,4.0,2.0,0.1527628436597901
hadamard,2.0,0.5,0.1525294176826864
hadamard,2.0,1.0,0.1523028729245242
hadamard,0.25,4.0,0.1519438342119795
hadamard,0.5,2.0,0.1519234638447286
L1,4.0,2.0,0.1516568641946601
hadamard,0.5,1.0,0.1515684939237552
hadamard,0.5,4.0,0.1514078097836219
hadamard,4.0,4.0,0.1511280405386762
L2,4.0,4.0,0.1510662715003883
L2,0.5,2.0,0.1508174162106615
L2,2.0,0.5,0.1507807454473168
hadamard,0.25,2.0,0.1505441095748722
L1,1.0,0.25,0.1503947519445676
L1,0.25,1.0,0.1503037628174555
average,0.25,4.0,0.15027893794711
hadamard,0.5,0.25,0.1501684721198632
hadamard,0.25,0.25,0.1501030504769727
hadamard,1.0,2.0,0.1498511389657102
L2,0.5,4.0,0.1496815776156107
hadamard,1.0,4.0,0.1496628594090886
hadamard,4.0,0.25,0.1492711540360384
hadamard,1.0,0.5,0.1490634888864491
subtract,0.5,0.5,0.148932172176791
subtract,4.0,1.0,0.1486681135758591
L1,2.0,1.0,0.1485658513889117
hadamard,1.0,1.0,0.1485117221786689
hadamard,0.25,0.5,0.1481784897373619
hadamard,4.0,2.0,0.1481422079085801
subtract,2.0,4.0,0.1471371982452338
L2,4.0,0.25,0.1467986192424762
hadamard,2.0,2.0,0.1460670445718629
subtract,2.0,2.0,0.1459465646963236
hadamard,1.0,0.25,0.1458576456990183
hadamard,0.25,1.0,0.1456057139651539
L2,0.25,1.0,0.1454074127556953
subtract,0.5,1.0,0.1450921820439845
L2,4.0,2.0,0.1447959565809028
hadamard,0.5,0.5,0.1445822748009715
L1,0.25,2.0,0.1441148290174952
L1,4.0,1.0,0.1439132558924696
L1,0.5,1.0,0.1436289291012323
average,0.5,0.5,0.1434483940479669
L1,2.0,2.0,0.1432966414229342
average,1.0,2.0,0.1428055114199858
L1,2.0,4.0,0.141750894731203
L2,1.0,0.25,0.1413968650609125
average,2.0,4.0,0.1413504073884258
subtract,1.0,1.0,0.1403006678618442
L1,0.25,0.25,0.1401403163900174
average,0.5,0.25,0.1401039014622462
L2,2.0,1.0,0.1394795871316804
average,4.0,4.0,0.1387806222349198
L2,0.5,1.0,0.1382454934949085
subtract,1.0,0.5,0.1371933123613883
L1,0.5,0.5,0.1367597919605218
average,1.0,0.5,0.1358575259903957
L2,4.0,1.0,0.1353284921702064
L2,2.0,4.0,0.1349388558199213
average,2.0,0.25,0.1345662817690777
subtract,1.0,4.0,0.1338891571343985
average,1.0,1.0,0.1331363268082168
subtract,0.25,0.5,0.1326901283745842
L2,0.25,2.0,0.1326508375886134
subtract,2.0,0.25,0.1324004305607387
subtract,0.5,0.25,0.1323711348593078
average,0.25,2.0,0.1322596339389818
average,1.0,4.0,0.1319895698845156
L1,2.0,0.25,0.1318343724899414
L1,1.0,4.0,0.1317473764842155
L1,0.5,0.25,0.1314295991543655
L2,0.5,0.5,0.1312769837477152
subtract,1.0,2.0,0.1307932501819757
L2,2.0,2.0,0.1305297325897758
L1,4.0,0.5,0.1305149933642615
L1,1.0,2.0,0.1303835606531664
L2,0.25,0.25,0.1290295021282743
average,4.0,2.0,0.1288620336341411
average,0.5,2.0,0.1285288427163723
L1,1.0,1.0,0.1285102062032428
subtract,4.0,0.5,0.1277600671316787
L2,4.0,0.5,0.1273084387236346
L1,1.0,0.5,0.1266959859748179
L2,0.5,0.25,0.1254381329720241
L1,0.25,0.5,0.1240332580728779
L2,1.0,2.0,0.1239584809829178
L2,2.0,0.25,0.1229014473986683
L2,1.0,4.0,0.1213510743169353
L2,0.25,0.5,0.1208543754128859
L2,1.0,1.0,0.1204614684900403
average,2.0,1.0,0.1204496677710379
L2,1.0,0.5,0.1186004529871044
average,4.0,0.25,0.1179560869807897
average,0.5,1.0,0.1155253636286047
average,0.25,1.0,0.1151658816784945
average,0.5,4.0,0.1144781790449644
L1,0.25,4.0,0.1097918679396654
subtract,0.25,4.0,0.1094450680291065
L2,0.25,4.0,0.1045876044390119
