method,p,q,R2
L2,2.0,4.0,0.132322416185596
average,1.0,2.0,0.1278616491127698
hadamard,1.0,0.25,0.1274417330610091
L2,0.25,1.0,0.1270280493715812
hadamard,0.5,1.0,0.1263197158255241
L1,0.25,1.0,0.1259416412428244
subtract,1.0,0.25,0.1255547061156896
subtract,0.25,1.0,0.1237063439799436
hadamard,0.25,4.0,0.1234709100349926
hadamard,0.5,2.0,0.122146918222687
hadamard,2.0,2.0,0.1220250953139113
average,1.0,0.25,0.1218467370509442
hadamard,0.5,0.5,0.121827779221335
hadamard,1.0,2.0,0.1216733042187909
hadamard,4.0,0.5,0.121032069297386
hadamard,4.0,0.25,0.1208373975245036
subtract,4.0,0.5,0.1206222951247143
subtract,0.5,1.0,0.1194902950272025
L1,4.0,0.5,0.1191635463498184
L2,0.5,0.25,0.1190403487843345
hadamard,0.5,0.25,0.11879010599395
hadamard,0.5,4.0,0.1187228520693615
subtract,2.0,2.0,0.118346045487423
hadamard,1.0,0.5,0.118245150229702
L1,1.0,0.25,0.1180842150840079
hadamard,2.0,0.25,0.118040998784124
L1,2.0,4.0,0.117805745385436
hadamard,2.0,1.0,0.1175942415053648
subtract,1.0,2.0,0.1174212273399512
average,0.5,1.0,0.1173493326023217
hadamard,0.25,0.5,0.1173191992000556
L1,0.5,0.25,0.1171391282613807
subtract,0.5,0.25,0.1170220919191897
L1,0.5,1.0,0.1169447882780514
average,0.5,0.25,0.116910807790328
L2,1.0,0.25,0.1167991874825641
hadamard,1.0,1.0,0.1166075633828297
L2,4.0,0.5,0.1157676293203799
hadamard,2.0,4.0,0.11571526242781
average,1.0,0.5,0.1153475634099403
hadamard,0.25,0.25,0.1153052529912065
hadamard,0.25,1.0,0.115282518228867
hadamard,2.0,0.5,0.1151178453299645
hadamard,4.0,1.0,0.1149226303797518
L2,4.0,4.0,0.114699503008764
hadamard,1.0,4.0,0.1140725275536862
L2,0.5,1.0,0.1134110594406615
subtract,1.0,0.5,0.1133033856614517
subtract,2.0,4.0,0.1132384846114622
subtract,4.0,1.0,0.1120657709820348
hadamard,4.0,2.0,0.1118793857098315
average,2.0,0.25,0.1113491478269398
hadamard,4.0,4.0,0.1107948178756051
average,1.0,4.0,0.1106617559855266
subtract,0.25,0.25,0.1104965430346752
average,2.0,2.0,0.1096810260685202
average,0.25,0.25,0.1095028327279635
L1,1.0,0.5,0.1094288391810602
average,4.0,0.5,0.1092427203503406
average,1.0,1.0,0.1090954365748445
average,0.5,2.0,0.1083567010042341
average,4.0,2.0,0.1073734392896607
L2,4.0,0.25,0.1068894583565072
L1,4.0,1.0,0.1068408292468652
average,4.0,0.25,0.1067604942133043
L2,2.0,2.0,0.1060329078139891
average,0.25,2.0,0.1060092224456917
subtract,2.0,0.25,0.1055483765526563
subtract,0.5,0.5,0.1052262786948942
L1,2.0,2.0,0.1051657233413055
L1,4.0,0.25,0.1051458454323833
hadamard,0.25,2.0,0.104811987953062
average,2.0,1.0,0.1046990925045652
L1,4.0,4.0,0.1046524778965328
subtract,2.0,1.0,0.1040422475534714
L2,1.0,0.5,0.103586329874687
subtract,1.0,1.0,0.1035307520708462
L2,1.0,2.0,0.1034927792759632
average,0.25,0.5,0.1033689620688453
L2,0.5,0.5,0.1031608378397027
subtract,4.0,4.0,0.1030460533868119
average,4.0,1.0,0.1029101922163964
L1,0.25,2.0,0.1026217212425109
average,0.25,1.0,0.1024932327821904
L1,1.0,2.0,0.1023521620596297
subtract,0.25,2.0,0.1023005825512379
L2,0.25,2.0,0.1022997366967755
L1,0.25,0.25,0.1022987190678474
L1,2.0,0.25,0.1020608321790476
L2,0.25,0.25,0.1015169773393547
L1,0.5,0.5,0.1014184640529944
average,4.0,4.0,0.1009638682426655
L2,4.0,1.0,0.1006515620954346
L2,0.25,0.5,0.0992913005559545
average,0.5,0.5,0.0985647747492851
L2,2.0,0.25,0.0983081762145694
subtract,0.5,4.0,0.0981299381539272
L2,2.0,0.5,0.0977159833023113
L2,2.0,1.0,0.0973676826506538
subtract,4.0,0.25,0.0972169262477146
L1,1.0,1.0,0.097085796218219
L1,0.5,2.0,0.0964112026237422
L1,1.0,4.0,0.0954044986928587
average,0.5,4.0,0.0951360845604823
subtract,0.5,2.0,0.0946520974408977
average,2.0,4.0,0.0945237536328538
L2,0.5,2.0,0.0944512182310046
subtract,1.0,4.0,0.0944372034007802
L1,2.0,1.0,0.0944062312835393
L2,1.0,4.0,0.0941672478452098
L1,2.0,0.5,0.0928589712511532
subtract,0.25,0.5,0.0926858677118828
average,2.0,0.5,0.0919067720033506
L1,0.25,0.5,0.0919002435659473
subtract,2.0,0.5,0.0906471236497109
L1,4.0,2.0,0.0899990032893111
L2,1.0,1.0,0.0888331340259029
L1,0.5,4.0,0.0871293426565636
L2,4.0,2.0,0.0853764821181733
L2,0.5,4.0,0.0829912966148429
subtract,4.0,2.0,0.0826443639031243
average,0.25,4.0,0.0822382841754592
L2,0.25,4.0,0.0809450145441699
L1,0.25,4.0,0.0805046361613635
subtract,0.25,4.0,0.0717957182185585
