method,p,q,R2
hadamard,0.25,2.0,0.2240821882788611
hadamard,0.5,4.0,0.2238013575287021
hadamard,4.0,1.0,0.2233167962160197
hadamard,2.0,0.5,0.2224263098352873
hadamard,2.0,0.25,0.2221752924254116
hadamard,0.25,4.0,0.2221358235029427
hadamard,0.5,0.5,0.2220565441384432
hadamard,0.5,1.0,0.2217051349064532
hadamard,4.0,0.25,0.2216685852470118
hadamard,4.0,2.0,0.2212768222897879
hadamard,2.0,1.0,0.2201641961407415
hadamard,0.5,0.25,0.2199257914898137
hadamard,4.0,0.5,0.219915071538471
hadamard,1.0,4.0,0.2196132289678576
hadamard,2.0,2.0,0.2193874614317151
hadamard,0.25,0.25,0.2187366675644279
hadamard,2.0,4.0,0.2184398103134195
hadamard,1.0,2.0,0.2183673351901364
hadamard,0.5,2.0,0.2183314920035779
hadamard,1.0,0.25,0.2177595545960616
hadamard,0.25,0.5,0.217127498181937
hadamard,1.0,0.5,0.2158208657946637
hadamard,1.0,1.0,0.2154894183003249
hadamard,0.25,1.0,0.2147595859929779
hadamard,4.0,4.0,0.2139515885374173
subtract,0.5,1.0,0.1891779908265678
average,4.0,1.0,0.1879507681559847
average,0.25,2.0,0.1854527610118675
L1,0.5,1.0,0.1837628692431773
average,0.5,4.0,0.1832733416363826
average,1.0,4.0,0.1829274575667392
average,0.5,1.0,0.1803517125779539
L2,0.5,1.0,0.1787347025183933
subtract,2.0,0.5,0.1784887926408537
L1,2.0,0.5,0.1757055170813993
average,1.0,1.0,0.1753733620300754
average,4.0,4.0,0.175288842547588
average,4.0,0.5,0.1750907756114826
subtract,4.0,2.0,0.1742667277736709
subtract,1.0,2.0,0.174039853918243
L1,4.0,4.0,0.1727689173815874
L1,4.0,2.0,0.1726562424170851
subtract,0.25,4.0,0.1720914971028805
subtract,0.5,0.5,0.1717626292023278
subtract,1.0,0.5,0.1714493263405982
subtract,4.0,4.0,0.1712174956992064
L1,1.0,2.0,0.1706066647801454
average,2.0,1.0,0.1685570622233705
average,2.0,0.25,0.1685465678451596
subtract,2.0,2.0,0.1684984116728948
subtract,1.0,4.0,0.1684821628108304
subtract,4.0,0.5,0.1670555649722653
average,2.0,4.0,0.1669609145551351
subtract,0.5,4.0,0.1668038184060987
subtract,2.0,1.0,0.1664345172685569
subtract,1.0,0.25,0.166321844454756
L1,1.0,4.0,0.1659103429230629
L2,2.0,0.5,0.1657393267473403
L1,1.0,0.5,0.1657044803504883
L1,0.25,2.0,0.1655392293220843
L2,4.0,2.0,0.1653718984641089
average,2.0,0.5,0.1652119650185196
average,0.25,1.0,0.1650127471007418
L2,4.0,4.0,0.1646112843702566
average,4.0,0.25,0.1643019091009868
subtract,0.5,0.25,0.164226447851709
L1,0.5,0.5,0.1639649721766785
L2,0.25,2.0,0.1638830604395794
average,2.0,2.0,0.1635810757330309
subtract,0.25,2.0,0.1634075756157333
average,4.0,2.0,0.1633523830886736
subtract,4.0,0.25,0.1632562426283443
average,0.5,2.0,0.1629173812148201
L1,0.5,4.0,0.1627616273630606
L2,1.0,2.0,0.1627261182327327
L1,2.0,2.0,0.1626720622811273
average,0.25,4.0,0.162379761403953
L2,1.0,4.0,0.1620020483001572
L1,0.5,0.25,0.1610288554197861
L2,0.5,0.5,0.1609455121633051
L1,4.0,0.25,0.160821937954415
average,0.25,0.5,0.1603987190132519
L2,1.0,0.5,0.1600567048910134
L1,4.0,0.5,0.1595236743475396
average,0.5,0.25,0.1593848215685946
subtract,2.0,4.0,0.1586820537544466
L2,0.5,4.0,0.158546160189708
average,0.5,0.5,0.1582240516645071
average,1.0,0.25,0.1580343127974527
L2,4.0,0.5,0.1579783969997753
L1,2.0,1.0,0.1573819694457973
subtract,0.25,0.25,0.1572038884632646
L2,4.0,0.25,0.1568313297306659
L1,0.25,4.0,0.156741900980682
average,1.0,0.5,0.1566452350105466
L2,0.25,0.25,0.1559664751251276
average,1.0,2.0,0.1556814849316978
L2,0.25,4.0,0.1556608917489113
L1,1.0,0.25,0.1552288170756036
L2,2.0,1.0,0.1539507169251409
L2,2.0,2.0,0.1528658673440951
subtract,0.5,2.0,0.1524435739287241
subtract,0.25,1.0,0.1519363885689537
L1,0.25,0.25,0.1517603600240236
L2,0.5,0.25,0.1517343594676758
L1,2.0,4.0,0.1511038384506953
subtract,2.0,0.25,0.1508904514176502
subtract,4.0,1.0,0.1507672313997461
L2,4.0,1.0,0.1495824776894844
L1,4.0,1.0,0.1494401745782675
L2,1.0,0.25,0.1492790730868473
subtract,0.25,0.5,0.1487957004699341
L1,0.25,0.5,0.1487327734912982
L1,0.5,2.0,0.1487228594631582
average,0.25,0.25,0.1448190127631466
subtract,1.0,1.0,0.1439081004858696
L2,2.0,4.0,0.1427346240311346
L2,0.5,2.0,0.1425695261932464
L1,1.0,1.0,0.1414995431991749
L1,2.0,0.25,0.1399100597370433
L2,0.25,0.5,0.1397553136706059
L1,0.25,1.0,0.1383588529997137
L2,2.0,0.25,0.1355462596938357
L2,1.0,1.0,0.1291995526788232
L2,0.25,1.0,0.1264823006719776
