method,p,q,R2
average,0.5,0.5,0.20392278025211
subtract,0.5,0.5,0.1873158100710061
average,0.5,4.0,0.1865584477900715
average,0.5,0.25,0.1846696189822173
subtract,0.5,0.25,0.1838757589990216
subtract,0.5,4.0,0.180845241652836
average,0.5,1.0,0.1754813786065354
subtract,4.0,4.0,0.1754666129479054
average,4.0,0.25,0.1735137303599576
L1,1.0,0.5,0.1732914956529948
subtract,1.0,0.5,0.1720883794891557
subtract,4.0,0.25,0.1707944932944847
L1,0.5,4.0,0.1687666338143445
average,1.0,0.25,0.1686440394183063
subtract,1.0,2.0,0.1678601970236726
subtract,2.0,0.5,0.1674440569181099
average,4.0,4.0,0.1674151352938476
subtract,0.25,4.0,0.166604920099191
L1,0.5,0.5,0.1663396973584116
subtract,2.0,2.0,0.1659396967153288
subtract,0.25,2.0,0.1658957470484527
L2,1.0,0.5,0.1655889765630503
L1,4.0,0.25,0.1643217031635238
L2,4.0,0.25,0.1631101393240079
subtract,1.0,0.25,0.1626063990065093
average,1.0,2.0,0.1618625854502391
subtract,2.0,4.0,0.1613340625041343
average,0.5,2.0,0.1594356876974718
L1,0.5,0.25,0.1585829388492137
subtract,1.0,4.0,0.1584076032337911
L1,0.25,4.0,0.1582456326049054
subtract,0.5,1.0,0.1582284023161507
average,0.25,4.0,0.1576818769866678
L1,0.5,1.0,0.1571497253042767
L1,2.0,2.0,0.1565953121288221
L1,2.0,4.0,0.1555534741183677
L2,2.0,2.0,0.1544788526602244
L1,1.0,0.25,0.1539196534512128
average,2.0,4.0,0.1524011720497687
subtract,2.0,1.0,0.1522876428488574
average,1.0,0.5,0.152198121249045
L1,0.25,2.0,0.1521676842361742
L1,4.0,4.0,0.1517273129550322
subtract,0.5,2.0,0.1516939862169534
average,4.0,0.5,0.1513124209660092
L1,2.0,0.5,0.1507051648188135
L2,0.5,0.5,0.150484095815039
average,2.0,0.5,0.1502401826008124
subtract,2.0,0.25,0.1501393191044103
average,2.0,1.0,0.1488679972085027
subtract,0.25,0.5,0.148850072356472
average,1.0,4.0,0.1477657680630755
average,0.25,2.0,0.1454122979144243
L2,0.5,4.0,0.1443860635174585
subtract,4.0,0.5,0.144190887732712
L2,0.25,4.0,0.1431424258803101
L1,1.0,2.0,0.1423998328543381
L2,0.5,0.25,0.1409981183079539
L1,2.0,0.25,0.1390775993241113
L1,4.0,0.5,0.1387811305719823
L2,2.0,4.0,0.1383306435640333
L2,0.5,1.0,0.1381359411004635
L2,4.0,4.0,0.1378181612796648
L2,0.25,2.0,0.1369943785657563
L1,0.25,0.5,0.1360770658876414
L2,4.0,0.5,0.1360204175616857
average,2.0,2.0,0.1360155073250494
L2,1.0,0.25,0.13600355811229
L1,1.0,4.0,0.1359345140927392
L2,1.0,2.0,0.1347056488021553
L2,2.0,0.5,0.1339756052605292
L2,0.25,0.5,0.129390266062924
L1,0.5,2.0,0.1273653683963949
L2,2.0,0.25,0.1268706166974348
L1,2.0,1.0,0.1255262012877623
L2,2.0,1.0,0.1235446889116403
average,0.25,0.5,0.1214995478815561
L2,1.0,4.0,0.1201488528281112
average,2.0,0.25,0.1200707227600269
L2,0.5,2.0,0.104338170289892
L1,1.0,1.0,0.1018448699399208
subtract,1.0,1.0,0.1010785473702923
L1,0.25,1.0,0.0905948711450288
subtract,0.25,1.0,0.0882578306413249
L2,1.0,1.0,0.0880348064086016
L2,0.25,1.0,0.0812221619345656
average,1.0,1.0,0.077138666482205
average,4.0,1.0,0.0747306874560171
L2,4.0,1.0,0.0735366435501524
L1,0.25,0.25,0.0719137442705036
L1,4.0,1.0,0.0718991459404885
subtract,0.25,0.25,0.0714418367044443
L1,4.0,2.0,0.0711827272919086
average,4.0,2.0,0.0711433965054744
L2,0.25,0.25,0.0704018404682418
subtract,4.0,2.0,0.0691901725466856
subtract,4.0,1.0,0.0673545662825301
average,0.25,1.0,0.0672212855520029
L2,4.0,2.0,0.0670417188169967
average,0.25,0.25,0.0592744151463134
hadamard,1.0,0.5,0.0453163748465167
hadamard,2.0,2.0,0.0448899708527074
hadamard,0.5,1.0,0.0410713574938568
hadamard,1.0,1.0,0.0396380752810927
hadamard,2.0,0.25,0.0393016716762787
hadamard,0.5,4.0,0.0392327043782246
hadamard,0.5,2.0,0.0390011000499447
hadamard,0.25,2.0,0.0388986972504167
hadamard,1.0,0.25,0.0388657185303841
hadamard,0.5,0.5,0.0387355356483443
hadamard,0.25,1.0,0.0385291889302703
hadamard,4.0,0.5,0.0383001585629619
hadamard,4.0,0.25,0.0376436664854522
hadamard,0.25,0.25,0.0375820308279744
hadamard,2.0,1.0,0.0374716947175092
hadamard,1.0,4.0,0.0372225606112108
hadamard,4.0,4.0,0.0359113296572254
hadamard,0.25,4.0,0.0358740755011602
hadamard,1.0,2.0,0.0353062874590689
hadamard,2.0,0.5,0.03527119135124
hadamard,2.0,4.0,0.0341903150988871
hadamard,4.0,2.0,0.0333051710690238
hadamard,0.5,0.25,0.0331966117461334
hadamard,0.25,0.5,0.0326586015930319
hadamard,4.0,1.0,0.0317706029719133
