method,p,q,R2
hadamard,1.0,2.0,0.108619595400964
hadamard,0.25,4.0,0.1078537098258503
hadamard,1.0,0.5,0.1078418374606967
hadamard,0.5,2.0,0.1077941519844702
hadamard,2.0,0.5,0.1071244862347694
hadamard,2.0,1.0,0.1063750467779014
hadamard,1.0,0.25,0.1062553155794266
hadamard,4.0,2.0,0.1062396039466775
hadamard,4.0,0.25,0.1060699807534397
hadamard,0.25,1.0,0.1058491676557079
hadamard,1.0,1.0,0.105753284379465
hadamard,0.25,0.25,0.1046933145966915
hadamard,0.25,2.0,0.1041038185485943
hadamard,2.0,4.0,0.1039476567610877
hadamard,1.0,4.0,0.102994525557266
hadamard,4.0,4.0,0.1029434604805842
L1,2.0,4.0,0.1028215384339736
hadamard,4.0,0.5,0.1027536126978531
hadamard,0.5,0.25,0.1027039632697922
hadamard,0.25,0.5,0.1025300193221766
hadamard,0.5,1.0,0.1020564218330764
L1,0.25,4.0,0.1009962109392332
subtract,0.25,4.0,0.1005806812382905
hadamard,4.0,1.0,0.100379360895236
hadamard,2.0,0.25,0.1000087685544286
hadamard,2.0,2.0,0.0999972540629566
average,2.0,1.0,0.099830028329455
L2,2.0,4.0,0.099485309591455
L2,0.25,4.0,0.0992005255822062
hadamard,0.5,0.5,0.0991260172271704
hadamard,0.5,4.0,0.0978453101127899
subtract,0.5,0.5,0.0967933663661413
subtract,0.5,2.0,0.096578575512403
subtract,2.0,4.0,0.0964868476922696
subtract,1.0,4.0,0.0964306526231937
subtract,1.0,1.0,0.0960552319766616
subtract,1.0,2.0,0.0954207998716094
average,1.0,0.5,0.0953628383396496
average,2.0,4.0,0.0939910910867806
L1,1.0,4.0,0.0938590836635053
subtract,4.0,4.0,0.0937847059722485
subtract,4.0,0.25,0.0932213561974545
average,1.0,4.0,0.0930334736789293
L1,0.5,2.0,0.0928516033114575
L2,1.0,1.0,0.092618922020782
L2,4.0,4.0,0.0925830015686135
L2,0.5,2.0,0.0925641409307126
average,0.5,0.5,0.0921177736113377
average,2.0,0.25,0.0920756824580826
L1,1.0,1.0,0.0919487010657613
L1,4.0,4.0,0.0917915530517533
subtract,1.0,0.25,0.0914988716828961
average,0.5,1.0,0.0910006496894332
subtract,0.25,0.5,0.0905484246079879
average,0.25,0.25,0.0904963487106038
average,4.0,2.0,0.0902247049161507
L2,1.0,4.0,0.0898456889327889
average,4.0,4.0,0.0895170597863095
subtract,0.5,1.0,0.0893049315049721
subtract,0.25,0.25,0.0890602501044186
L1,1.0,2.0,0.0888255369593724
subtract,0.25,2.0,0.0887589621289592
L1,4.0,0.5,0.0884623623315261
L2,1.0,0.25,0.0883117338024306
subtract,2.0,0.5,0.088245574314428
subtract,4.0,1.0,0.0878489500997439
average,4.0,0.25,0.0877213899350912
subtract,2.0,2.0,0.0875622098668917
L1,1.0,0.25,0.087090414807981
subtract,4.0,0.5,0.0865263929835719
average,4.0,1.0,0.0864010166848536
average,2.0,0.5,0.0863881425324794
average,0.25,4.0,0.0862584754662894
L1,0.25,0.5,0.0861470057699885
L2,0.25,2.0,0.0860255812288536
L1,0.5,1.0,0.0859441029371187
L1,4.0,0.25,0.085873753244916
subtract,2.0,1.0,0.0856924485921217
L1,0.25,2.0,0.0854821840447326
L2,4.0,0.5,0.0852777097050134
L2,0.25,0.5,0.0851771305124829
L1,2.0,2.0,0.0851391980674914
L1,4.0,1.0,0.0850023221818178
average,0.5,2.0,0.084870472130316
average,0.25,1.0,0.084612580726755
subtract,0.5,4.0,0.0845645330804861
L2,0.5,4.0,0.0843534727510696
average,2.0,2.0,0.0841486480765105
L1,0.25,0.25,0.0839443146360429
L1,0.5,4.0,0.0837333151120185
L2,0.5,1.0,0.0836161191116752
subtract,1.0,0.5,0.0835576103281416
L1,2.0,1.0,0.083491937251655
L2,1.0,2.0,0.0832195345867951
L2,2.0,0.5,0.0832189302651567
average,1.0,2.0,0.082753783893403
subtract,2.0,0.25,0.0826425516854477
average,1.0,0.25,0.0818852055433089
L2,4.0,1.0,0.0818232186883141
L1,0.5,0.5,0.0813628255182367
L1,2.0,0.5,0.0813236241458837
subtract,0.5,0.25,0.0790941516288405
L2,4.0,0.25,0.0790909779191796
L2,2.0,2.0,0.0789230294688502
average,0.5,0.25,0.078901292063797
L2,2.0,1.0,0.0786068887513202
L1,1.0,0.5,0.0783228101038936
L1,2.0,0.25,0.0783027971516892
subtract,0.25,1.0,0.0780427762101474
L2,0.25,0.25,0.0778965041853855
L2,1.0,0.5,0.0766854175516623
L1,0.5,0.25,0.0750321711088007
L2,0.5,0.25,0.0746668586128581
average,0.25,0.5,0.074016649910127
L2,0.5,0.5,0.0723203992826384
average,0.25,2.0,0.07223339519844
L2,4.0,2.0,0.0722232355006584
average,1.0,1.0,0.0709492831761753
L2,2.0,0.25,0.0709234606566022
subtract,4.0,2.0,0.0708512245774939
L1,0.25,1.0,0.0685345781296037
L2,0.25,1.0,0.0683075968232183
L1,4.0,2.0,0.0661615873380947
average,4.0,0.5,0.063316111828982
average,0.5,4.0,0.0621125220172326
