method,p,q,R2
hadamard,1.0,2.0,0.2409728216218229
hadamard,0.25,4.0,0.2389740525270498
hadamard,2.0,0.5,0.2370821061714587
hadamard,0.25,2.0,0.2369901292183753
hadamard,2.0,4.0,0.2368086794388776
hadamard,0.25,0.25,0.2358855028945737
hadamard,0.5,4.0,0.2357026737645803
hadamard,1.0,1.0,0.2355551245316754
hadamard,1.0,0.5,0.2351479011823248
hadamard,2.0,2.0,0.2349442124039632
hadamard,2.0,0.25,0.2347627505385874
hadamard,0.5,0.25,0.2344458576315792
hadamard,0.25,0.5,0.2341121649759256
hadamard,1.0,0.25,0.2335322426189054
hadamard,0.5,1.0,0.2333924829339029
hadamard,2.0,1.0,0.2331230272255899
hadamard,0.5,2.0,0.2330721044563636
hadamard,4.0,4.0,0.2327824687273012
hadamard,0.5,0.5,0.2321821016633091
hadamard,4.0,0.25,0.2314008037481175
hadamard,0.25,1.0,0.2307465749528567
hadamard,1.0,4.0,0.2306047617317506
hadamard,4.0,0.5,0.2299411804694041
hadamard,4.0,2.0,0.2294523138167304
hadamard,4.0,1.0,0.2286872799916256
average,2.0,0.5,0.2089174479287501
subtract,4.0,4.0,0.2039762367566866
subtract,4.0,1.0,0.1993904777270555
subtract,0.25,2.0,0.1978311117676354
subtract,1.0,0.5,0.1966277311635728
subtract,2.0,2.0,0.196092672468069
average,1.0,2.0,0.1959569605656059
average,2.0,2.0,0.1953556058688471
average,1.0,0.5,0.1943664570757607
L1,1.0,0.5,0.1933684110753259
subtract,0.25,1.0,0.1928299655773432
L2,1.0,0.5,0.1922142484075552
subtract,0.5,0.25,0.1921349473829096
L1,0.25,2.0,0.1912237319232084
subtract,0.5,2.0,0.1911239675184389
L1,4.0,1.0,0.1907347490886757
subtract,0.25,4.0,0.1905419848073396
L2,0.25,2.0,0.1904822922434211
subtract,0.5,0.5,0.189620369946021
L2,0.5,2.0,0.1896095644349122
subtract,1.0,2.0,0.1893185803091607
subtract,0.25,0.5,0.1891462824723182
subtract,4.0,0.25,0.1883950573424225
L2,4.0,1.0,0.1872302930955828
average,0.5,0.25,0.1865204781288806
L1,0.5,2.0,0.185780375582093
L1,4.0,4.0,0.1855124721937288
subtract,1.0,1.0,0.1846841565156538
average,4.0,2.0,0.1841787504418962
subtract,1.0,4.0,0.1833345991636374
subtract,1.0,0.25,0.1831881390132186
L2,4.0,0.25,0.18213168250511
subtract,2.0,1.0,0.1818949433822317
L2,0.5,0.5,0.1817888771360447
L1,4.0,0.25,0.18125389041406
average,1.0,0.25,0.1810984714342715
L1,0.5,0.5,0.180875486299875
L2,4.0,4.0,0.1806703432112891
average,1.0,4.0,0.1804367178500046
L2,0.5,0.25,0.1801867488655265
L1,0.25,0.5,0.1801770494170107
L1,2.0,2.0,0.1797138769061317
subtract,0.5,4.0,0.1794620022265014
L1,1.0,4.0,0.1793471451090925
average,0.25,2.0,0.1791699492719171
L1,0.5,0.25,0.179119632312616
L2,1.0,0.25,0.1784081341260517
L1,0.25,1.0,0.1779194911155465
average,2.0,4.0,0.1779067102847917
L1,2.0,1.0,0.1770969652740071
average,4.0,0.5,0.1763073446844175
average,0.25,0.25,0.1757211838519352
L1,2.0,0.25,0.1753532507998277
average,0.25,4.0,0.1753425150475613
L1,1.0,0.25,0.1752246107323462
L1,0.25,0.25,0.1751893571304248
L2,2.0,0.25,0.1750480760849004
L2,2.0,2.0,0.1743178746865001
average,1.0,1.0,0.1742126520016127
L2,0.25,0.5,0.1735813550575168
L2,1.0,4.0,0.1732790250595336
average,0.5,0.5,0.1724642990941616
L1,1.0,1.0,0.1721641575815983
L2,2.0,1.0,0.1721202327053034
average,4.0,0.25,0.1719973308160031
L2,0.25,0.25,0.1718015535257583
average,2.0,1.0,0.1713681982404503
subtract,0.25,0.25,0.1712406915756955
subtract,2.0,4.0,0.170364179175845
average,0.5,2.0,0.1701814510389663
L2,0.25,1.0,0.1698890419422346
subtract,2.0,0.25,0.1692202059440309
subtract,4.0,2.0,0.1686195410393675
average,0.25,1.0,0.1666907625255382
average,0.25,0.5,0.1666276270754724
average,0.5,4.0,0.1664734178226334
subtract,2.0,0.5,0.1661743529701034
L2,1.0,2.0,0.1658910744773585
L2,1.0,1.0,0.1656540113797728
average,4.0,4.0,0.1653254536346525
subtract,0.5,1.0,0.1643805769456826
subtract,4.0,0.5,0.1638789905173855
L1,0.25,4.0,0.1637683630224312
L2,0.25,4.0,0.1625762636061963
average,4.0,1.0,0.1616069703716804
L1,1.0,2.0,0.1602618880335367
L2,2.0,0.5,0.1601257874523671
L1,4.0,2.0,0.1599815937093062
average,2.0,0.25,0.1580898904476724
L2,0.5,1.0,0.157892027995104
L1,0.5,1.0,0.1569966400053583
L1,2.0,0.5,0.1569471203575801
L2,4.0,2.0,0.1566123211518638
L1,0.5,4.0,0.1548048172097361
L1,2.0,4.0,0.1525431832377551
L2,2.0,4.0,0.1513685658955103
average,0.5,1.0,0.1487555909453336
L1,4.0,0.5,0.1481806401167948
L2,0.5,4.0,0.1481751016844464
L2,4.0,0.5,0.142549055291375
