method,p,q,R2
average,2.0,0.5,0.1850719428384631
subtract,0.25,1.0,0.1846676344192062
subtract,2.0,0.5,0.1830247413451513
average,1.0,2.0,0.1754912015950307
subtract,0.5,1.0,0.1736080927182681
L1,2.0,0.5,0.1733448153055136
subtract,4.0,1.0,0.1708393593136226
L1,4.0,1.0,0.1708206483340579
subtract,1.0,0.5,0.1682586741696916
subtract,1.0,0.25,0.1672636872102882
average,0.25,4.0,0.1664276301792887
L1,0.5,1.0,0.1663984133629592
L1,0.25,1.0,0.1660126394281121
average,0.25,0.5,0.1660048668670859
average,0.5,1.0,0.1654952000272284
L2,0.25,1.0,0.1651267265717553
subtract,4.0,4.0,0.1636511456470066
subtract,1.0,2.0,0.1635582673215045
average,0.25,1.0,0.1624118621612582
average,1.0,0.5,0.1622021924376823
L2,4.0,1.0,0.1621054427094002
subtract,4.0,0.5,0.1586541298693558
subtract,0.25,0.5,0.1582798836706915
average,4.0,1.0,0.1571247493259469
subtract,1.0,4.0,0.1569310036130367
average,4.0,2.0,0.1562065473462376
average,1.0,1.0,0.1561936669616823
L1,1.0,0.25,0.1556319361212562
L1,4.0,4.0,0.1544291649933842
subtract,0.25,4.0,0.1544232128992844
L2,0.5,1.0,0.1539034257463664
L2,1.0,4.0,0.1538768583917672
subtract,2.0,0.25,0.1537473905536734
L1,1.0,2.0,0.1533994371599324
subtract,4.0,0.25,0.1533467609569151
subtract,2.0,4.0,0.1524538754870711
L2,1.0,2.0,0.1520163723464186
L1,2.0,0.25,0.1517645084498317
L2,2.0,0.5,0.1517045315913963
L2,4.0,4.0,0.1515018509462403
average,2.0,0.25,0.1509960516647727
average,4.0,0.5,0.1509854469225507
L2,1.0,0.25,0.1509600836411027
L1,1.0,4.0,0.1503177362777499
L2,0.5,4.0,0.1500701521469463
subtract,0.5,4.0,0.149134104275504
average,4.0,4.0,0.1485199967461813
L1,4.0,0.5,0.1471616692026665
subtract,0.5,2.0,0.1464066636314316
L1,0.25,0.5,0.1463895337196049
subtract,1.0,1.0,0.1459410085288059
subtract,2.0,1.0,0.1458408134121497
average,2.0,4.0,0.1456571090735153
average,0.5,2.0,0.1445432960690055
average,1.0,0.25,0.1444374974603978
subtract,4.0,2.0,0.1442777292156893
average,2.0,1.0,0.1428119053724735
L1,4.0,2.0,0.1410915056798966
L1,1.0,0.5,0.1407515557059511
average,1.0,4.0,0.1401772650317475
L2,1.0,0.5,0.1392209516996045
L1,0.5,4.0,0.1386288086988758
L2,0.25,0.5,0.1376724373300497
L1,0.25,4.0,0.1362633340291742
L2,2.0,0.25,0.135437912243058
L2,4.0,2.0,0.1353799099701848
L1,0.5,2.0,0.1353286683379257
average,4.0,0.25,0.1352982507500048
L2,0.5,2.0,0.1352051723345771
L2,4.0,0.5,0.1333421790721973
L2,0.25,4.0,0.1330256437886042
subtract,0.5,0.25,0.1326507598141471
L1,2.0,1.0,0.1316632486035536
average,0.5,0.25,0.1305076768107148
average,0.5,4.0,0.1291220851251582
L1,4.0,0.25,0.1284167995120149
L2,4.0,0.25,0.1268285777751918
L1,1.0,1.0,0.1244249167087747
L2,2.0,1.0,0.1240355213080972
L1,0.5,0.25,0.1237612857037934
L2,1.0,1.0,0.1182026282766274
L2,2.0,4.0,0.1163501453029007
L1,2.0,4.0,0.1156570285918245
L2,0.5,0.25,0.1103784017171845
L2,0.25,0.25,0.0865363032584041
L1,0.25,0.25,0.0820266583353236
subtract,0.25,0.25,0.0809736435534485
L1,0.25,2.0,0.0804788042701066
L2,0.25,2.0,0.0791954427133044
average,2.0,2.0,0.0759853795347117
subtract,0.25,2.0,0.0736917863239537
L1,0.5,0.5,0.0724283750272191
L2,0.5,0.5,0.0714481626048019
subtract,0.5,0.5,0.0674841913989929
average,0.5,0.5,0.0670273850821377
average,0.25,0.25,0.0615451573861695
subtract,2.0,2.0,0.0608678525601075
average,0.25,2.0,0.0599723060642884
L1,2.0,2.0,0.0556350334265289
L2,2.0,2.0,0.0516318416589116
hadamard,4.0,1.0,0.0367642514561725
hadamard,0.25,2.0,0.0335945941921453
hadamard,0.5,0.5,0.0328694103175944
hadamard,0.25,1.0,0.0320717550145418
hadamard,2.0,2.0,0.0317809021045339
hadamard,0.5,2.0,0.0316690096213129
hadamard,1.0,4.0,0.0315401593813445
hadamard,1.0,0.25,0.031340626912465
hadamard,4.0,0.5,0.0313087794984127
hadamard,4.0,0.25,0.0308915898290277
hadamard,2.0,1.0,0.0306409205293235
hadamard,1.0,2.0,0.0294851898163194
hadamard,2.0,4.0,0.0292300196075936
hadamard,0.25,0.25,0.0288779883841173
hadamard,2.0,0.25,0.0285112638510551
hadamard,0.25,4.0,0.0281676479633748
hadamard,1.0,1.0,0.0280476011830652
hadamard,4.0,4.0,0.0278546235580475
hadamard,1.0,0.5,0.0278107851149341
hadamard,0.5,0.25,0.0277590192197483
hadamard,0.5,1.0,0.0276591907197935
hadamard,2.0,0.5,0.0276462032776096
hadamard,0.5,4.0,0.0272199114383765
hadamard,0.25,0.5,0.0270696881909586
hadamard,4.0,2.0,0.0261956658333725
