method,p,q,R2
hadamard,1.0,2.0,0.2675761849650899
hadamard,0.5,4.0,0.2667084547646365
hadamard,1.0,0.5,0.2660812828030602
hadamard,2.0,2.0,0.2658595755476159
hadamard,0.25,0.25,0.2655864911918537
hadamard,0.25,4.0,0.265027124244786
hadamard,0.5,0.5,0.2645161593813691
hadamard,2.0,0.25,0.2644952530048978
hadamard,4.0,4.0,0.2633213535797016
hadamard,1.0,1.0,0.2630751936904961
hadamard,2.0,0.5,0.262850198823202
hadamard,4.0,2.0,0.2626797122116676
hadamard,0.25,2.0,0.2620756741198199
hadamard,0.25,1.0,0.262019272360544
hadamard,4.0,1.0,0.2616236435764612
hadamard,0.5,2.0,0.2615657306985651
hadamard,0.5,1.0,0.2614341294308412
hadamard,1.0,4.0,0.2607375775810691
hadamard,4.0,0.25,0.2607358979148205
hadamard,1.0,0.25,0.2598916565582803
hadamard,2.0,1.0,0.2594196240504438
hadamard,0.25,0.5,0.2582131762499237
hadamard,0.5,0.25,0.2576676639509779
hadamard,4.0,0.5,0.2570963487839613
hadamard,2.0,4.0,0.2568531001438777
subtract,0.25,0.5,0.2201509424078471
subtract,0.25,2.0,0.2169863757286965
average,0.25,0.25,0.2168709549568572
L1,0.25,0.5,0.2162838297010568
subtract,0.5,2.0,0.2136094885818094
L2,0.25,0.5,0.2120319666409789
L1,2.0,0.25,0.2105592619028877
L2,0.5,0.5,0.2094286428173593
subtract,2.0,0.25,0.2093254482175219
L1,0.5,0.5,0.2090390194293608
subtract,0.5,0.5,0.2088183384287327
L1,0.5,2.0,0.2087988995527753
subtract,1.0,1.0,0.2086965891734291
average,1.0,2.0,0.2085082754442495
L2,0.5,2.0,0.2084514877865919
subtract,0.5,0.25,0.2066782104516951
L1,0.5,0.25,0.206483708835139
average,2.0,1.0,0.2054166486462859
subtract,2.0,2.0,0.2049077664375026
subtract,4.0,2.0,0.2040685257716336
L2,4.0,2.0,0.2038042127162991
average,2.0,0.25,0.2035236806053966
L1,2.0,0.5,0.2031950213200783
L1,0.25,2.0,0.2029474496660155
L1,4.0,2.0,0.2027461904991073
L2,2.0,0.25,0.202598633034361
average,0.5,0.5,0.2021478192462976
L2,1.0,1.0,0.2021235997494599
subtract,2.0,0.5,0.2013743062607634
subtract,0.5,1.0,0.2010045249092028
subtract,0.25,4.0,0.2006303301145917
L1,2.0,2.0,0.2002559002272705
average,0.25,1.0,0.1996875223926959
L1,0.5,1.0,0.1993380362633803
average,0.5,0.25,0.1985223369113427
average,4.0,1.0,0.1981516965356017
average,0.5,4.0,0.1974173814580523
subtract,1.0,0.5,0.1970939626754496
L1,1.0,1.0,0.1966359126825196
average,4.0,0.25,0.1964643633631398
L2,2.0,2.0,0.1960536367020197
average,2.0,0.5,0.1959167058229285
L1,1.0,0.5,0.1957100648703158
L2,0.25,2.0,0.1956160965734513
average,0.25,2.0,0.1954612579473394
L2,2.0,0.5,0.1952334721914759
average,4.0,0.5,0.194841731520119
L2,0.5,0.25,0.1947995946025723
average,4.0,4.0,0.194692021493061
average,0.5,1.0,0.1943654333812219
average,1.0,0.25,0.1941963766352171
L2,0.5,1.0,0.1935109788394762
L1,0.25,4.0,0.192815609698206
average,0.5,2.0,0.1925120928356007
average,1.0,1.0,0.1918090555233363
subtract,1.0,4.0,0.1917236397889196
average,2.0,4.0,0.1897838978334719
L2,1.0,0.5,0.1896719899945177
subtract,1.0,2.0,0.1893224012919039
average,4.0,2.0,0.1892565950339744
average,0.25,4.0,0.1888978579372365
subtract,4.0,4.0,0.1885507311690539
L1,1.0,4.0,0.187799612213969
L1,2.0,4.0,0.1876162202562254
L1,4.0,4.0,0.1872048955812152
subtract,2.0,1.0,0.1871964352273976
subtract,0.5,4.0,0.1864756308667989
subtract,4.0,1.0,0.1857931026155184
subtract,2.0,4.0,0.1854019483791749
subtract,4.0,0.5,0.1852420603037872
subtract,0.25,1.0,0.1841766701717412
L2,0.25,4.0,0.1833416824329328
L1,4.0,0.5,0.182377172520871
L2,2.0,4.0,0.1822632296787689
L2,1.0,4.0,0.182003623083757
L2,4.0,4.0,0.1818944515016459
L1,1.0,2.0,0.1813371835531221
subtract,1.0,0.25,0.1812593444089497
L1,2.0,1.0,0.1806592367961543
average,1.0,0.5,0.179371330535457
L2,4.0,0.5,0.1786486298165013
average,0.25,0.5,0.1785695549608942
L1,0.25,1.0,0.1782409568257562
L2,2.0,1.0,0.1776901890602384
subtract,0.25,0.25,0.1769480955000503
L1,0.5,4.0,0.1766852339980801
L2,0.5,4.0,0.1765398523548094
L1,0.25,0.25,0.1764027889826711
subtract,4.0,0.25,0.1760281531892203
L2,1.0,2.0,0.1747506737342453
L1,4.0,1.0,0.1744472066341544
L2,0.25,0.25,0.1740209891461163
average,1.0,4.0,0.172309817437861
L2,0.25,1.0,0.1712508517056378
average,2.0,2.0,0.1708860416866169
L2,4.0,1.0,0.1691448432132432
L1,4.0,0.25,0.1683963434854919
L1,1.0,0.25,0.163682414965926
L2,4.0,0.25,0.1588044642914894
L2,1.0,0.25,0.1497048078128842
