method,p,q,R2
average,1.0,2.0,0.0624034749726233
subtract,4.0,1.0,0.0623789720243448
subtract,0.25,1.0,0.0618676736713207
L1,0.5,2.0,0.0616844568740536
subtract,1.0,2.0,0.0614055929743396
L1,4.0,1.0,0.0613860521631285
subtract,0.5,2.0,0.0606593418676371
subtract,0.5,1.0,0.0604919219303569
average,4.0,1.0,0.0603613283459114
average,0.5,1.0,0.0602102117595213
average,0.25,1.0,0.0599025381571626
L2,0.5,2.0,0.0587633451145801
average,0.25,0.25,0.0585026738222378
average,0.5,2.0,0.0584285184015433
average,0.25,4.0,0.0574917028747239
subtract,2.0,4.0,0.0571405733610305
subtract,0.25,0.25,0.0570898887673226
subtract,1.0,0.25,0.0570569431396518
L2,4.0,1.0,0.0570076163781659
L1,0.5,1.0,0.0561717195271875
L1,0.25,1.0,0.0559477742343625
L1,2.0,4.0,0.0545195939961342
average,2.0,2.0,0.0543960630051785
subtract,1.0,0.5,0.0539653795940685
L2,1.0,2.0,0.0538429033626806
L1,1.0,4.0,0.0535762073999193
average,1.0,0.25,0.0531997153683284
average,4.0,4.0,0.0527147773873223
L1,1.0,2.0,0.052123545460579
L2,1.0,4.0,0.0521009307412071
L1,0.25,0.25,0.0516235901494641
subtract,1.0,4.0,0.0515237428682064
subtract,4.0,4.0,0.0514201445989446
L2,2.0,4.0,0.0512056422192302
average,1.0,0.5,0.0505177819852173
subtract,0.25,4.0,0.0503814183597164
L2,2.0,1.0,0.0503444382890216
L1,4.0,4.0,0.0502959770211306
L1,1.0,0.5,0.0502043755561096
L1,1.0,0.25,0.0496473021703676
average,2.0,1.0,0.0495322810374598
subtract,2.0,0.25,0.0492000931459212
L1,0.25,4.0,0.048177450363849
L2,0.25,1.0,0.0480378075162025
L1,2.0,0.25,0.0479593442302312
subtract,2.0,0.5,0.0478043616370682
L1,0.25,0.5,0.0473584691088923
L2,1.0,0.5,0.047245561943273
subtract,2.0,2.0,0.0471370239208042
L1,2.0,1.0,0.0470988771021005
L2,0.5,1.0,0.0470329521043358
average,2.0,0.5,0.0470298418813119
average,1.0,4.0,0.0464084501557803
subtract,2.0,1.0,0.0463024822624738
subtract,0.25,0.5,0.0458432499033462
average,2.0,0.25,0.0455875272773462
L1,2.0,2.0,0.0455610077591892
average,0.25,0.5,0.0439714571086067
L2,0.25,0.25,0.0435975623145802
L1,2.0,0.5,0.0430853823985299
L2,2.0,0.25,0.0416316762906092
L2,0.25,0.5,0.0413946715542309
L2,0.25,4.0,0.0408058689229514
L2,2.0,2.0,0.0404571002783316
L2,4.0,4.0,0.0402826687841093
average,2.0,4.0,0.0398191399584298
L2,1.0,0.25,0.0397622884887162
L2,2.0,0.5,0.0376868788722269
hadamard,1.0,4.0,0.0343437969172891
hadamard,0.25,1.0,0.0334956016927343
hadamard,1.0,2.0,0.0324448168661791
L1,1.0,1.0,0.0314609888747032
hadamard,0.5,0.25,0.0312091911071571
L2,0.5,0.25,0.0309170953486837
L2,0.25,2.0,0.0284851122885716
hadamard,0.5,0.5,0.0278559441746591
L1,4.0,0.5,0.0278363460818803
L2,4.0,2.0,0.0277582605291845
L2,1.0,1.0,0.0277182425811073
hadamard,2.0,0.25,0.0276824951441908
L1,0.25,2.0,0.0275833716351961
hadamard,4.0,1.0,0.0275554585669746
hadamard,4.0,2.0,0.0273992420770996
subtract,1.0,1.0,0.0273948103209992
subtract,4.0,0.5,0.0273643610100733
average,0.5,0.5,0.0273286390612473
hadamard,2.0,0.5,0.027264487364608
hadamard,1.0,0.5,0.0272341452051666
L2,4.0,0.5,0.0270286685651455
hadamard,1.0,1.0,0.0267243096207632
subtract,0.25,2.0,0.0265746871973201
L1,0.5,0.25,0.0264703134757015
L1,4.0,2.0,0.0264446974221675
hadamard,4.0,0.5,0.0264096884472189
hadamard,0.5,2.0,0.026272224788588
hadamard,0.5,4.0,0.0261981499929061
L1,4.0,0.25,0.0261711486837376
hadamard,0.25,2.0,0.0258706375914988
subtract,4.0,0.25,0.0258704006813036
L2,4.0,0.25,0.0257869575305096
hadamard,2.0,2.0,0.0255744493483371
average,0.5,4.0,0.0252534200268607
subtract,0.5,0.25,0.0247817656786505
hadamard,4.0,0.25,0.0246149644231403
hadamard,2.0,1.0,0.0245419866569334
subtract,4.0,2.0,0.0243596127176655
average,0.5,0.25,0.024008262367278
hadamard,4.0,4.0,0.0235004210559972
hadamard,0.25,4.0,0.0234773543308873
hadamard,2.0,4.0,0.0234051587546575
average,4.0,0.5,0.0233957904510225
average,0.25,2.0,0.0229735495113668
hadamard,0.5,1.0,0.0227896980965495
hadamard,0.25,0.5,0.0225303115531053
L1,0.5,4.0,0.0223464631058921
L2,0.5,4.0,0.0223240846665321
average,4.0,2.0,0.022203591897053
average,4.0,0.25,0.0220554033611676
hadamard,0.25,0.25,0.0218228154131259
average,1.0,1.0,0.0215779333887519
L2,0.5,0.5,0.0209082330875003
subtract,0.5,4.0,0.0204330344288384
hadamard,1.0,0.25,0.020087188720378
L1,0.5,0.5,0.0200268121121429
subtract,0.5,0.5,0.0191659927236975
