method,p,q,R2
hadamard,1.0,2.0,0.3292262496468133
hadamard,4.0,0.5,0.3281046743174461
hadamard,4.0,2.0,0.3269137406796938
hadamard,2.0,2.0,0.3265203654147978
hadamard,4.0,1.0,0.3258144735192422
hadamard,0.25,1.0,0.3255811478194333
hadamard,0.25,4.0,0.3251432331402432
hadamard,0.25,2.0,0.3243698828023028
hadamard,0.5,0.5,0.3237117791168687
hadamard,1.0,4.0,0.3236193131084233
hadamard,4.0,4.0,0.3232886169443705
hadamard,1.0,0.5,0.3230043110145244
hadamard,0.25,0.5,0.3216073932801064
hadamard,0.25,0.25,0.3205383488048958
hadamard,0.5,0.25,0.32051255459176
hadamard,1.0,1.0,0.3202542230017295
hadamard,1.0,0.25,0.3200353589585539
hadamard,0.5,1.0,0.3199176952122526
hadamard,0.5,2.0,0.3194044472492133
hadamard,0.5,4.0,0.3185381701492136
hadamard,2.0,1.0,0.3182016399633313
hadamard,2.0,0.5,0.3176814353898062
hadamard,4.0,0.25,0.3170475525465435
hadamard,2.0,4.0,0.3165821481890805
hadamard,2.0,0.25,0.3118994651464463
L1,1.0,4.0,0.2912281417589193
subtract,1.0,4.0,0.2902917804416876
subtract,1.0,2.0,0.2881366520111426
average,4.0,0.25,0.281578943297641
average,0.5,4.0,0.2815515508569146
average,4.0,4.0,0.2811893129638245
L2,1.0,4.0,0.2808118324388621
subtract,0.5,4.0,0.2758238512026976
subtract,0.25,0.25,0.2757342641449054
subtract,0.5,0.25,0.2749119877936516
L1,0.5,4.0,0.2746947896251898
subtract,4.0,2.0,0.2737767556631282
L2,1.0,2.0,0.2709211911139835
average,0.25,2.0,0.2708702468256615
subtract,0.5,2.0,0.2682637400670383
L2,0.5,4.0,0.267635278928596
subtract,0.25,2.0,0.2674408474775304
subtract,0.5,0.5,0.2673369349818977
subtract,2.0,2.0,0.2669945071774127
average,0.25,0.25,0.2664210651108234
L1,0.5,2.0,0.2660099218623564
subtract,0.5,1.0,0.2658337869227175
L1,1.0,2.0,0.2656259097593382
L1,0.5,1.0,0.2654786347364609
subtract,0.25,4.0,0.2654363115884582
subtract,2.0,1.0,0.2654195462574863
L1,0.25,4.0,0.2645578188373801
average,1.0,2.0,0.2637933606882533
subtract,4.0,0.5,0.2637267255072563
L1,2.0,2.0,0.2635333878197496
subtract,2.0,4.0,0.2631970935701908
average,1.0,0.25,0.2631527619342004
L1,0.5,0.25,0.2630421965128535
L2,0.5,1.0,0.2626716157686887
average,0.5,0.5,0.262391519078002
average,1.0,0.5,0.2622262566508111
average,2.0,2.0,0.2599815317260455
average,2.0,1.0,0.2598154181951918
L1,0.25,0.25,0.2597621189471712
subtract,1.0,0.25,0.2585484525636057
average,0.25,1.0,0.258337777628824
subtract,4.0,1.0,0.2581473507915776
subtract,2.0,0.5,0.2578056829444887
subtract,4.0,4.0,0.2574407811701947
average,0.25,0.5,0.2573785909896238
L2,2.0,2.0,0.2570056248494967
average,1.0,1.0,0.2570000613598462
L2,0.5,0.5,0.2568615171853845
L2,0.25,0.25,0.2567237346899135
L1,4.0,2.0,0.256458202242637
L1,4.0,0.5,0.256156330240741
subtract,2.0,0.25,0.2558791779239201
L1,4.0,4.0,0.2551423421273665
subtract,0.25,1.0,0.2551267965109983
L1,2.0,0.5,0.2543501265403785
L1,2.0,4.0,0.25419152790342
average,1.0,4.0,0.2541396407318352
L2,0.5,2.0,0.25392845094857
average,2.0,0.5,0.2538000282072911
average,2.0,4.0,0.253535254791232
L1,0.5,0.5,0.2534259300296868
L2,4.0,0.5,0.2534199362747079
average,4.0,0.5,0.2522204784423835
L1,1.0,0.25,0.251138821675236
L2,4.0,4.0,0.251083539164268
average,4.0,2.0,0.2503688921800141
average,0.5,2.0,0.2498995303703506
L2,0.25,4.0,0.249821782164756
L1,4.0,1.0,0.2492863596541468
subtract,4.0,0.25,0.2491044851406987
L2,2.0,4.0,0.247732430539834
subtract,1.0,0.5,0.2476481612853025
average,0.25,4.0,0.2475388015524395
L1,2.0,1.0,0.24707955202651
average,0.5,1.0,0.2464342301700863
subtract,0.25,0.5,0.2460086224162746
L1,0.25,2.0,0.2454902501391583
L2,4.0,2.0,0.2450835956521695
L2,2.0,0.5,0.2450444198911303
L2,0.5,0.25,0.2442283059818184
L1,4.0,0.25,0.2439605140275541
L2,4.0,0.25,0.2427442639950575
L2,2.0,1.0,0.2426324021747657
L2,4.0,1.0,0.2421456736600243
L1,1.0,0.5,0.2419970318028976
L2,1.0,0.25,0.2409669173872098
average,0.5,0.25,0.2397267313352431
L1,2.0,0.25,0.2386890035892854
L2,1.0,0.5,0.23855449417057
L1,0.25,1.0,0.2380587603786645
L2,0.25,1.0,0.232422237975194
subtract,1.0,1.0,0.2324075944466196
L2,0.25,2.0,0.2316718756833105
L1,0.25,0.5,0.2297547117780997
average,2.0,0.25,0.2283009046658519
L2,2.0,0.25,0.224327703519609
L1,1.0,1.0,0.220653154241575
L2,0.25,0.5,0.2190753251277319
average,4.0,1.0,0.2137279449510108
L2,1.0,1.0,0.2002762254231112
