method,p,q,R2
average,1.0,4.0,0.151914447718355
average,0.5,0.5,0.1515002924703321
average,4.0,1.0,0.1487788666825915
subtract,4.0,1.0,0.1477100025814153
subtract,0.5,1.0,0.143799816011288
average,0.5,2.0,0.1433964071500331
subtract,4.0,0.25,0.142125830394274
subtract,0.25,4.0,0.1418102641226709
L1,0.25,4.0,0.1400208913099391
L1,0.5,1.0,0.1385840756509824
subtract,1.0,1.0,0.137570553498546
subtract,0.25,2.0,0.1373957670052344
average,0.25,4.0,0.1371569971627353
average,0.5,1.0,0.1366679244336166
L1,4.0,0.25,0.1349765833888219
subtract,2.0,0.25,0.1349395179172099
subtract,2.0,2.0,0.1349120741144441
subtract,0.5,0.5,0.1348296904080095
L1,0.5,0.5,0.1322617163896279
average,1.0,1.0,0.1319492591710325
average,4.0,2.0,0.1317061314722103
average,2.0,1.0,0.1316135505969831
subtract,1.0,4.0,0.1300348534194654
average,2.0,2.0,0.1295816831617312
average,4.0,0.5,0.1279810226139118
L2,4.0,0.25,0.1278025982602133
average,0.25,0.5,0.1270187277395374
L1,1.0,4.0,0.1263034209535511
subtract,0.5,2.0,0.1244111037098042
L2,0.25,4.0,0.1239875991217999
L1,4.0,1.0,0.1238908817716639
L1,1.0,1.0,0.1235117593938902
L1,0.5,4.0,0.1234119285080985
L1,2.0,0.25,0.1232633993350851
L1,0.25,2.0,0.1228925769791392
average,2.0,0.25,0.1227843991864025
average,0.5,0.25,0.1227180324269527
subtract,0.5,4.0,0.1226058429103986
subtract,4.0,2.0,0.1223610193194473
average,1.0,0.5,0.1222018229355336
subtract,2.0,1.0,0.1219494722249366
average,4.0,0.25,0.1215650713632534
subtract,4.0,0.5,0.1213843818008378
L1,2.0,1.0,0.1211830526529473
L1,2.0,2.0,0.1202814844935357
L2,0.5,4.0,0.1199122415608215
L1,4.0,0.5,0.1185370245754504
subtract,0.25,0.5,0.1169072283104636
L2,0.5,1.0,0.1165174933921826
L1,0.5,2.0,0.1165047944108577
L2,0.5,0.5,0.1163468343008971
subtract,1.0,0.5,0.1156268188923947
subtract,0.5,0.25,0.1152090926366036
L1,0.25,0.5,0.1143962403635769
L2,1.0,1.0,0.1133241171513267
average,0.25,2.0,0.1127202944672152
L2,2.0,2.0,0.1124962619927119
L2,1.0,4.0,0.1121175383040803
L2,4.0,1.0,0.1118300262450778
L2,0.25,2.0,0.110746348796093
L2,0.25,0.5,0.1092232583484766
L2,2.0,0.25,0.1064788025082039
L1,4.0,2.0,0.1044329309354417
L1,1.0,0.5,0.1042229445438868
L2,2.0,1.0,0.1033414689726959
L1,0.5,0.25,0.1029893948026877
average,0.5,4.0,0.1007703751396803
L2,0.5,2.0,0.1004025253841027
L2,1.0,0.5,0.0984509608916198
L2,4.0,0.5,0.0960624166120264
L2,4.0,2.0,0.0854501481124077
L2,0.5,0.25,0.0851556629676204
subtract,0.25,0.25,0.0758561566609363
L1,2.0,4.0,0.0729225424582559
subtract,2.0,4.0,0.0722871191196977
subtract,1.0,0.25,0.0717099932189146
L1,0.25,0.25,0.0716387895481124
L2,0.25,0.25,0.0711998464734895
L1,1.0,0.25,0.0704229046278149
L1,1.0,2.0,0.0703868389067684
average,2.0,0.5,0.0692753883331503
L2,4.0,4.0,0.0665340735625408
L2,1.0,2.0,0.0664488149900343
subtract,1.0,2.0,0.0660695388312681
L1,4.0,4.0,0.0657758943900944
subtract,4.0,4.0,0.0654383494242264
subtract,0.25,1.0,0.0648002586662678
L1,2.0,0.5,0.0645537848623057
average,1.0,2.0,0.064365363195478
L2,2.0,4.0,0.0635384641560599
L2,1.0,0.25,0.0629417930694417
average,2.0,4.0,0.0621425581788447
L2,2.0,0.5,0.0612678663197072
L1,0.25,1.0,0.0606336072706693
average,0.25,0.25,0.0601248484382092
subtract,2.0,0.5,0.0583874812204994
average,4.0,4.0,0.0574732232715538
average,1.0,0.25,0.0572588025414596
L2,0.25,1.0,0.0547506455678449
average,0.25,1.0,0.0524309523510593
hadamard,0.5,1.0,0.050782022851243
hadamard,0.5,2.0,0.0480175357538651
hadamard,0.5,0.25,0.0479091547728428
hadamard,1.0,0.5,0.0464065224508307
hadamard,4.0,1.0,0.0458625691889221
hadamard,1.0,2.0,0.0450874937928112
hadamard,0.25,1.0,0.0438011755596845
hadamard,1.0,1.0,0.0436974840420889
hadamard,0.25,0.25,0.0435671994958917
hadamard,0.5,0.5,0.0432982426903636
hadamard,4.0,4.0,0.0431242107040797
hadamard,0.25,2.0,0.0428963988417864
hadamard,2.0,0.25,0.0427747163349644
hadamard,4.0,2.0,0.0427615282812564
hadamard,2.0,2.0,0.0426678040976579
hadamard,2.0,4.0,0.0426347704837065
hadamard,0.25,0.5,0.0424266713564254
hadamard,2.0,0.5,0.0422096383976755
hadamard,0.25,4.0,0.042104960467589
hadamard,0.5,4.0,0.041732301964947
hadamard,1.0,0.25,0.04146603632793
hadamard,4.0,0.25,0.0413915430695677
hadamard,1.0,4.0,0.0409452604068421
hadamard,2.0,1.0,0.0394260010856873
hadamard,4.0,0.5,0.0394216947307108
