method,p,q,R2
hadamard,1.0,0.25,0.0896477633032035
hadamard,4.0,2.0,0.0851797221216839
hadamard,4.0,0.25,0.08454839077122
hadamard,0.5,1.0,0.0841374589425534
hadamard,1.0,2.0,0.0825868175120594
hadamard,0.25,0.5,0.0812809434852136
hadamard,0.25,1.0,0.0792925582010387
L2,1.0,4.0,0.0790513992563927
hadamard,4.0,1.0,0.0781564876757445
hadamard,0.25,4.0,0.0776628256685554
hadamard,4.0,4.0,0.0773437446456091
hadamard,1.0,1.0,0.0770646858534371
hadamard,0.25,0.25,0.0770138821947132
hadamard,2.0,2.0,0.0768093394360358
hadamard,0.5,2.0,0.0761139563059446
L1,2.0,0.25,0.0759073055933204
hadamard,0.5,0.25,0.075712899924523
average,4.0,0.25,0.0749986886538969
hadamard,2.0,4.0,0.0748902567626822
L1,4.0,4.0,0.0748634832461149
hadamard,1.0,4.0,0.0738869133636385
hadamard,2.0,1.0,0.0738424246404637
hadamard,2.0,0.5,0.0738199029984936
L1,1.0,4.0,0.0736438903302811
average,0.25,4.0,0.0735346296586358
hadamard,0.5,0.5,0.0730986444546293
L2,4.0,4.0,0.0725709358475169
subtract,4.0,4.0,0.0724828080406276
hadamard,4.0,0.5,0.0721475846250219
hadamard,1.0,0.5,0.0721257478467185
hadamard,0.5,4.0,0.0720615318531872
L2,0.25,0.25,0.070705416132529
average,2.0,0.5,0.0706683396985778
average,4.0,4.0,0.0706383133401136
subtract,2.0,0.25,0.0703868131565084
subtract,1.0,4.0,0.0703728932924776
subtract,0.25,0.25,0.0702458280968391
L2,0.5,4.0,0.0702393216674901
subtract,2.0,4.0,0.0702341221654029
subtract,4.0,0.5,0.0700497336710761
average,1.0,2.0,0.0696678118614816
average,1.0,0.5,0.0695753811714268
average,2.0,1.0,0.0695190674442297
hadamard,2.0,0.25,0.0694800745460224
L1,0.5,0.25,0.0694161121231107
L1,0.25,0.25,0.0688885608290783
L1,0.5,4.0,0.0686713817273478
subtract,0.25,4.0,0.0685668448501642
subtract,4.0,0.25,0.0684186783005287
average,0.5,0.25,0.0681576575188583
average,0.5,0.5,0.0680278778875741
subtract,2.0,0.5,0.0679987335139044
subtract,1.0,0.5,0.0679015890420899
L1,2.0,4.0,0.067723575991096
subtract,1.0,1.0,0.0675243747585687
hadamard,0.25,2.0,0.0672904160462898
L2,2.0,0.25,0.0672535552213533
L2,0.5,0.25,0.0671926856062244
L1,2.0,2.0,0.0671202849695725
L1,2.0,0.5,0.0670822330712238
L1,0.25,0.5,0.0666914047068222
L2,0.25,0.5,0.0666618266852291
average,4.0,2.0,0.0665497983483905
subtract,0.5,4.0,0.0663893311323852
L2,0.25,4.0,0.0663752967591418
subtract,0.25,0.5,0.0662809937554712
L2,1.0,1.0,0.0660994213518705
subtract,0.5,1.0,0.0660203179923898
subtract,2.0,2.0,0.0659624504788432
L2,1.0,0.25,0.065664198872551
average,0.5,2.0,0.0656207891111
L1,4.0,0.5,0.065330161995704
L2,2.0,0.5,0.0652288194028121
L1,1.0,1.0,0.0650760056882933
L2,2.0,2.0,0.0650710825939625
subtract,0.5,0.5,0.064998798934864
L1,1.0,0.25,0.0648517136635411
L1,0.25,4.0,0.0645539932052902
average,0.25,0.5,0.0643944218160682
subtract,0.5,0.25,0.0642905596264509
subtract,4.0,1.0,0.0642227817071681
subtract,0.25,2.0,0.0642222275985506
L2,4.0,0.5,0.0640431223318572
subtract,1.0,0.25,0.0639984619851122
subtract,1.0,2.0,0.0636947193042193
average,0.25,1.0,0.0635087559210005
L1,0.25,2.0,0.0631969563901903
L2,2.0,4.0,0.0631692911567236
L1,4.0,1.0,0.0631660080052584
L1,1.0,2.0,0.0627306631960911
subtract,0.25,1.0,0.0625947236670253
average,0.5,1.0,0.062344132674966
average,2.0,2.0,0.0619412970549217
L2,1.0,0.5,0.0616152063969692
subtract,0.5,2.0,0.061430087700451
L1,0.5,0.5,0.0614260408538314
L2,0.5,1.0,0.0613323685979754
L2,0.5,0.5,0.06079898136568
L2,0.5,2.0,0.0605721598571921
average,4.0,0.5,0.0605100898330811
L2,4.0,0.25,0.0604019094525332
L1,0.5,2.0,0.0602111475162869
average,0.25,0.25,0.0599544705304778
L1,0.25,1.0,0.0598397446694499
L2,1.0,2.0,0.0598277288946799
subtract,2.0,1.0,0.0594250292040678
L2,0.25,2.0,0.0592882506174229
L2,4.0,1.0,0.0591367504563323
average,2.0,4.0,0.0587043838664531
L2,0.25,1.0,0.0580489268492457
L1,1.0,0.5,0.057745075376698
L1,0.5,1.0,0.0576431675248121
L2,2.0,1.0,0.0575380476445099
L1,4.0,0.25,0.0572680245995795
average,0.5,4.0,0.0556098556468728
average,0.25,2.0,0.0555973099181641
average,1.0,4.0,0.0555569634600217
L1,2.0,1.0,0.054816709748089
average,1.0,1.0,0.0537153965150597
average,1.0,0.25,0.0532428135376563
average,4.0,1.0,0.0503931898375172
average,2.0,0.25,0.0503036131597065
subtract,4.0,2.0,0.0502865911019256
L1,4.0,2.0,0.0496170503840244
L2,4.0,2.0,0.0489112532141527
