method,p,q,R2
hadamard,1.0,0.25,0.3771585814179062
hadamard,2.0,2.0,0.3768038059037312
hadamard,0.25,1.0,0.3759831055969788
hadamard,4.0,1.0,0.3745257553327635
hadamard,2.0,4.0,0.3739345007475979
hadamard,0.5,2.0,0.3738546796045751
hadamard,0.5,4.0,0.3737378105107687
hadamard,2.0,0.5,0.3725803798605958
hadamard,0.25,2.0,0.3725219885909206
hadamard,4.0,0.5,0.3712293657790817
hadamard,0.25,0.25,0.3712202837021452
hadamard,4.0,0.25,0.3711190999741987
hadamard,4.0,2.0,0.3696439580940266
hadamard,1.0,1.0,0.3683551162418285
hadamard,2.0,0.25,0.3677680081351097
hadamard,0.5,0.25,0.3676680838417436
hadamard,0.25,4.0,0.3673315180752697
hadamard,0.5,0.5,0.3655800742593939
hadamard,1.0,2.0,0.3648818196929433
hadamard,4.0,4.0,0.3636342940361527
hadamard,0.5,1.0,0.3625587702585854
hadamard,0.25,0.5,0.3609088278841099
hadamard,1.0,0.5,0.3608595534630193
hadamard,2.0,1.0,0.36049669199334
hadamard,1.0,4.0,0.3604962667034708
average,2.0,0.25,0.3051677159555692
subtract,2.0,0.5,0.3034796575937899
subtract,2.0,2.0,0.2979414719259851
subtract,1.0,1.0,0.2942352595006613
subtract,2.0,4.0,0.2931050879272757
L1,1.0,1.0,0.2906287325808382
L1,2.0,2.0,0.2896009498357438
subtract,4.0,0.25,0.2861460225829039
average,0.25,4.0,0.2834459767862854
average,0.5,4.0,0.2828440530554933
subtract,0.5,0.5,0.2823768160320066
L1,4.0,0.25,0.2817066200974714
subtract,0.5,0.25,0.2798184664773397
L1,2.0,4.0,0.2794379789873973
average,0.5,0.25,0.2792338001964433
subtract,1.0,0.25,0.2785408553881103
average,4.0,1.0,0.2784960537015237
average,0.25,2.0,0.2782900014167285
subtract,0.5,1.0,0.2772209880242973
average,4.0,0.5,0.2766234965846915
subtract,0.5,4.0,0.2763778906263783
L2,2.0,2.0,0.2763381546143006
L1,4.0,1.0,0.2754737374473407
average,2.0,4.0,0.2754436363900213
average,2.0,0.5,0.275288105159072
subtract,1.0,4.0,0.2750688714686236
average,1.0,0.25,0.2748035522349621
L2,2.0,4.0,0.27431857081584
subtract,4.0,1.0,0.2733661113490163
L2,2.0,0.5,0.2731617919329292
L1,2.0,0.5,0.2729562855404529
average,0.25,0.25,0.2725753022911802
subtract,4.0,0.5,0.272109383942851
subtract,0.25,2.0,0.2719200257437794
subtract,4.0,4.0,0.271887226356601
L1,0.5,0.25,0.2713643573659744
subtract,1.0,0.5,0.2712564106916327
average,1.0,1.0,0.2712094451610963
L2,1.0,1.0,0.2703550546588373
subtract,0.25,0.25,0.2701266924263825
subtract,0.5,2.0,0.2695984125138569
subtract,2.0,0.25,0.268685273944127
L1,1.0,0.5,0.2682179084454169
average,0.5,2.0,0.2675942452751859
L1,0.5,0.5,0.2675059352634983
L1,1.0,0.25,0.2670922007954078
average,2.0,1.0,0.2654933720045569
subtract,0.25,4.0,0.2652713726038677
average,0.5,1.0,0.26497914840005
subtract,0.25,0.5,0.2645709939538013
L1,0.5,1.0,0.2640940496633777
L1,2.0,0.25,0.2634044873398944
L2,4.0,1.0,0.2626626225308457
average,4.0,0.25,0.2623743033734113
L1,0.5,4.0,0.2620774251108706
subtract,0.25,1.0,0.2607647535871358
average,4.0,4.0,0.2606516678866258
L1,1.0,4.0,0.2603546078048367
L1,4.0,0.5,0.260286648800306
subtract,4.0,2.0,0.2598781819304617
average,0.5,0.5,0.2593683944328783
L1,0.5,2.0,0.2593504365512219
L2,1.0,0.5,0.2587423441122879
L1,4.0,4.0,0.2580052358438092
subtract,2.0,1.0,0.2569095890841677
L1,0.25,4.0,0.2567917422790484
L1,0.25,1.0,0.2567400016025305
L2,1.0,0.25,0.2564288690920983
L2,4.0,0.25,0.256363003155715
average,0.25,0.5,0.2553363930339859
L2,0.25,4.0,0.2552366289769929
L1,0.25,0.5,0.254381117446663
L1,0.25,0.25,0.2539331400178444
L2,2.0,0.25,0.2531346211451937
subtract,1.0,2.0,0.2530647823864104
L2,0.5,4.0,0.2525915427299431
L1,1.0,2.0,0.2525113287769162
average,0.25,1.0,0.2524942979635808
average,1.0,0.5,0.2521995094945624
L2,0.5,0.25,0.2521776333742461
L2,4.0,4.0,0.2518821065400646
L1,2.0,1.0,0.2496542420343184
L1,4.0,2.0,0.2490803837396084
L1,0.25,2.0,0.2488458209061173
average,2.0,2.0,0.2487100643091564
L2,0.5,2.0,0.2486717800826757
average,4.0,2.0,0.2479848189720152
L2,4.0,2.0,0.2454754487351353
L2,4.0,0.5,0.2451826077461452
L2,0.5,1.0,0.2451422051081857
L2,0.5,0.5,0.2447382660281372
L2,1.0,4.0,0.2446785763010848
average,1.0,4.0,0.2445223975460608
L2,0.25,0.5,0.2429062420712248
L2,0.25,0.25,0.2422652724518313
L2,0.25,1.0,0.2386144409900619
average,1.0,2.0,0.2374062437952832
L2,0.25,2.0,0.2370903621100726
L2,1.0,2.0,0.2364579309369189
L2,2.0,1.0,0.2255461008765755
