method,p,q,R2
average,1.0,0.5,0.1154804071153703
average,0.5,0.5,0.1150558705334415
L2,4.0,0.25,0.1144491123411963
L1,1.0,0.25,0.1133690615912551
L1,2.0,1.0,0.1132977124701989
subtract,2.0,1.0,0.1129567032132559
L1,0.25,0.5,0.1129110580553313
average,2.0,0.5,0.1126680132619217
subtract,1.0,0.25,0.1124461846103468
subtract,4.0,1.0,0.1121574281651456
L1,2.0,2.0,0.1107995304843224
subtract,2.0,2.0,0.1105845069165708
subtract,0.25,0.5,0.1105010857310021
average,2.0,1.0,0.1104547027013311
average,4.0,1.0,0.1104128170948532
L2,2.0,1.0,0.1100054646601282
average,0.25,0.25,0.1100015277337748
L1,4.0,1.0,0.1095220226996538
average,4.0,4.0,0.109518264874876
subtract,2.0,4.0,0.1092966388024874
hadamard,4.0,0.25,0.1087166978168737
hadamard,1.0,4.0,0.1084686725858781
subtract,4.0,0.25,0.1084354631117029
hadamard,1.0,2.0,0.108411856735039
average,4.0,2.0,0.1076135371255018
subtract,2.0,0.5,0.1066800800482221
subtract,4.0,2.0,0.1065911796341918
L1,4.0,0.25,0.1063142200853513
L1,0.25,4.0,0.1058254451480676
subtract,0.5,2.0,0.1054752302634433
L2,0.25,0.5,0.1054558650496692
subtract,0.25,4.0,0.1045278152575136
L2,4.0,1.0,0.104520223554903
L1,2.0,4.0,0.104003245244858
L1,2.0,0.5,0.1031014769794974
subtract,1.0,1.0,0.1028638043383384
L1,4.0,2.0,0.1028517918470135
L1,1.0,1.0,0.102196603836558
average,0.5,2.0,0.1017299172995258
hadamard,0.25,4.0,0.1016971627892099
average,0.25,2.0,0.1014193230385225
hadamard,0.25,2.0,0.1010481383620101
L1,0.5,2.0,0.1009321475213834
hadamard,4.0,0.5,0.1007812621255693
L2,1.0,0.25,0.0995110579794757
hadamard,0.25,0.5,0.0991269629110278
L1,0.25,1.0,0.0987843704290878
hadamard,0.25,1.0,0.0983630543422485
average,0.25,4.0,0.0981710154727635
hadamard,4.0,2.0,0.0976011195905779
subtract,0.5,4.0,0.097330982616492
subtract,2.0,0.25,0.0972846020787302
hadamard,4.0,1.0,0.0972348127166075
subtract,1.0,2.0,0.0970057472863904
average,4.0,0.5,0.0966880737807076
subtract,0.5,0.5,0.0966554238011285
L2,0.25,1.0,0.0963288310992074
L1,1.0,2.0,0.0961383732575427
subtract,0.5,0.25,0.0961341558803516
hadamard,0.5,0.5,0.0960050640538584
subtract,0.25,1.0,0.0960011015724213
L2,2.0,2.0,0.0958945754490193
L2,0.5,2.0,0.0955816254776105
L1,4.0,0.5,0.0955386660291166
hadamard,1.0,0.5,0.0953565109268603
L2,2.0,4.0,0.0953440575842033
L2,0.25,4.0,0.0953135300780825
hadamard,4.0,4.0,0.0952219001614842
hadamard,0.25,0.25,0.0944781184721538
L2,0.5,0.5,0.0942926197023397
L1,0.5,0.5,0.0941788632696362
L2,2.0,0.5,0.0941453693459655
subtract,4.0,0.5,0.094115642877276
average,0.25,0.5,0.094084757336267
average,1.0,4.0,0.0940707220821257
average,0.5,4.0,0.0940355295323946
L2,4.0,0.5,0.0939567436853718
average,2.0,2.0,0.0936594995108787
hadamard,1.0,1.0,0.0936427215212077
hadamard,2.0,0.5,0.0934002670142863
hadamard,0.5,4.0,0.0932188850199775
average,1.0,2.0,0.0922524876336495
L1,2.0,0.25,0.0921909672308449
subtract,0.25,2.0,0.0920405373694575
average,0.5,0.25,0.0916622339666445
hadamard,2.0,4.0,0.091658180051144
L1,0.5,0.25,0.0916382282554022
average,2.0,4.0,0.0916008052419768
L2,4.0,2.0,0.0915465205857942
L1,0.5,4.0,0.0914683553745413
subtract,4.0,4.0,0.0913490938687021
L2,1.0,1.0,0.0912569849677854
hadamard,0.5,1.0,0.0910988051561132
subtract,1.0,0.5,0.091045371772564
hadamard,2.0,2.0,0.0898174717931039
L2,1.0,2.0,0.0896983566460588
average,0.5,1.0,0.0891338564046831
hadamard,0.5,2.0,0.0890404332962382
subtract,0.5,1.0,0.089019319714256
hadamard,1.0,0.25,0.0890164393241668
L1,0.25,2.0,0.0889994602386985
hadamard,2.0,0.25,0.0888779176187194
hadamard,2.0,1.0,0.0884938355083808
average,1.0,0.25,0.0882987992037477
L1,1.0,4.0,0.0880220920152592
average,2.0,0.25,0.0880064523427246
L2,2.0,0.25,0.0879149738962268
hadamard,0.5,0.25,0.087524345906174
subtract,1.0,4.0,0.087172654636383
average,4.0,0.25,0.0871141509811962
L1,0.5,1.0,0.0866683117986879
L2,0.5,0.25,0.085416359014949
average,0.25,1.0,0.0846931482715015
L2,0.5,4.0,0.0843080656439053
L1,4.0,4.0,0.0838068432769303
L1,0.25,0.25,0.0819571656845029
L2,1.0,4.0,0.0809306259713364
L1,1.0,0.5,0.0801871946061852
subtract,0.25,0.25,0.0788245238943966
average,1.0,1.0,0.0784815576242941
L2,0.25,2.0,0.0754279458831806
L2,0.5,1.0,0.0742977685858963
L2,4.0,4.0,0.0714345671149515
L2,1.0,0.5,0.0712467037953906
L2,0.25,0.25,0.0663993517488197
