method,p,q,R2
hadamard,1.0,2.0,0.2231452457196081
hadamard,1.0,0.5,0.2132477486160326
hadamard,0.25,2.0,0.212056487088694
hadamard,0.5,4.0,0.2116612825893756
hadamard,2.0,1.0,0.2112775253456733
hadamard,1.0,0.25,0.2108771875167926
hadamard,4.0,1.0,0.210567011547394
hadamard,4.0,0.25,0.209972459094072
hadamard,1.0,4.0,0.209895058597709
hadamard,0.5,1.0,0.2085571064139275
hadamard,1.0,1.0,0.2084263275544959
hadamard,0.25,0.5,0.2080203131090738
hadamard,0.5,0.25,0.2078046086778265
hadamard,0.25,4.0,0.2075121484845608
hadamard,0.25,1.0,0.2053165945753184
hadamard,2.0,0.5,0.2045927185778551
hadamard,4.0,2.0,0.2045014290562938
hadamard,2.0,0.25,0.2043083669212378
hadamard,2.0,4.0,0.2034899805278504
hadamard,0.5,0.5,0.2032040536556739
hadamard,4.0,0.5,0.202953124504787
hadamard,0.5,2.0,0.2028634018370091
hadamard,2.0,2.0,0.2021008882584443
hadamard,0.25,0.25,0.2004725202928423
hadamard,4.0,4.0,0.1998186330715198
L2,0.5,4.0,0.1867144922118306
subtract,0.5,4.0,0.1858409025441006
subtract,1.0,4.0,0.1844001015013863
L2,1.0,1.0,0.1827003333721022
L1,1.0,1.0,0.1815282999308898
subtract,1.0,1.0,0.1813899449550976
average,2.0,0.5,0.1813560365059728
L1,0.5,4.0,0.1811759704709354
L2,1.0,2.0,0.1799621604060155
L1,0.5,0.5,0.1793852135639251
subtract,0.5,0.5,0.1792581286432095
subtract,1.0,2.0,0.1790172239506081
subtract,2.0,1.0,0.1783825672995828
average,4.0,1.0,0.1777568886109723
L2,1.0,4.0,0.1776945120689641
L1,1.0,4.0,0.1776085390830556
average,0.25,1.0,0.1772145515577872
L1,1.0,2.0,0.1767940938068175
average,2.0,2.0,0.176334527306089
subtract,0.5,0.25,0.175636536275701
subtract,0.25,2.0,0.1749940839703145
L1,0.25,2.0,0.1749523702266661
average,0.5,1.0,0.1747835633918864
subtract,4.0,0.25,0.1746602271985073
L2,2.0,1.0,0.1745426831766546
L1,2.0,1.0,0.1744123757129777
average,4.0,0.5,0.1737857702148695
average,1.0,0.5,0.1734669441395828
L1,4.0,0.25,0.1726698057164296
L2,4.0,0.25,0.172177802998932
L1,0.5,0.25,0.1712764880536657
average,0.5,2.0,0.1709761486120337
subtract,1.0,0.25,0.1702000303106259
subtract,0.25,4.0,0.1692609187053727
L2,0.25,2.0,0.1682064101705591
subtract,2.0,2.0,0.1674328857584619
average,4.0,2.0,0.1671795550718372
subtract,2.0,0.25,0.1668550128118465
subtract,2.0,0.5,0.1667913895366212
L1,1.0,0.25,0.1661858671534845
L2,0.5,0.25,0.1660747302968094
subtract,0.5,1.0,0.1656664164243867
L2,0.5,0.5,0.1656021379476073
subtract,0.25,0.25,0.1648050728156757
average,0.25,2.0,0.1644932842998734
average,2.0,0.25,0.1634247455565455
average,2.0,1.0,0.1630952878937696
L1,0.5,1.0,0.1627464298508597
subtract,0.5,2.0,0.1621774658211732
average,0.25,4.0,0.1612780308733663
L1,2.0,2.0,0.1611318853447513
average,0.5,4.0,0.1610287986825512
L1,0.5,2.0,0.1606166883750881
average,1.0,4.0,0.1598894387713103
average,4.0,0.25,0.1594506979738063
subtract,4.0,2.0,0.1592620581910033
L2,1.0,0.25,0.1592306275836548
L2,0.5,1.0,0.1591338792108068
subtract,4.0,4.0,0.158616041993297
average,2.0,4.0,0.1577142113404913
subtract,2.0,4.0,0.1572278740469098
L1,0.25,4.0,0.1572013380225075
average,1.0,2.0,0.1570731632623588
subtract,0.25,0.5,0.1570179755002548
average,1.0,1.0,0.1569808303129428
L2,2.0,2.0,0.1563910674165423
subtract,1.0,0.5,0.1561283383122603
L1,2.0,4.0,0.1560971989621068
L1,2.0,0.25,0.1560815338552286
average,0.5,0.5,0.1558526156813307
L1,1.0,0.5,0.1548718426914952
average,4.0,4.0,0.1547026145835754
L1,0.25,0.5,0.15430534868758
L1,0.25,0.25,0.1542175818930123
average,1.0,0.25,0.1537582461301417
L2,0.5,2.0,0.1536787707784349
L2,2.0,4.0,0.153250873012491
average,0.5,0.25,0.1532447530786708
L1,4.0,4.0,0.1527763317022699
average,0.25,0.5,0.1524545647537747
subtract,4.0,0.5,0.1506942498318897
L2,1.0,0.5,0.1506570033154807
L2,4.0,4.0,0.1503780189464236
subtract,0.25,1.0,0.1490943127833105
L2,0.25,0.5,0.1483166921960462
L2,2.0,0.25,0.1462391778087434
L1,2.0,0.5,0.1460943687439289
average,0.25,0.25,0.1453018578385274
L1,0.25,1.0,0.1450463959695078
subtract,4.0,1.0,0.1445339284867066
L1,4.0,1.0,0.1435290856430344
L2,0.25,0.25,0.1428555538716237
L2,2.0,0.5,0.1425707777111198
L2,0.25,4.0,0.1419339128379515
L1,4.0,2.0,0.1414716069709918
L2,0.25,1.0,0.139667120561337
L2,4.0,1.0,0.1375943929373784
L1,4.0,0.5,0.1373145454625197
L2,4.0,2.0,0.1319544346317271
L2,4.0,0.5,0.1313007893703403
