method,p,q,R2
hadamard,4.0,4.0,0.1065215915342825
hadamard,2.0,2.0,0.1034086789495382
hadamard,4.0,0.5,0.1031527275429941
hadamard,0.5,0.5,0.1027301489765484
hadamard,1.0,0.5,0.1008926232784391
L2,4.0,4.0,0.0990212309884575
hadamard,2.0,1.0,0.09875838194765
hadamard,1.0,4.0,0.0984460635506525
hadamard,0.25,2.0,0.0978606248143322
hadamard,0.25,4.0,0.0968880635855632
hadamard,4.0,1.0,0.0964625345877006
hadamard,0.5,4.0,0.0963877437717698
hadamard,0.25,0.25,0.0960412512298917
hadamard,2.0,4.0,0.0947754485348976
hadamard,2.0,0.25,0.0944078955477737
hadamard,0.5,2.0,0.0941158820625392
hadamard,4.0,0.25,0.0931958287825641
hadamard,0.25,0.5,0.0922465453173498
hadamard,1.0,2.0,0.0916149309948652
hadamard,4.0,2.0,0.0915421011014858
hadamard,2.0,0.5,0.0908228498138249
L1,4.0,4.0,0.0906664874614764
hadamard,0.5,0.25,0.0903745079006149
hadamard,1.0,0.25,0.0903356216337689
average,4.0,2.0,0.0900642310300309
subtract,1.0,1.0,0.0900204326781607
L2,0.5,0.5,0.0898411788531368
subtract,4.0,4.0,0.0897091080835521
hadamard,0.5,1.0,0.0895185198761953
L2,0.25,0.5,0.0888542246396536
subtract,2.0,1.0,0.0884379035885053
L2,1.0,1.0,0.0884109409932287
hadamard,0.25,1.0,0.0879156534590264
average,0.5,0.5,0.087524852427591
L2,0.25,2.0,0.0873840729838528
L2,1.0,2.0,0.087063156248643
L2,0.5,1.0,0.0869994944425928
average,1.0,0.25,0.0869454669030284
L2,2.0,1.0,0.0867215985707816
L1,2.0,1.0,0.0862026255535199
L1,1.0,1.0,0.0859300338387494
L2,4.0,1.0,0.0856737132081405
subtract,0.5,0.5,0.0853492877122551
L2,0.5,2.0,0.0852083936704484
L2,4.0,0.5,0.0848649977631655
hadamard,1.0,1.0,0.0843755663657988
subtract,0.25,1.0,0.0839896736403453
L2,0.5,0.25,0.0839357793316497
subtract,2.0,2.0,0.0836591617070082
L2,4.0,2.0,0.083357291840647
L2,0.5,4.0,0.0831343661880329
L1,0.25,0.5,0.0828787347102354
average,1.0,1.0,0.0828742525603258
L2,2.0,2.0,0.0825902177620863
subtract,0.5,0.25,0.0825742212809897
average,1.0,4.0,0.0825590335939847
L1,0.25,2.0,0.0824929353935338
L2,2.0,4.0,0.0824852219233873
L2,0.25,1.0,0.0823179390728452
average,4.0,1.0,0.082060496494149
L1,0.5,0.5,0.0818385958607943
average,1.0,0.5,0.0814555826545573
average,2.0,4.0,0.0809171357833915
L1,0.25,1.0,0.0808225140319554
subtract,0.25,2.0,0.0807130079317123
subtract,0.5,1.0,0.0806557125557609
L1,2.0,2.0,0.0802334935513089
L1,4.0,1.0,0.0801661218213742
average,4.0,0.5,0.0800128977534911
subtract,1.0,2.0,0.0792299508002462
L2,1.0,0.5,0.0789552719131884
subtract,0.25,0.5,0.0789350652238117
average,1.0,2.0,0.0781447928093346
L1,0.5,1.0,0.0781174781512659
L1,0.5,0.25,0.0781048049348827
L1,2.0,4.0,0.0778507520988984
subtract,4.0,1.0,0.0778060379035735
L1,0.5,2.0,0.0773327461126439
subtract,4.0,2.0,0.0771855592661192
average,0.5,2.0,0.0771314531426908
subtract,0.25,0.25,0.0768290875931541
subtract,2.0,4.0,0.0768288154609219
average,0.25,1.0,0.076682811547902
L1,1.0,2.0,0.076384870159043
subtract,2.0,0.25,0.0763540074871331
average,2.0,2.0,0.0761197089399829
subtract,1.0,0.5,0.0753844317207642
L2,2.0,0.25,0.0753831935256356
L1,2.0,0.25,0.0753738731449257
average,2.0,1.0,0.0751461189239727
L1,1.0,0.5,0.0750610185671701
L2,0.25,0.25,0.0749147334180151
L1,4.0,0.5,0.0748444868953509
L1,4.0,2.0,0.074652374096265
subtract,0.5,2.0,0.0746317928045481
subtract,4.0,0.5,0.0746042695883262
subtract,0.5,4.0,0.0740814531060162
L1,0.5,4.0,0.0736417075495712
L2,0.25,4.0,0.0733029186734071
subtract,0.25,4.0,0.0723516451318715
average,0.25,0.5,0.0715796905596746
L1,0.25,0.25,0.0714958272031967
average,0.25,0.25,0.0711199230856659
average,0.5,4.0,0.0707720717822821
L2,2.0,0.5,0.070567518529692
L1,0.25,4.0,0.0705219364287603
subtract,4.0,0.25,0.0704780905354233
L2,4.0,0.25,0.0702621425831027
subtract,1.0,4.0,0.0701082423400067
average,0.25,4.0,0.0699159972431494
average,0.25,2.0,0.0695363427532754
L2,1.0,0.25,0.0685349313112145
subtract,2.0,0.5,0.0675274524022053
L1,2.0,0.5,0.067067185122486
L2,1.0,4.0,0.0669982247290096
average,2.0,0.5,0.0668646324728268
average,2.0,0.25,0.0668437210162334
average,4.0,0.25,0.0657630179499988
L1,4.0,0.25,0.0650159274603269
L1,1.0,4.0,0.0645909970730699
subtract,1.0,0.25,0.0644327437740387
L1,1.0,0.25,0.0643633778420967
average,4.0,4.0,0.062151597985271
average,0.5,0.25,0.0615038927156931
average,0.5,1.0,0.0608565216032872
