method,p,q,R2
hadamard,0.25,2.0,0.232086380881884
hadamard,0.25,1.0,0.2313929145056242
hadamard,0.25,0.5,0.2301840358506377
hadamard,1.0,0.25,0.2299888228783493
hadamard,0.5,0.25,0.2282419769840111
hadamard,1.0,0.5,0.2279576986251806
hadamard,4.0,0.5,0.2274120774092697
hadamard,2.0,1.0,0.2259792646092034
hadamard,4.0,2.0,0.2258597314357374
hadamard,0.25,0.25,0.2251168436890623
hadamard,0.25,4.0,0.2247923835636703
hadamard,2.0,0.25,0.2244064356258391
hadamard,1.0,1.0,0.2242410852475893
hadamard,0.5,2.0,0.221794751475382
hadamard,2.0,2.0,0.2216933204138615
hadamard,0.5,4.0,0.2214161537155433
hadamard,0.5,0.5,0.2210662749955033
hadamard,4.0,0.25,0.2209295648933191
hadamard,2.0,0.5,0.2208635077274044
hadamard,0.5,1.0,0.2205120396405543
hadamard,2.0,4.0,0.2165731706088206
hadamard,1.0,4.0,0.2160653742710119
hadamard,4.0,4.0,0.2153540637042961
hadamard,4.0,1.0,0.21253136941807
hadamard,1.0,2.0,0.2089150491636558
average,1.0,4.0,0.1932115875540857
average,0.5,0.5,0.1897685288306356
subtract,0.5,4.0,0.1868167919148838
average,4.0,2.0,0.1838311721144518
L1,2.0,2.0,0.1816927598243227
subtract,4.0,0.25,0.1808973010328813
average,2.0,4.0,0.1802698169622735
average,0.5,2.0,0.1794950354528344
subtract,0.5,0.25,0.1794496616794222
average,0.25,4.0,0.1794451958190285
subtract,2.0,0.5,0.1793865492475123
subtract,1.0,0.25,0.1764348715451978
L1,2.0,0.5,0.1763983759089643
L1,1.0,0.25,0.176245164071252
subtract,2.0,2.0,0.1745596886036692
L2,2.0,2.0,0.1740976113317955
subtract,2.0,1.0,0.1739350023139008
average,0.25,2.0,0.1738043772442151
L1,0.5,4.0,0.171931001783144
subtract,1.0,2.0,0.1708077666244964
average,2.0,1.0,0.1704270148522277
average,4.0,0.5,0.1702314943594153
subtract,0.5,1.0,0.1697807551007297
L2,2.0,0.5,0.1696505528874105
L2,0.5,1.0,0.1685693223969943
average,0.5,1.0,0.1668947894154402
average,1.0,0.25,0.1667875573869996
L1,4.0,0.25,0.1666206993524719
average,1.0,1.0,0.1664988554521808
L1,2.0,1.0,0.1661694767772638
L2,2.0,1.0,0.1656758540512639
average,1.0,2.0,0.1652914374656238
average,4.0,0.25,0.1647191112877726
average,2.0,2.0,0.1641938515648908
L1,0.5,0.25,0.1641209787992917
average,2.0,0.25,0.1640662437416542
average,0.25,1.0,0.1639748951792325
L2,1.0,0.25,0.1638846068196975
average,0.25,0.25,0.16269537957476
L2,0.5,4.0,0.1617433928297252
L1,0.5,1.0,0.1609968043716471
subtract,2.0,0.25,0.1607808340019529
subtract,0.25,0.25,0.1607275191004726
L1,0.25,4.0,0.1602409585868652
L1,0.5,0.5,0.1602177641454131
subtract,0.5,0.5,0.1598275485314194
subtract,1.0,1.0,0.1571627395952258
subtract,0.25,4.0,0.1563924212826941
average,4.0,1.0,0.1555651153641477
L1,4.0,2.0,0.1552785037782753
subtract,4.0,1.0,0.1535791206904831
L2,0.25,4.0,0.1527182279916341
L1,4.0,0.5,0.1523991015755718
L2,4.0,0.25,0.1515106171714709
average,2.0,0.5,0.151218332274701
L2,0.5,0.5,0.1511597449866755
average,1.0,0.5,0.1506194671934203
L2,4.0,2.0,0.1505302352112603
average,4.0,4.0,0.1503383632570795
subtract,2.0,4.0,0.150138411500188
subtract,4.0,2.0,0.1496047906392034
L1,2.0,0.25,0.1495696799512583
L2,4.0,0.5,0.1493130844303214
L1,0.25,0.25,0.1492835758857471
subtract,0.25,0.5,0.1491427324630025
L1,0.25,2.0,0.14885383794936
subtract,4.0,0.5,0.1486853006283871
subtract,0.25,2.0,0.1484757797201188
L1,1.0,1.0,0.1478292955417347
L2,2.0,0.25,0.1472846018677162
L1,1.0,2.0,0.1470405396274803
average,0.5,4.0,0.1466363883230558
subtract,0.25,1.0,0.1465664535440674
subtract,1.0,0.5,0.1465303530489387
average,0.5,0.25,0.1454219112132153
L1,0.25,0.5,0.1445146240597996
L2,1.0,1.0,0.1441170361067281
L2,0.25,0.5,0.1438467367688733
L1,4.0,1.0,0.1436406739933903
L2,1.0,2.0,0.1426857422871178
L2,0.5,0.25,0.1424804054972541
L2,0.25,2.0,0.1423835243202487
L1,1.0,0.5,0.1410212929348944
L2,4.0,1.0,0.1401018261943426
L2,0.25,0.25,0.1395144278027277
subtract,4.0,4.0,0.1389668039929776
L1,2.0,4.0,0.1376291009629583
subtract,1.0,4.0,0.137374798684086
L1,4.0,4.0,0.1353863505573525
average,0.25,0.5,0.1353581134028699
L2,1.0,0.5,0.1346218016895508
L1,0.25,1.0,0.1323814204064111
L2,2.0,4.0,0.130766335681568
L2,0.25,1.0,0.1289914594233114
L1,1.0,4.0,0.128037297891264
L2,4.0,4.0,0.1259654777835621
L2,1.0,4.0,0.1207950081893487
subtract,0.5,2.0,0.1161889794657838
L1,0.5,2.0,0.1077757934503751
L2,0.5,2.0,0.1054228814656919
