method,p,q,R2
hadamard,4.0,2.0,0.3244068220626073
hadamard,2.0,4.0,0.3223664092041264
hadamard,1.0,0.5,0.3219773184403834
hadamard,2.0,1.0,0.3213005440081193
hadamard,1.0,0.25,0.321101513867618
hadamard,4.0,1.0,0.3208237260321794
hadamard,2.0,2.0,0.3201174030938353
hadamard,4.0,0.5,0.3192027721951418
hadamard,1.0,2.0,0.3187578601258227
hadamard,0.25,0.25,0.316448613107714
hadamard,1.0,1.0,0.3151791934028728
hadamard,0.5,4.0,0.3150785942354872
hadamard,0.25,1.0,0.3147393772255403
hadamard,0.5,0.5,0.3133632238683408
hadamard,2.0,0.5,0.3131591661404751
hadamard,1.0,4.0,0.3130122658556442
hadamard,0.25,0.5,0.3126831159355077
hadamard,4.0,0.25,0.3125410215919727
hadamard,0.5,0.25,0.3119590316682469
hadamard,0.5,2.0,0.3117126918460668
hadamard,0.25,2.0,0.3109477847362414
hadamard,2.0,0.25,0.3103807918504107
hadamard,0.25,4.0,0.3089939666415173
hadamard,0.5,1.0,0.3074035781567495
hadamard,4.0,4.0,0.3053164055605092
average,4.0,2.0,0.2887969962553905
average,0.25,0.5,0.2880762103211384
subtract,2.0,4.0,0.2768699201281076
average,0.25,0.25,0.2758958737683828
average,1.0,2.0,0.2754280960981359
subtract,0.5,2.0,0.2734794523376328
subtract,2.0,1.0,0.2728868963163422
subtract,0.25,1.0,0.272466704808024
average,4.0,1.0,0.2714818923696493
L1,2.0,0.5,0.2705379818767869
average,1.0,0.5,0.2702926338246718
subtract,2.0,2.0,0.2697328800115618
subtract,2.0,0.5,0.2682406656058881
average,2.0,2.0,0.2671637659538255
average,4.0,4.0,0.2662919319353054
average,4.0,0.5,0.2661532531854081
L1,2.0,1.0,0.2649808619006687
average,2.0,1.0,0.2644123345216927
subtract,0.25,4.0,0.2639332950563774
subtract,0.25,2.0,0.2623497169193962
L1,0.5,2.0,0.2622353766933307
L1,0.25,2.0,0.2621657363364478
average,0.5,0.5,0.2614972266611615
subtract,4.0,1.0,0.2614746746755485
average,1.0,0.25,0.2614018327344726
L1,0.25,1.0,0.2611540321101964
L1,2.0,4.0,0.261062043667477
subtract,1.0,1.0,0.2604559950906487
average,1.0,4.0,0.2591292558349308
average,0.5,1.0,0.2583805289529828
subtract,0.5,1.0,0.2578863373596071
subtract,0.5,4.0,0.2577920609209453
average,0.25,2.0,0.2575558652289843
L1,2.0,2.0,0.2570155196425712
L1,1.0,1.0,0.2564898854314589
subtract,0.5,0.25,0.2553823715036715
subtract,1.0,4.0,0.2551518173486069
L2,2.0,0.5,0.2543599663198408
L1,0.25,4.0,0.2541877639486946
L2,2.0,4.0,0.2541256343066472
average,2.0,0.5,0.2538864244024398
L1,0.5,1.0,0.2537345307168016
L1,4.0,4.0,0.252376045669502
L1,0.5,4.0,0.2513705480769203
L1,0.5,0.25,0.250973843851075
L1,1.0,0.5,0.2506168222002005
L2,0.25,2.0,0.249262963560337
L2,0.25,1.0,0.2491043906270568
L1,4.0,1.0,0.2483679756352493
L1,0.5,0.5,0.2480312607516515
subtract,4.0,2.0,0.2480219955859375
L2,2.0,1.0,0.2479771967788193
average,0.25,4.0,0.2476685940393204
subtract,0.25,0.25,0.2474835154092722
subtract,4.0,4.0,0.2473770597007635
L2,0.5,2.0,0.2473596522098295
subtract,1.0,0.5,0.2471028949952969
average,2.0,0.25,0.2467697775624655
L1,1.0,4.0,0.2462837026968865
subtract,0.25,0.5,0.2458543990434464
subtract,4.0,0.5,0.2453820523974006
L2,0.25,4.0,0.2448890277574016
L2,4.0,1.0,0.2448032620324169
L1,0.25,0.5,0.2448020494914309
average,1.0,1.0,0.2446717605365795
average,0.5,0.25,0.2445234317537093
L1,0.25,0.25,0.2442039911782202
L2,0.5,1.0,0.2435117329531845
average,4.0,0.25,0.2434491749767626
subtract,0.5,0.5,0.2431700678216521
average,2.0,4.0,0.2430108428650126
L2,4.0,4.0,0.2429594097250988
L2,0.5,0.25,0.2423806271125721
subtract,1.0,2.0,0.2421441160121867
L2,4.0,2.0,0.2417631303816586
L2,2.0,2.0,0.2415919158190345
L2,0.5,4.0,0.2411765104281696
L1,1.0,2.0,0.2404309517637848
average,0.5,2.0,0.2403911511419302
L1,4.0,2.0,0.2400213085067892
L2,1.0,0.5,0.2390986925185109
average,0.25,1.0,0.2387986816391571
L2,0.25,0.25,0.2378155200669759
L2,1.0,1.0,0.2377739319013104
subtract,1.0,0.25,0.2369752752022035
L2,0.25,0.5,0.2365193966187231
L2,0.5,0.5,0.2358771122199147
L1,4.0,0.5,0.2357399310262939
L2,1.0,4.0,0.2356495790375273
L1,1.0,0.25,0.2345235563435762
subtract,4.0,0.25,0.2339329587830345
average,0.5,4.0,0.2315085983745254
L2,4.0,0.5,0.2273818938468885
L1,4.0,0.25,0.2243549558176922
L2,1.0,2.0,0.2230723684023537
L2,1.0,0.25,0.2216011091796949
subtract,2.0,0.25,0.219365934960814
L1,2.0,0.25,0.2144789619169309
L2,4.0,0.25,0.2080354293490912
L2,2.0,0.25,0.1996357547498809
