method,p,q,R2
subtract,4.0,1.0,0.1944128591435594
L2,4.0,1.0,0.1882675691025497
subtract,1.0,0.25,0.1877211587045693
L1,4.0,1.0,0.186274053766129
subtract,1.0,4.0,0.1826527479313967
subtract,0.5,0.25,0.1824669455571721
L1,1.0,0.25,0.1821056693449898
subtract,1.0,1.0,0.1800931619597466
average,0.5,0.25,0.1777844600636453
average,4.0,4.0,0.1777390337045659
L1,4.0,4.0,0.1770559909470748
subtract,0.5,1.0,0.1754963932562636
L1,0.5,0.25,0.1754921844894466
hadamard,4.0,1.0,0.1742846151764815
L2,1.0,0.25,0.1736813637787013
L1,0.5,1.0,0.1736066120163756
average,1.0,4.0,0.1733781007646023
subtract,4.0,4.0,0.173308768650927
hadamard,4.0,2.0,0.1725396253174455
L2,4.0,4.0,0.1724628951950052
L1,0.25,1.0,0.171994978552335
subtract,0.25,1.0,0.1716875670313167
hadamard,0.25,0.5,0.1716713799439695
hadamard,2.0,1.0,0.1714911420273446
L1,4.0,0.25,0.1711468145741616
hadamard,4.0,0.5,0.1708737684825402
hadamard,1.0,0.25,0.1708643730930051
hadamard,0.25,1.0,0.1702241079627588
subtract,0.5,4.0,0.1699501491463929
hadamard,1.0,4.0,0.1694536384137764
L2,0.5,0.25,0.1689877973551012
average,2.0,2.0,0.1686143703357842
L1,0.5,4.0,0.168281272827987
hadamard,0.25,2.0,0.1682277022750467
hadamard,0.25,4.0,0.1677055543866221
hadamard,2.0,0.25,0.1675702726182804
hadamard,0.5,1.0,0.1674274689840805
L1,1.0,1.0,0.1672264954057305
hadamard,1.0,2.0,0.1671286123088666
subtract,0.25,4.0,0.1663581695140882
hadamard,0.5,0.5,0.1662764401562343
L1,1.0,4.0,0.1661885944719302
average,2.0,0.25,0.1660646927254173
subtract,4.0,0.25,0.1659129786521498
average,0.25,0.5,0.1658672815061395
average,4.0,0.5,0.1658208618609147
hadamard,4.0,4.0,0.1657623310965801
hadamard,2.0,0.5,0.1657378050426653
subtract,4.0,2.0,0.1657196385543223
average,2.0,1.0,0.1653417654979045
hadamard,0.5,4.0,0.1653049469498491
L2,0.5,1.0,0.1648767748645023
L1,4.0,2.0,0.1648631016350636
average,4.0,0.25,0.1646825587270183
subtract,2.0,0.25,0.1642434358755173
L2,4.0,0.25,0.1641273181223128
L2,0.5,4.0,0.1638206012383751
L2,0.25,1.0,0.163622881601323
subtract,1.0,2.0,0.1632108231026527
hadamard,0.5,0.25,0.1631709663539799
hadamard,1.0,0.5,0.1630968278969059
subtract,1.0,0.5,0.1630381862475349
hadamard,0.5,2.0,0.1627583958206082
L1,1.0,2.0,0.1626862793652843
L1,0.25,4.0,0.1626814939751374
hadamard,1.0,1.0,0.1624718743573798
hadamard,4.0,0.25,0.1622585117830004
subtract,0.5,0.5,0.1621921133525639
L2,1.0,4.0,0.16185856738071
L2,4.0,2.0,0.1617339470493397
average,1.0,2.0,0.1616163584172003
L1,0.25,0.5,0.1611455558794083
subtract,0.25,0.5,0.1609110528763992
L2,1.0,1.0,0.1608048109958273
hadamard,0.25,0.25,0.1604282019252726
L1,1.0,0.5,0.1603505085248747
hadamard,2.0,4.0,0.1599947904145031
hadamard,2.0,2.0,0.1578893598231956
L2,0.5,0.5,0.1575117954118463
subtract,2.0,2.0,0.1573956682674618
L1,0.5,0.5,0.1570282713331506
L1,2.0,2.0,0.1569938822064778
L1,4.0,0.5,0.1568469867660553
average,0.25,1.0,0.1567730601287392
L2,1.0,2.0,0.1563911344441146
average,0.5,2.0,0.1563628713570801
average,4.0,2.0,0.1561474768765693
average,0.25,4.0,0.1559711128030757
subtract,0.5,2.0,0.1558851649060797
subtract,4.0,0.5,0.1553658500679621
subtract,2.0,0.5,0.1551467436468389
L2,0.25,4.0,0.1550528047946063
L2,0.25,0.5,0.153864519776514
L2,2.0,2.0,0.1521298988805641
average,2.0,0.5,0.1521168323869738
average,4.0,1.0,0.1516763890684077
average,0.25,0.25,0.1515556864955197
average,1.0,1.0,0.1512009908001078
subtract,0.25,0.25,0.1511680604503018
average,0.5,4.0,0.1505595185664558
average,1.0,0.25,0.1501383339457616
L1,0.5,2.0,0.1491114484697273
L2,4.0,0.5,0.1487839635334629
subtract,2.0,4.0,0.1474176077306666
L2,2.0,0.5,0.1461558624956092
L1,2.0,0.5,0.1461344294217524
average,1.0,0.5,0.145527974509982
average,0.5,1.0,0.1451264739453586
L2,1.0,0.5,0.1450019970869058
L2,0.5,2.0,0.1448457021606566
average,2.0,4.0,0.1446021738317696
average,0.5,0.5,0.1428335757433783
L1,2.0,0.25,0.1426786224577818
L2,2.0,1.0,0.142677713030295
L1,0.25,0.25,0.1423839347561238
average,0.25,2.0,0.1421110198665418
L2,0.25,0.25,0.1412810868597661
subtract,2.0,1.0,0.1411988194066913
subtract,0.25,2.0,0.1409522363030146
L1,2.0,1.0,0.1390640625351303
L2,2.0,0.25,0.1360798205398031
L1,2.0,4.0,0.1328367541244213
L1,0.25,2.0,0.1279271866978024
L2,0.25,2.0,0.1240920830512694
L2,2.0,4.0,0.1212592156368557
