method,p,q,R2
hadamard,1.0,4.0,0.3690227691712225
hadamard,0.25,2.0,0.3600470617219374
hadamard,0.25,4.0,0.359703167792093
hadamard,0.5,4.0,0.3572536726664184
hadamard,2.0,0.25,0.3564132420336845
hadamard,0.5,1.0,0.3554756774904866
hadamard,0.25,0.5,0.3539789097172101
hadamard,4.0,1.0,0.3524121689829838
hadamard,4.0,4.0,0.3521851029676848
hadamard,1.0,0.25,0.3516584661090161
hadamard,1.0,1.0,0.3487771775914565
hadamard,2.0,4.0,0.3476189231237063
hadamard,2.0,2.0,0.3474457069688891
hadamard,4.0,0.25,0.3462343656919147
hadamard,0.5,2.0,0.3459565251557456
hadamard,0.25,0.25,0.3459515718194546
hadamard,4.0,0.5,0.3457408227230728
hadamard,1.0,2.0,0.3450924478359597
hadamard,4.0,2.0,0.3445596217347151
hadamard,0.5,0.5,0.3445293872918857
hadamard,0.25,1.0,0.3441918403224725
hadamard,2.0,0.5,0.344012186325768
hadamard,2.0,1.0,0.3413563489384906
hadamard,1.0,0.5,0.3403821001513665
hadamard,0.5,0.25,0.3402454033429249
subtract,1.0,4.0,0.318672356213714
subtract,1.0,0.25,0.3182391709369733
subtract,4.0,0.5,0.3175732778645868
L1,0.25,0.25,0.3163190354724453
subtract,0.25,0.25,0.3160035818782445
subtract,4.0,2.0,0.3155410450015635
subtract,0.25,4.0,0.3138449909989356
L1,0.25,4.0,0.3137862576018175
L1,1.0,2.0,0.3131780831245367
L1,2.0,1.0,0.312967360818969
subtract,1.0,2.0,0.3127616170355506
average,0.5,2.0,0.311887647579098
subtract,2.0,1.0,0.311137825850775
L1,2.0,0.25,0.3108286392226385
average,1.0,0.5,0.3106415140322942
L1,0.5,0.5,0.3102363303800389
L1,1.0,0.25,0.3100681232481328
subtract,2.0,0.25,0.3097904822115847
subtract,0.25,1.0,0.3097484700231306
L1,1.0,4.0,0.3093696019383484
L1,4.0,0.5,0.3091398278592653
subtract,0.5,4.0,0.3075289964855634
subtract,0.5,0.5,0.3067712790899148
L2,0.25,4.0,0.3067440909499406
average,2.0,2.0,0.3066887030822355
subtract,2.0,4.0,0.3059662724486698
subtract,0.25,0.5,0.305532274983706
average,2.0,0.5,0.3049058452480149
average,0.5,4.0,0.3036507870660296
L1,0.25,0.5,0.3015121380626259
L1,2.0,4.0,0.3002978023675826
L1,0.5,4.0,0.2998080445539186
average,0.5,0.25,0.2992898559790079
L1,4.0,2.0,0.2984407576645848
average,4.0,0.5,0.298284706623023
average,1.0,0.25,0.2980380169421449
subtract,4.0,4.0,0.2972238597384496
average,1.0,4.0,0.296987037740871
average,2.0,4.0,0.2967257680232832
L2,4.0,0.5,0.2967040110351588
average,2.0,0.25,0.2965468473224703
L1,4.0,4.0,0.2959771296538936
subtract,2.0,0.5,0.2958877905222216
L1,2.0,0.5,0.2957389412856011
average,4.0,1.0,0.2953324320905717
L2,0.25,0.25,0.2952078290034762
average,0.25,1.0,0.2942229946038555
L1,0.25,1.0,0.2938673457989332
subtract,1.0,0.5,0.2937222783377039
L2,1.0,2.0,0.2928257284698738
L2,2.0,0.25,0.2922750305924735
average,4.0,4.0,0.2917121005374669
L2,0.5,4.0,0.2910750120124625
subtract,0.5,0.25,0.2908349171199471
L1,0.5,0.25,0.2899681198890041
L2,1.0,0.25,0.2896488810909394
L2,0.5,0.5,0.2880162016639865
subtract,4.0,1.0,0.2879103353805253
average,0.25,4.0,0.2876843505127263
subtract,4.0,0.25,0.2875156185024673
L1,0.25,2.0,0.2875155434449929
subtract,0.5,1.0,0.2873072973553761
average,0.25,2.0,0.2869843867152595
average,0.5,1.0,0.2865526881247117
L1,1.0,1.0,0.286397147621361
L2,0.25,0.5,0.2863243741647931
average,0.25,0.5,0.2850370305863582
L2,4.0,4.0,0.2840770836360914
average,0.5,0.5,0.2836863339387159
L2,2.0,1.0,0.2835514561114565
subtract,0.25,2.0,0.2822785341488558
average,2.0,1.0,0.282086175815015
average,1.0,2.0,0.2820113838328469
L2,0.25,1.0,0.2817229270912739
subtract,1.0,1.0,0.281400549198981
average,4.0,0.25,0.2812522598834071
L1,4.0,0.25,0.281184813557604
subtract,0.5,2.0,0.2808593107216728
L2,4.0,2.0,0.2806466917865793
L2,2.0,0.5,0.2805384265086851
L2,1.0,4.0,0.2805222330680895
L1,0.5,1.0,0.2795718291243582
subtract,2.0,2.0,0.2793464998375047
L2,0.25,2.0,0.2791931882325257
average,0.25,0.25,0.2783318707688506
average,4.0,2.0,0.2774063406841209
L1,4.0,1.0,0.276487659282389
L1,1.0,0.5,0.275788252162418
L2,0.5,0.25,0.2756322020504533
L1,0.5,2.0,0.2754827226525558
L2,1.0,1.0,0.2744724015621966
L2,2.0,4.0,0.2715032260894663
L2,0.5,1.0,0.2681448649740628
L1,2.0,2.0,0.2676800807266963
L2,0.5,2.0,0.26732661898976
L2,4.0,1.0,0.2672444884990465
average,1.0,1.0,0.2670307822575353
L2,1.0,0.5,0.2611869465122824
L2,4.0,0.25,0.2607155223177791
L2,2.0,2.0,0.2567644303543487
