method,p,q,R2
hadamard,1.0,2.0,0.3699261511422194
hadamard,4.0,4.0,0.3691073822584026
hadamard,1.0,4.0,0.3684572945855922
hadamard,0.25,4.0,0.3680176398863897
hadamard,1.0,0.5,0.3680046120415688
hadamard,0.5,2.0,0.3664642409262337
hadamard,4.0,0.5,0.3663892918531832
hadamard,0.25,2.0,0.3660808142124784
hadamard,1.0,1.0,0.3655507601593456
hadamard,0.5,0.25,0.36479800200537
hadamard,2.0,0.5,0.3645305018791229
hadamard,0.5,0.5,0.3643224870213475
hadamard,0.5,1.0,0.3642774393463264
hadamard,2.0,4.0,0.3637899932777129
hadamard,4.0,0.25,0.3622941140825916
hadamard,0.25,0.5,0.3613259991794539
hadamard,0.25,0.25,0.3606032774856327
hadamard,2.0,2.0,0.3583598538068002
hadamard,2.0,0.25,0.3571147959619307
hadamard,0.5,4.0,0.3563856053997788
hadamard,2.0,1.0,0.3562309240939894
hadamard,4.0,2.0,0.3557842161992106
hadamard,4.0,1.0,0.3547061215524617
hadamard,0.25,1.0,0.3538053876990217
hadamard,1.0,0.25,0.3526528944094008
subtract,2.0,4.0,0.3087720243381922
subtract,0.25,2.0,0.3077327938306036
subtract,4.0,4.0,0.302220796181761
subtract,0.5,1.0,0.3013852538351763
average,0.25,1.0,0.3007380062674701
subtract,1.0,0.5,0.300094308942659
L1,0.25,2.0,0.299730201360096
average,0.25,4.0,0.2995382605499328
average,2.0,2.0,0.2988916596835923
average,4.0,1.0,0.2964627031800482
L1,2.0,4.0,0.2962324971638005
L1,0.5,0.25,0.2955033496527259
subtract,2.0,1.0,0.2948636819996734
subtract,1.0,2.0,0.2945212908261241
L1,4.0,4.0,0.2941736544854518
average,1.0,4.0,0.294105636294382
average,4.0,0.5,0.2939596077907859
average,1.0,2.0,0.2936054201025726
average,0.5,0.5,0.2928212848782674
L1,1.0,0.5,0.2917568773370261
subtract,2.0,2.0,0.2903133481004927
subtract,0.5,0.25,0.2899691590629288
L1,1.0,2.0,0.28944544656753
subtract,0.5,0.5,0.2884939483569034
subtract,1.0,1.0,0.2882250632129958
average,2.0,0.5,0.2882056656504128
L2,1.0,0.5,0.2872895573544398
subtract,0.25,4.0,0.2872259085148128
L1,0.5,0.5,0.2850868269684397
L1,0.5,1.0,0.2845605642557125
L2,0.5,0.25,0.2845409274274203
L2,1.0,2.0,0.284385352495874
subtract,0.25,0.5,0.2838994466766562
subtract,1.0,0.25,0.2829251577534046
subtract,0.5,4.0,0.2820636387143054
L1,4.0,2.0,0.2820182012378318
subtract,4.0,2.0,0.2810563666842838
average,4.0,0.25,0.2806343568723227
L1,2.0,2.0,0.2802088066749142
L1,0.5,4.0,0.280124146889973
L2,2.0,4.0,0.2800050916144889
average,1.0,0.5,0.2796052439310081
subtract,2.0,0.25,0.2787391686784853
L1,2.0,1.0,0.2785646663515003
L2,0.25,2.0,0.278511028745516
L1,0.25,4.0,0.2780533741652207
subtract,1.0,4.0,0.2780060456450882
L2,4.0,4.0,0.2773890947921389
L2,0.5,1.0,0.2770688391466768
average,4.0,2.0,0.2770635911336131
average,0.5,1.0,0.2767862187928431
average,0.25,0.5,0.2767056337648208
average,2.0,4.0,0.2766347712192669
subtract,2.0,0.5,0.2752064360776093
L1,1.0,1.0,0.2745217719452184
L2,4.0,2.0,0.2742416039413079
L1,1.0,0.25,0.2739643472332886
L1,1.0,4.0,0.2738114696319046
subtract,4.0,1.0,0.273452190192645
average,0.5,0.25,0.2734306823070287
subtract,0.25,1.0,0.2729601742948861
L1,2.0,0.25,0.2722314911028175
average,0.5,2.0,0.2717765016354133
subtract,0.25,0.25,0.2706562774901452
L1,0.25,0.5,0.2692918568263529
subtract,4.0,0.25,0.2690218871550255
average,2.0,1.0,0.2679373980747075
L2,0.5,4.0,0.2677292477528683
subtract,4.0,0.5,0.2675636536274742
average,1.0,0.25,0.2667215600536692
average,0.25,0.25,0.2661158211105136
L2,2.0,2.0,0.2661033191454512
L1,4.0,0.5,0.2653798657690994
L2,0.25,4.0,0.2648568761734026
L2,0.25,0.5,0.264171900047973
subtract,0.5,2.0,0.2639849635351027
L2,2.0,0.25,0.2637969718423135
L1,4.0,1.0,0.2636920988766494
L1,0.25,0.25,0.2634195381804894
L1,2.0,0.5,0.2627589404015232
average,0.5,4.0,0.2621822731521438
L2,4.0,0.5,0.2615647265263805
L2,2.0,1.0,0.2613320942691135
average,2.0,0.25,0.2609655094255957
average,0.25,2.0,0.2607775726540675
L1,0.25,1.0,0.2603118483301264
L2,1.0,1.0,0.2600027387827925
L2,0.5,0.5,0.2594925682230985
L2,1.0,4.0,0.2586412063448707
average,4.0,4.0,0.2571850431425569
L1,0.5,2.0,0.2570574351945949
L2,1.0,0.25,0.2561719919241364
L2,0.25,0.25,0.254027162687546
average,1.0,1.0,0.2536709088887225
L1,4.0,0.25,0.2529068968465888
L2,4.0,1.0,0.2506816644652531
L2,4.0,0.25,0.2394791450291493
L2,0.5,2.0,0.2390190669152158
L2,0.25,1.0,0.238133853792669
L2,2.0,0.5,0.2360916761390659
