method,p,q,R2
hadamard,0.25,2.0,0.1132015834972965
hadamard,0.25,0.25,0.1108517988675491
hadamard,0.5,0.25,0.1108332549656615
hadamard,2.0,2.0,0.1106522983697128
hadamard,1.0,0.5,0.1096498330883704
hadamard,4.0,0.25,0.1096299773122126
average,0.25,1.0,0.1091439728194525
hadamard,1.0,4.0,0.1088909107505367
hadamard,0.25,4.0,0.1088409363122233
hadamard,1.0,0.25,0.1082876134381923
hadamard,0.5,4.0,0.1080890017980654
hadamard,0.25,1.0,0.1079551145173497
hadamard,2.0,1.0,0.1075903730498843
hadamard,0.5,2.0,0.1074073961005951
hadamard,0.5,0.5,0.1072173857837996
hadamard,2.0,4.0,0.1069587994268438
hadamard,1.0,1.0,0.1068949330749609
hadamard,2.0,0.25,0.1066703631760496
hadamard,4.0,0.5,0.1061200733534923
hadamard,2.0,0.5,0.1059058757174457
hadamard,0.25,0.5,0.105384992663889
hadamard,0.5,1.0,0.1053738960596891
hadamard,4.0,4.0,0.1051068669534606
average,1.0,0.5,0.1041131104251473
hadamard,4.0,2.0,0.1040619812342916
hadamard,4.0,1.0,0.1036527180930849
hadamard,1.0,2.0,0.1027540765856137
subtract,4.0,4.0,0.1027256665674354
average,0.5,2.0,0.1019259524813785
average,4.0,1.0,0.1009575477186861
average,4.0,0.25,0.100673888108138
subtract,4.0,0.25,0.0994668906272002
average,1.0,0.25,0.0991398734923084
L1,4.0,4.0,0.0989310471245092
average,0.25,2.0,0.0976122137520253
subtract,2.0,0.25,0.0973449878350255
subtract,1.0,4.0,0.0969790288414652
L1,2.0,0.25,0.0967372255049963
average,1.0,1.0,0.0965953408730981
subtract,0.25,0.5,0.0951483279861032
L1,4.0,2.0,0.0942839850119462
subtract,1.0,0.25,0.0941262988885561
average,2.0,0.25,0.0936705741753823
L1,1.0,0.25,0.0936247088787564
subtract,4.0,2.0,0.0930476431044559
L1,4.0,0.25,0.0929165220018606
L1,2.0,1.0,0.0926493296741358
L1,0.25,0.5,0.0920506343888469
average,0.5,0.5,0.0914416952766838
L2,4.0,4.0,0.0913256723399746
subtract,2.0,1.0,0.0911383147040137
subtract,0.25,0.25,0.0909989376185034
average,2.0,1.0,0.0905881597804135
L1,1.0,4.0,0.0903574484927136
subtract,2.0,0.5,0.0895907880379186
average,2.0,4.0,0.089527845798139
subtract,0.5,4.0,0.0894193969200829
subtract,0.5,1.0,0.0890476428468891
average,4.0,2.0,0.0886875695331483
L1,0.25,0.25,0.0880113867724877
L2,2.0,0.25,0.0876044876066032
average,1.0,4.0,0.0874993656644006
average,4.0,4.0,0.0870434640048379
average,0.5,4.0,0.0870333435181298
subtract,2.0,4.0,0.086664628343081
subtract,1.0,1.0,0.0866284409202796
L2,0.25,0.5,0.086597330747611
subtract,0.5,0.5,0.0863157180395443
average,0.25,0.5,0.0859890591707536
L1,1.0,1.0,0.0857335955939068
L2,4.0,2.0,0.085617206240194
average,0.5,1.0,0.0855557874666315
average,0.25,0.25,0.0854961895749827
L2,2.0,1.0,0.0854794284895095
subtract,1.0,2.0,0.0848821569902223
L1,2.0,4.0,0.0848424054783942
subtract,0.5,2.0,0.0846322642768186
subtract,0.5,0.25,0.084481374917788
subtract,4.0,1.0,0.0844266971108304
subtract,2.0,2.0,0.084324938196537
L1,2.0,0.5,0.0842994416467933
average,0.25,4.0,0.084236943970541
L1,0.25,2.0,0.0841817732720522
L1,0.5,0.5,0.0841392946432867
average,2.0,0.5,0.0839439790682838
subtract,0.25,1.0,0.0836068007154609
L1,1.0,2.0,0.0834737326648491
L1,0.5,1.0,0.0831415951145241
average,0.5,0.25,0.0829297863447338
L2,0.25,0.25,0.0828640351925985
L1,2.0,2.0,0.0824086835227314
L1,0.25,1.0,0.0821629378773968
L2,1.0,0.25,0.0821028331251908
L2,2.0,4.0,0.082059434700738
average,2.0,2.0,0.081606452735306
L1,0.5,4.0,0.0815843453028295
subtract,0.25,2.0,0.0812386383881262
L2,1.0,4.0,0.0810481410525409
L1,0.5,0.25,0.0809415153076039
L1,4.0,1.0,0.0808630521222604
L1,0.5,2.0,0.0806685053429072
average,1.0,2.0,0.080192492114635
L2,0.5,0.5,0.0801553668055744
L2,0.5,1.0,0.0799970722379999
L2,2.0,2.0,0.0796865520107747
L2,4.0,0.25,0.0793513657164283
L2,1.0,1.0,0.0792795081870312
subtract,0.25,4.0,0.0789453745911258
L2,2.0,0.5,0.0783610802888605
subtract,4.0,0.5,0.0778878211858669
L1,0.25,4.0,0.0769522946684514
L2,0.25,1.0,0.0767541080780378
L2,0.5,0.25,0.0764378643491913
L2,0.25,2.0,0.0763115258853331
L2,0.5,2.0,0.0762270795227715
L2,4.0,1.0,0.0754936219233928
L1,4.0,0.5,0.0753647847527023
L2,1.0,2.0,0.07452118240001
L1,1.0,0.5,0.0708293780993832
L2,0.25,4.0,0.0708263620670195
L2,1.0,0.5,0.0707721692020493
L2,4.0,0.5,0.0700818882350831
subtract,1.0,0.5,0.0700737572975553
L2,0.5,4.0,0.0692577345830607
average,4.0,0.5,0.0650983557279905
