method,p,q,R2
hadamard,2.0,4.0,0.2795832421592444
hadamard,0.25,1.0,0.2775643007741445
hadamard,1.0,0.25,0.2741649246499494
hadamard,1.0,1.0,0.273688354179771
hadamard,1.0,4.0,0.2735886593804234
hadamard,4.0,0.5,0.2716993751583452
hadamard,4.0,4.0,0.271431734459752
hadamard,2.0,2.0,0.2713866844863806
hadamard,0.25,4.0,0.2711789038780471
hadamard,2.0,0.25,0.2711595465998513
hadamard,2.0,0.5,0.2711084236585047
hadamard,4.0,0.25,0.2704446283709076
hadamard,0.25,0.5,0.2702410762562379
hadamard,4.0,1.0,0.2696243137447361
hadamard,1.0,0.5,0.2689798465823602
hadamard,2.0,1.0,0.2686069394687846
hadamard,0.5,0.25,0.2675588272153292
hadamard,0.25,2.0,0.2663298798543549
hadamard,0.5,4.0,0.2660444418458612
hadamard,0.5,2.0,0.2659565041938605
hadamard,0.25,0.25,0.2654683219508919
hadamard,0.5,1.0,0.2653484536453327
hadamard,0.5,0.5,0.2639101387419417
hadamard,4.0,2.0,0.2621706472206022
hadamard,1.0,2.0,0.2560448152398268
average,1.0,4.0,0.2339909084765237
average,0.25,2.0,0.2331476522093349
average,0.25,0.25,0.2296152108691158
L1,2.0,4.0,0.2282318914806836
average,4.0,0.5,0.2255683008925713
subtract,2.0,4.0,0.2245754774982512
subtract,4.0,0.5,0.2244248547549615
L2,2.0,4.0,0.2243307430684729
average,2.0,0.25,0.2228662110743861
subtract,4.0,1.0,0.2227119822906043
L2,0.25,1.0,0.2220691230955874
average,2.0,2.0,0.2216618363852223
L1,4.0,1.0,0.22161411924126
average,0.5,0.5,0.2211604336285284
average,0.25,4.0,0.2206522545194926
subtract,2.0,0.25,0.2203519864809847
L1,4.0,0.5,0.2185848647142864
average,0.25,1.0,0.2171312934292101
subtract,0.25,1.0,0.216725973676697
L2,2.0,1.0,0.2167147711635223
average,4.0,2.0,0.2165694491045076
average,2.0,1.0,0.2161246142051434
subtract,0.5,2.0,0.216094711502777
L2,0.5,2.0,0.2147807728122438
subtract,1.0,0.5,0.2145732528886367
average,0.25,0.5,0.2144807641155836
subtract,2.0,1.0,0.2141138624494289
subtract,0.5,0.25,0.2137120002433056
L2,4.0,0.5,0.2135709179025695
L1,0.25,1.0,0.2133309222671883
average,0.5,0.25,0.2131112739734236
L1,0.5,2.0,0.2123835640899768
L2,0.5,1.0,0.2117510196131057
subtract,1.0,4.0,0.2116170004992466
L1,2.0,1.0,0.2115422046758442
subtract,1.0,2.0,0.2112934238318765
average,0.5,2.0,0.2111503616424772
L2,4.0,1.0,0.2103844532359382
L1,1.0,0.5,0.2101013937675495
L2,1.0,0.5,0.2097514119633955
L1,0.5,0.25,0.209666825965647
subtract,0.5,1.0,0.2088828898835997
L1,0.5,1.0,0.2088181121942026
L2,0.5,0.25,0.2082977705565954
L2,4.0,0.25,0.2081666102020108
subtract,0.25,2.0,0.207920992881054
average,2.0,4.0,0.2072194530203585
subtract,2.0,0.5,0.2069691934891888
average,1.0,0.25,0.206757746808966
subtract,0.25,0.5,0.205261387859934
L2,0.25,0.5,0.2052227447430282
subtract,4.0,4.0,0.2051749806638456
L1,1.0,2.0,0.2049304862675303
L1,1.0,4.0,0.2047442672370435
average,1.0,1.0,0.2043288598602554
L2,1.0,4.0,0.2043143435671978
L1,0.5,0.5,0.2040574000224593
subtract,0.25,4.0,0.2037767396241446
subtract,0.5,0.5,0.203458112357164
subtract,1.0,1.0,0.2034389869225109
average,1.0,0.5,0.2018626868490973
average,2.0,0.5,0.2018620436661967
L1,4.0,0.25,0.2017824546323491
L1,0.25,2.0,0.2013935297132121
subtract,4.0,0.25,0.2011733603001924
subtract,4.0,2.0,0.2001442583620443
L1,2.0,0.25,0.1998598817288948
L1,4.0,2.0,0.1992685577191685
L1,0.25,0.5,0.1991455894001919
L2,1.0,2.0,0.1990567880742084
average,4.0,1.0,0.198874041013227
L2,2.0,0.5,0.1982130103905294
L1,0.25,0.25,0.1981743901745212
L2,0.5,0.5,0.19809476370151
average,0.5,4.0,0.1976887261813791
L1,4.0,4.0,0.1976087221680508
L2,0.25,2.0,0.1973881641824273
L2,0.25,0.25,0.1969057402086854
average,0.5,1.0,0.196880366411429
average,4.0,4.0,0.1958574527783418
L2,2.0,0.25,0.1956800076710794
average,4.0,0.25,0.1949793013450851
subtract,0.25,0.25,0.1945291902845883
average,1.0,2.0,0.1936641678177717
subtract,0.5,4.0,0.1933551082830702
subtract,2.0,2.0,0.1928706929916922
subtract,1.0,0.25,0.1925530880416499
L1,2.0,0.5,0.1916432212211314
L2,4.0,2.0,0.1907234425560839
L1,1.0,0.25,0.1894798414951279
L2,2.0,2.0,0.1892716138268708
L1,0.25,4.0,0.1875304542438022
L1,1.0,1.0,0.1867338498316927
L2,0.25,4.0,0.1865365259099255
L1,2.0,2.0,0.1855781126271835
L2,0.5,4.0,0.1851327312938325
L2,4.0,4.0,0.1849442208011955
L1,0.5,4.0,0.1846570272360563
L2,1.0,0.25,0.1844531184395349
L2,1.0,1.0,0.1801324405931591
