method,p,q,R2
hadamard,0.5,1.0,0.2769560780173182
hadamard,2.0,2.0,0.2761303612376666
hadamard,4.0,0.25,0.272926669849981
hadamard,2.0,0.25,0.2719499418503125
hadamard,1.0,1.0,0.269738441875737
hadamard,2.0,1.0,0.268285751589337
hadamard,0.5,4.0,0.2678188977770878
hadamard,2.0,0.5,0.2671531179413613
hadamard,0.25,0.25,0.2671479044426438
hadamard,4.0,4.0,0.2671191572792984
hadamard,0.5,0.25,0.2656442387873206
hadamard,0.25,4.0,0.2648211081724599
hadamard,0.25,1.0,0.2646234407872937
hadamard,1.0,4.0,0.2629764451867765
hadamard,4.0,2.0,0.2629739534131127
hadamard,1.0,0.5,0.2625536756130588
hadamard,0.5,0.5,0.2624589708773566
hadamard,4.0,0.5,0.2622529082245702
hadamard,1.0,0.25,0.2619474322895666
hadamard,1.0,2.0,0.2611966512824204
hadamard,2.0,4.0,0.2610074868768145
hadamard,0.5,2.0,0.2606878137948879
hadamard,4.0,1.0,0.260188045440943
hadamard,0.25,0.5,0.259099501224141
hadamard,0.25,2.0,0.2588630651037559
average,1.0,2.0,0.2254528538157311
average,4.0,0.25,0.2225755714762316
subtract,0.5,1.0,0.2223045020619684
L1,4.0,2.0,0.2222464907829218
subtract,4.0,2.0,0.2218999472045388
average,0.25,0.25,0.2206552540439178
subtract,4.0,1.0,0.2183298064539516
average,0.5,1.0,0.2182100430291149
subtract,0.5,0.25,0.2171587687940654
subtract,0.5,4.0,0.2169072100252491
average,2.0,1.0,0.2168236592151542
L1,0.5,0.25,0.2150864631581862
average,2.0,4.0,0.2150047822110096
L1,0.5,1.0,0.2146873578248596
L2,4.0,2.0,0.2146834435138249
subtract,4.0,0.25,0.2130087021962255
subtract,0.25,0.5,0.2121485537524351
L1,4.0,1.0,0.2115707895877849
average,0.25,4.0,0.2114837083424049
subtract,0.25,0.25,0.2111891092797074
L1,0.25,0.5,0.2108250363715774
subtract,2.0,0.25,0.2095697003380114
subtract,2.0,2.0,0.2091530311411423
average,4.0,1.0,0.2082582685518124
L1,2.0,0.25,0.2079185022748882
subtract,1.0,2.0,0.2070963799571172
average,0.25,1.0,0.2066306684720374
average,2.0,0.5,0.2063923404497827
L1,0.5,4.0,0.206281829451756
subtract,2.0,4.0,0.2061083172225754
subtract,1.0,4.0,0.2054250530144035
L1,0.25,0.25,0.2051561012902027
L2,0.5,4.0,0.2047792961312234
average,2.0,2.0,0.2046036797177648
average,0.5,0.25,0.2045855578524021
L1,4.0,0.25,0.2043568845607423
average,4.0,4.0,0.2038218956367675
subtract,2.0,0.5,0.2033133763257189
average,4.0,2.0,0.2031768035028914
subtract,4.0,0.5,0.2028547509330354
subtract,1.0,1.0,0.2028313618496438
L1,1.0,1.0,0.2028066902128011
L2,2.0,0.25,0.2021016283761052
L1,2.0,4.0,0.2020315995427732
subtract,2.0,1.0,0.2016389689539167
subtract,1.0,0.25,0.2015935745520469
average,2.0,0.25,0.2014439241965245
average,1.0,4.0,0.201400889099735
L1,2.0,1.0,0.2005858953499675
L2,4.0,1.0,0.2005648263850596
L1,2.0,2.0,0.2003717309014285
average,1.0,0.5,0.2002250187888431
L2,0.25,0.5,0.199380054639796
average,1.0,1.0,0.1993499574740461
L2,4.0,0.25,0.1988428331265894
L2,1.0,1.0,0.1984082569360858
L1,1.0,0.25,0.1980482207970143
L2,0.5,0.25,0.1971184917529872
subtract,0.5,0.5,0.1969008572778394
L1,1.0,4.0,0.1968574186570748
L2,0.5,1.0,0.1964190689236976
subtract,1.0,0.5,0.1963117714844843
average,4.0,0.5,0.1959977474832137
subtract,0.25,2.0,0.1956450316857327
subtract,0.5,2.0,0.1952817821155874
average,0.5,0.5,0.1950576499038283
L2,0.25,0.25,0.1939087358200389
L2,1.0,4.0,0.1937257756954783
L1,1.0,0.5,0.1936691641348122
L2,1.0,0.25,0.1926536840260921
L1,1.0,2.0,0.1918031836799554
subtract,0.25,1.0,0.1916232133614315
L2,2.0,2.0,0.1914830753657115
L1,4.0,4.0,0.1910986031409328
subtract,4.0,4.0,0.1908724760653419
L1,0.5,2.0,0.1907494162551009
L2,2.0,1.0,0.18967842268522
average,0.5,2.0,0.189335829797569
L1,0.25,1.0,0.1888212900776839
L2,2.0,4.0,0.1887474295978122
L1,0.25,2.0,0.1865842143832141
L2,1.0,2.0,0.1858265755520719
L2,0.25,1.0,0.1856706793098504
average,0.25,0.5,0.185107688707537
L1,4.0,0.5,0.1843420703632479
L2,1.0,0.5,0.1840204387923325
L1,2.0,0.5,0.1837816382195072
subtract,0.25,4.0,0.1832755974269851
average,0.25,2.0,0.1830646090084786
average,1.0,0.25,0.1829905477887429
average,0.5,4.0,0.1824837375055003
L2,4.0,4.0,0.1818582431599701
L2,0.5,2.0,0.1816850728668863
L1,0.5,0.5,0.1807751348876587
L2,0.25,4.0,0.1803489576950091
L1,0.25,4.0,0.1779902443196744
L2,0.25,2.0,0.1745422969191026
L2,2.0,0.5,0.1726074259256582
L2,4.0,0.5,0.1716136833585905
L2,0.5,0.5,0.1664010077134979
