method,p,q,R2
subtract,1.0,0.25,0.1932094308990422
subtract,4.0,4.0,0.1915254883431103
average,1.0,0.25,0.1911786214082901
average,4.0,4.0,0.1876682763754616
L1,4.0,4.0,0.1836919756657212
subtract,1.0,0.5,0.180962826602519
average,1.0,0.5,0.1800215061940461
subtract,0.25,1.0,0.1757537519867799
average,0.25,1.0,0.1742587601382722
L1,1.0,0.25,0.17091034790139
L2,1.0,0.25,0.169984154959739
average,2.0,0.25,0.1698109492873754
subtract,0.5,4.0,0.1679573094091661
average,0.5,4.0,0.1674054016764017
L1,1.0,0.5,0.166761624901649
L2,1.0,0.5,0.1665940239076753
average,2.0,4.0,0.1662604007782281
subtract,2.0,0.25,0.1661857302020232
subtract,2.0,2.0,0.1658379320025506
subtract,2.0,4.0,0.1656754665466575
average,1.0,4.0,0.165190475414677
L1,0.25,1.0,0.1626558757682707
L2,4.0,4.0,0.1623569106882001
average,2.0,2.0,0.1621594756794342
L2,1.0,2.0,0.1601812781469528
subtract,1.0,2.0,0.1592634159972743
subtract,0.5,0.25,0.1591047615534629
average,1.0,2.0,0.1585129300122231
average,0.5,0.25,0.157974262701509
average,0.5,0.5,0.157746295482817
L1,1.0,2.0,0.1560920686291507
subtract,1.0,4.0,0.1545403162412497
subtract,0.5,0.5,0.153413141747047
L2,0.25,1.0,0.1522595884858359
average,4.0,2.0,0.1502363527771958
subtract,0.25,2.0,0.1450386951588713
L1,2.0,2.0,0.1449891600677845
average,0.25,2.0,0.1447687297259814
L1,0.5,0.25,0.1442085297378219
L1,0.5,4.0,0.1413416399871379
subtract,4.0,2.0,0.1409944965042335
L1,0.5,0.5,0.1409396351162614
L2,2.0,2.0,0.1398389962694717
L1,1.0,4.0,0.1389146457671294
L1,4.0,2.0,0.1387820318911784
L1,2.0,0.25,0.1385851998716644
average,2.0,1.0,0.137279013824068
subtract,2.0,1.0,0.1363337770004454
L2,0.5,0.5,0.1361525818526278
L1,2.0,4.0,0.1361391897366695
L2,2.0,4.0,0.1318991737727231
L2,1.0,4.0,0.1285029320952607
L2,2.0,0.25,0.1276084429887346
L2,0.5,0.25,0.1243674108789709
L2,4.0,2.0,0.120755959454621
L1,0.25,2.0,0.1201238850487289
L2,0.5,4.0,0.1159576574460804
L1,2.0,1.0,0.1106103882822806
L2,0.25,2.0,0.1055580394305792
L2,2.0,1.0,0.1017314778177373
L2,4.0,1.0,0.0821208742575155
L1,4.0,0.25,0.0765301822975369
subtract,4.0,1.0,0.0752274640265134
average,2.0,0.5,0.0743761630208292
L1,4.0,1.0,0.0740618721428878
L1,1.0,1.0,0.0731411699664202
average,0.5,2.0,0.0730394715748938
L2,1.0,1.0,0.0693615560606045
L2,4.0,0.25,0.068509703061012
average,4.0,1.0,0.0671927276100485
subtract,4.0,0.25,0.0669677084183247
L2,0.5,1.0,0.0660502682293118
average,1.0,1.0,0.0656060714665324
subtract,1.0,1.0,0.0631524603235506
L1,0.5,1.0,0.06201205583773
average,4.0,0.25,0.0602355218173361
average,0.25,0.5,0.0596952276272266
L1,0.25,0.25,0.0590730792814325
average,4.0,0.5,0.0577265354155392
subtract,0.5,1.0,0.0572174657154433
L2,0.25,0.25,0.0556770474005607
subtract,0.25,0.25,0.0541187627970827
average,0.25,4.0,0.0523474457821003
average,0.5,1.0,0.0513965136019543
subtract,0.25,4.0,0.05073877943973
L1,0.25,4.0,0.050734579664888
L2,0.25,0.5,0.0503970652680253
L1,4.0,0.5,0.0488169924402358
subtract,4.0,0.5,0.0475877417704347
subtract,0.25,0.5,0.0464016061375099
average,0.25,0.25,0.0460518594243387
L2,4.0,0.5,0.0458455990962954
L1,0.25,0.5,0.0458047990414167
L2,0.25,4.0,0.0437895028485653
L1,2.0,0.5,0.0289482828727423
L1,0.5,2.0,0.0285591696795688
subtract,2.0,0.5,0.0281961242233358
subtract,0.5,2.0,0.0281153621657483
hadamard,1.0,2.0,0.0271652518068948
L2,2.0,0.5,0.0247605456587529
L2,0.5,2.0,0.0243355201460467
hadamard,0.5,2.0,0.0233080947008681
hadamard,4.0,0.25,0.0222719966826555
hadamard,0.5,1.0,0.0211331189578198
hadamard,4.0,1.0,0.0208468320989885
hadamard,2.0,0.25,0.0198083610314705
hadamard,1.0,0.5,0.0191278087246438
hadamard,0.25,0.5,0.0179630169614104
hadamard,1.0,0.25,0.0179117481290415
hadamard,0.5,0.5,0.0176080670361336
hadamard,0.5,0.25,0.0176029508944488
hadamard,1.0,1.0,0.0167615977723278
hadamard,0.25,1.0,0.0166822940011119
hadamard,0.5,4.0,0.0160124745296005
hadamard,2.0,1.0,0.0159807868507525
hadamard,0.25,4.0,0.0156075120365312
hadamard,2.0,0.5,0.0154944723119326
hadamard,4.0,4.0,0.0148379953320347
hadamard,4.0,0.5,0.0143044389413304
hadamard,2.0,2.0,0.0142774230795499
hadamard,1.0,4.0,0.0140043595413603
hadamard,4.0,2.0,0.0139245548267682
hadamard,2.0,4.0,0.0138881536585453
hadamard,0.25,2.0,0.0130548150425705
hadamard,0.25,0.25,0.0093341114958382
