method,p,q,R2
subtract,4.0,0.5,0.0805765815842346
average,4.0,2.0,0.0801776037925771
subtract,2.0,1.0,0.0798875493481643
subtract,4.0,0.25,0.0798292191809421
subtract,1.0,2.0,0.079400709191431
L2,2.0,1.0,0.0790844255457206
average,0.5,0.25,0.0778524859103031
L1,1.0,2.0,0.0772325238443428
average,2.0,2.0,0.0759697123699471
subtract,1.0,1.0,0.0754872537273844
L1,2.0,1.0,0.0753258257776035
hadamard,4.0,0.25,0.0744573708331454
hadamard,0.25,2.0,0.0743459890325662
subtract,4.0,2.0,0.0741971670761025
hadamard,2.0,1.0,0.073862574444346
L1,0.5,2.0,0.0734096747721479
L1,4.0,0.25,0.073069279803004
average,0.25,2.0,0.0730653873574614
subtract,0.25,1.0,0.0729379737299856
average,1.0,2.0,0.072105664185327
subtract,0.5,1.0,0.0719385607551595
hadamard,0.25,4.0,0.0717392633065945
subtract,4.0,4.0,0.0716613679965474
hadamard,4.0,1.0,0.0713744086284509
hadamard,0.5,1.0,0.0713196021135662
average,4.0,4.0,0.0707987429418061
subtract,2.0,0.5,0.0707314561473497
L2,1.0,2.0,0.0705023343711197
L1,0.5,1.0,0.070498943421848
average,1.0,1.0,0.0704349087838294
hadamard,0.5,0.25,0.0703358791644377
subtract,0.25,2.0,0.070273268224845
subtract,0.25,0.5,0.0701008700286236
hadamard,2.0,4.0,0.069895020401635
hadamard,1.0,0.25,0.0697879930186988
L2,4.0,0.25,0.0695951423856787
subtract,1.0,0.5,0.0694531492192169
hadamard,1.0,1.0,0.0692869213867284
subtract,2.0,4.0,0.0692644420503031
average,0.25,1.0,0.069094135260413
hadamard,2.0,0.25,0.0690205886651351
subtract,0.5,2.0,0.0688523359675533
L1,4.0,0.5,0.0686565296534512
hadamard,4.0,2.0,0.0686129972380434
average,4.0,0.5,0.0684293356782038
L1,0.25,0.5,0.0681092097453254
hadamard,1.0,2.0,0.067811757519888
L1,1.0,0.5,0.0677904436611412
L1,0.25,1.0,0.0677692686501999
L2,4.0,0.5,0.0676249215312517
hadamard,2.0,0.5,0.0674429568719221
average,1.0,4.0,0.0673181014071561
L1,1.0,1.0,0.0669485751897736
L1,0.25,2.0,0.0666213547026156
hadamard,0.5,4.0,0.0665311743049451
L2,0.5,1.0,0.0663977514581296
subtract,0.5,4.0,0.0661949720407291
average,0.5,1.0,0.0660124932716481
hadamard,4.0,0.5,0.0659799743853253
subtract,0.25,4.0,0.0657786525933585
subtract,4.0,1.0,0.0656165851225846
subtract,0.5,0.25,0.0653652665663219
L1,2.0,0.5,0.065306919360631
hadamard,0.25,1.0,0.0652063968240211
hadamard,0.25,0.5,0.0648612064068931
subtract,2.0,2.0,0.0648460389983061
hadamard,4.0,4.0,0.0648397477560344
average,2.0,0.5,0.0647934198108163
L2,0.5,2.0,0.0647773842053626
L2,0.25,2.0,0.0647050348913483
L1,0.25,4.0,0.0646864462434831
subtract,0.5,0.5,0.0644575644270026
L2,1.0,1.0,0.0641222737085489
hadamard,0.5,0.5,0.0641214473787665
hadamard,1.0,0.5,0.0640239337921846
L2,2.0,0.5,0.063689123958042
average,4.0,1.0,0.0636030161268655
average,0.5,4.0,0.0634405994036663
hadamard,0.5,2.0,0.063278830247428
hadamard,2.0,2.0,0.0630151493323061
hadamard,0.25,0.25,0.062880734971033
hadamard,1.0,4.0,0.0625641111632269
L1,4.0,2.0,0.0625058143594469
L1,4.0,4.0,0.0620752379456442
average,2.0,4.0,0.0620333560121583
average,2.0,1.0,0.0613694419368766
average,4.0,0.25,0.0611307176797627
L2,0.25,1.0,0.0610808318012412
L2,4.0,4.0,0.0609135835538774
L2,0.25,0.5,0.0604858438265083
L2,1.0,0.5,0.0604231730417892
L2,0.25,4.0,0.0601599959704342
average,0.25,0.5,0.0599049418508627
subtract,1.0,0.25,0.0598177385980912
average,1.0,0.25,0.0594771569751214
L1,0.5,4.0,0.0591398682237533
L1,1.0,0.25,0.0589766609758782
L2,0.5,4.0,0.0581387066969131
L1,2.0,4.0,0.058106778262666
L2,0.5,0.5,0.0579317436323688
L2,4.0,2.0,0.0578578680997167
L1,0.5,0.5,0.0576982907559591
L1,2.0,2.0,0.0568663773765142
subtract,1.0,4.0,0.0568639806977897
L1,4.0,1.0,0.0568602593840931
L2,2.0,4.0,0.0567336775768929
L2,4.0,1.0,0.0554449841538104
L2,1.0,0.25,0.0549916254009194
average,0.5,0.5,0.0548798689229194
L2,2.0,2.0,0.0525171333822982
average,2.0,0.25,0.0521682377992935
subtract,0.25,0.25,0.0513931418613097
average,0.5,2.0,0.0513859157674553
average,1.0,0.5,0.0506953151431432
L2,0.5,0.25,0.0503851783049498
average,0.25,4.0,0.0502687171318732
L1,0.5,0.25,0.0502218216141288
L1,1.0,4.0,0.0500046069676556
L2,1.0,4.0,0.0476425214276426
subtract,2.0,0.25,0.0475746618126142
L1,0.25,0.25,0.0469235197684834
L2,0.25,0.25,0.0457323400935301
L1,2.0,0.25,0.0455194227611337
average,0.25,0.25,0.041445733147516
L2,2.0,0.25,0.0414421542354975
