method,p,q,R2
hadamard,1.0,4.0,0.2010300703124528
hadamard,4.0,0.25,0.1989949372286104
hadamard,0.25,0.5,0.1987648136583993
subtract,4.0,0.5,0.1985176457631168
hadamard,0.5,1.0,0.1984735561237279
hadamard,2.0,1.0,0.1981084197829594
L1,0.5,0.5,0.197724161016336
hadamard,4.0,4.0,0.1962070009865817
subtract,0.5,0.5,0.1960935630469443
hadamard,1.0,0.5,0.1958422478131203
hadamard,2.0,4.0,0.1954278194667859
hadamard,0.25,4.0,0.1949570165865526
subtract,1.0,0.5,0.1946923767804662
hadamard,4.0,2.0,0.194615893857905
hadamard,0.25,2.0,0.1944593879978008
average,0.25,0.5,0.1934791017603853
hadamard,1.0,2.0,0.1933416082593944
hadamard,4.0,0.5,0.1930006607022644
hadamard,1.0,0.25,0.1927966717572514
hadamard,2.0,2.0,0.1927682270502398
hadamard,2.0,0.5,0.1925281501595006
subtract,2.0,4.0,0.1924575574322237
L1,2.0,4.0,0.1922278202391767
hadamard,0.5,2.0,0.1909871867865068
hadamard,0.25,0.25,0.1904523674958845
hadamard,0.25,1.0,0.190441744262317
hadamard,1.0,1.0,0.1901349519296283
average,0.5,0.25,0.189783233184848
L1,4.0,0.5,0.188962050012278
average,1.0,0.25,0.1889507988196501
subtract,4.0,0.25,0.1883764367299907
hadamard,0.5,4.0,0.1883517131387178
hadamard,4.0,1.0,0.1878375629977927
hadamard,2.0,0.25,0.1877192755176825
L1,1.0,0.5,0.1858066308146475
hadamard,0.5,0.25,0.1857960225122096
L1,4.0,0.25,0.1854325927288665
hadamard,0.5,0.5,0.1847386701186321
average,1.0,2.0,0.1840568600394935
subtract,2.0,1.0,0.1822519633478219
L2,4.0,0.25,0.1810489664458235
average,2.0,0.25,0.1807732353775462
average,2.0,4.0,0.1800229270756513
L2,2.0,4.0,0.1798168090538557
average,2.0,1.0,0.1790395371105109
subtract,4.0,4.0,0.1786900447639201
subtract,0.5,4.0,0.1786414459198138
L2,4.0,0.5,0.1786387230139901
subtract,1.0,0.25,0.1778778369570398
L1,4.0,2.0,0.177767198354356
L1,4.0,4.0,0.1775831927009119
subtract,4.0,2.0,0.1768835458317815
average,1.0,4.0,0.17655700649463
subtract,1.0,2.0,0.1763859517296371
subtract,0.5,0.25,0.1738519371137701
subtract,2.0,2.0,0.1733457259951766
L1,2.0,2.0,0.1729545734967597
average,0.5,4.0,0.1729260602991547
L2,1.0,0.5,0.1726563376447979
subtract,0.5,2.0,0.1717187284574264
L1,2.0,1.0,0.1713099949298453
L1,0.5,0.25,0.1709242181514692
subtract,1.0,1.0,0.1707609766320776
L1,1.0,4.0,0.170557863009908
L1,1.0,0.25,0.1692372474868194
average,1.0,1.0,0.1691306296854243
average,2.0,0.5,0.1688589431506854
average,4.0,2.0,0.1684929746802704
average,4.0,4.0,0.1683409864305949
L1,1.0,1.0,0.1680653572420783
L2,0.5,0.5,0.1676363566257697
L1,0.5,4.0,0.1676226488594937
average,0.5,1.0,0.1672555053491782
subtract,2.0,0.5,0.1668504395982283
average,0.25,1.0,0.1667203586321392
average,1.0,0.5,0.1665644288048756
subtract,0.25,0.5,0.1664361028581344
subtract,0.25,0.25,0.1663906038936295
subtract,0.25,4.0,0.1661659880450845
average,4.0,1.0,0.1659395635784252
L1,1.0,2.0,0.1654473189439903
subtract,1.0,4.0,0.1654397033876061
L1,2.0,0.5,0.1646813363037835
L1,4.0,1.0,0.1643631641694084
average,2.0,2.0,0.1642886993199208
average,0.25,0.25,0.1639849740845316
subtract,4.0,1.0,0.1636579901135054
L2,1.0,2.0,0.1633961707688745
L1,0.5,2.0,0.1632343355337382
L1,0.25,0.25,0.1610672657842821
L2,4.0,2.0,0.160660557011302
L2,1.0,4.0,0.1605055027630185
L1,0.25,1.0,0.1600484241513835
L1,0.25,0.5,0.1599865663028984
L2,1.0,1.0,0.1585667048613095
L2,4.0,4.0,0.1582242770831673
subtract,0.25,2.0,0.1582160420127401
subtract,0.25,1.0,0.1581623416802741
average,0.25,2.0,0.157763679099821
average,4.0,0.5,0.1574018088796821
L1,0.25,2.0,0.1570748166876305
average,4.0,0.25,0.1561183579984619
average,0.25,4.0,0.155816129847473
L2,2.0,2.0,0.1555996549111912
L2,2.0,1.0,0.154661023105433
subtract,0.5,1.0,0.1543654637060124
subtract,2.0,0.25,0.154093997802117
L2,0.25,0.25,0.1526267545585572
L2,0.25,1.0,0.1521749452775634
L1,2.0,0.25,0.1517247163235185
L1,0.5,1.0,0.1516606218573033
L2,1.0,0.25,0.1516188613242746
L2,0.5,0.25,0.1512266874331143
L2,2.0,0.5,0.1510231943149126
average,0.5,2.0,0.1488866552267872
L2,0.5,4.0,0.1474238174208604
L2,4.0,1.0,0.1469526876401079
L1,0.25,4.0,0.1467976244371746
L2,0.5,2.0,0.1460034179171768
L2,0.25,0.5,0.1450791537342819
L2,2.0,0.25,0.1445524761726785
average,0.5,0.5,0.1368405548523832
L2,0.25,4.0,0.1368201326439989
L2,0.25,2.0,0.1355223690325764
L2,0.5,1.0,0.1311882025357769
