method,p,q,R2
hadamard,4.0,0.25,0.2203342808503495
hadamard,2.0,1.0,0.2201292491630436
hadamard,0.25,1.0,0.2192789088019254
hadamard,4.0,0.5,0.2176825296926694
hadamard,1.0,0.5,0.2176594137486466
hadamard,0.5,1.0,0.2162161005924564
hadamard,4.0,1.0,0.2153399497324635
hadamard,4.0,2.0,0.2147134072546683
hadamard,1.0,2.0,0.214364939702865
hadamard,2.0,4.0,0.2138471881431146
hadamard,0.25,0.25,0.2120052685552516
hadamard,2.0,2.0,0.2116049764801664
average,0.5,2.0,0.2100612283687112
hadamard,1.0,4.0,0.2100500795810785
hadamard,1.0,0.25,0.2083197948874127
hadamard,2.0,0.5,0.2079699723799642
hadamard,2.0,0.25,0.2078764791866341
hadamard,0.5,0.25,0.2078425973782935
average,0.5,4.0,0.2073784063078709
hadamard,0.25,2.0,0.2070637203362996
hadamard,1.0,1.0,0.207047370332132
hadamard,0.25,4.0,0.2067289124076193
L1,0.25,0.5,0.2066616101851903
hadamard,4.0,4.0,0.2059241802403064
subtract,0.25,0.5,0.2058910687484936
hadamard,0.5,4.0,0.2033628869008393
subtract,4.0,2.0,0.2026711062139021
hadamard,0.5,2.0,0.2022819482550187
average,0.5,0.25,0.2021000932275775
average,2.0,4.0,0.2016429383990667
hadamard,0.25,0.5,0.2014490167134014
average,4.0,0.5,0.2009366897555893
L1,4.0,2.0,0.2006044488828703
average,0.25,2.0,0.1994259130695975
average,1.0,0.5,0.1993824967653577
average,1.0,4.0,0.199324893816461
hadamard,0.5,0.5,0.1983786193510024
subtract,2.0,2.0,0.1979530811904295
L1,4.0,1.0,0.1978799173726131
average,0.25,0.25,0.1978483454456174
subtract,4.0,0.5,0.1972659116717328
L1,2.0,2.0,0.1965104403739388
average,4.0,2.0,0.1963373893009107
subtract,1.0,0.25,0.1962008666651248
average,0.25,1.0,0.1955048342423679
average,0.25,4.0,0.1952214436177728
subtract,1.0,0.5,0.194459977015589
subtract,1.0,2.0,0.1936544538185494
subtract,4.0,1.0,0.193603739573865
L1,1.0,2.0,0.1919744332349883
subtract,0.25,2.0,0.1916616493667869
subtract,0.5,1.0,0.1910142508098156
subtract,0.5,2.0,0.1909293621898604
L1,1.0,0.5,0.1907091487735551
average,1.0,2.0,0.1897887470913609
subtract,0.25,1.0,0.1890847419640794
average,2.0,1.0,0.1888633850042491
L2,0.25,0.5,0.1886401728158312
average,4.0,0.25,0.1886237165508167
average,4.0,1.0,0.1885326510671686
L2,1.0,0.5,0.188383858060098
average,0.5,0.5,0.18816466791113
subtract,2.0,4.0,0.1878516720659158
L1,0.5,1.0,0.1877545366398709
average,1.0,0.25,0.1871193748693898
L2,2.0,2.0,0.1868898416517365
L1,4.0,0.5,0.1861959881472765
L2,4.0,0.25,0.1860651560735168
L1,0.5,2.0,0.1860510338288074
average,1.0,1.0,0.1860011242837554
L1,0.5,4.0,0.1859061886079929
subtract,2.0,0.5,0.1856634895661364
L1,4.0,0.25,0.1848315508537907
subtract,4.0,0.25,0.1845838071624522
L1,1.0,0.25,0.1843187464827979
average,0.5,1.0,0.1839358460147073
subtract,0.5,4.0,0.183882519138317
L2,4.0,2.0,0.1838679363622263
subtract,0.5,0.5,0.1832518680123349
L1,0.5,0.25,0.1832509790982703
subtract,0.5,0.25,0.1825695422233485
subtract,1.0,1.0,0.182066235919154
L1,0.25,1.0,0.1814767915254655
L1,0.5,0.5,0.1814018013709043
subtract,1.0,4.0,0.1806987471793513
L1,0.25,2.0,0.1802348727029648
L2,0.5,1.0,0.1797146241345931
subtract,4.0,4.0,0.1794703836760446
L1,1.0,1.0,0.1784385624921002
average,4.0,4.0,0.1783932212224528
L2,4.0,0.5,0.1781754472108888
average,2.0,0.5,0.1779093020560458
L1,0.25,4.0,0.1774988096207896
L2,1.0,0.25,0.1774466889855155
L1,1.0,4.0,0.1774043158072307
L2,1.0,2.0,0.1772095186361094
L1,2.0,0.5,0.1771031811418648
average,2.0,2.0,0.1770068299823429
subtract,0.25,4.0,0.1763947875888151
average,0.25,0.5,0.176375073047605
subtract,2.0,1.0,0.175839984791648
L1,2.0,4.0,0.1751980285557637
L2,0.5,4.0,0.1748771818114139
L1,2.0,1.0,0.1745567224039411
subtract,2.0,0.25,0.1734476210258028
L1,2.0,0.25,0.1733061318832155
L2,4.0,1.0,0.1722082367333401
L1,0.25,0.25,0.1721565911357441
L2,1.0,4.0,0.1714320446089776
L2,0.5,0.5,0.1712548280141901
L1,4.0,4.0,0.1711555159391062
L2,0.5,0.25,0.1709012219903554
L2,0.25,1.0,0.1707775470775278
subtract,0.25,0.25,0.1699828690967924
L2,2.0,0.5,0.1684191603915257
L2,0.25,4.0,0.1677232162277927
L2,2.0,1.0,0.1657685038204085
L2,1.0,1.0,0.1657022578401528
L2,0.5,2.0,0.1654663957851025
average,2.0,0.25,0.165422453777154
L2,2.0,4.0,0.1653475556386797
L2,2.0,0.25,0.1625208945378542
L2,0.25,0.25,0.1622562401689689
L2,0.25,2.0,0.1585146608342892
L2,4.0,4.0,0.1563964880869371
