method,p,q,R2
hadamard,1.0,0.5,0.3063204291320184
hadamard,2.0,1.0,0.3061950558599021
hadamard,2.0,0.25,0.3058941084447351
hadamard,0.5,0.5,0.3040091623939106
hadamard,0.25,0.25,0.3010157352529099
hadamard,0.5,2.0,0.3004704291849186
hadamard,1.0,4.0,0.3000646714196082
hadamard,0.5,0.25,0.2999297701204209
hadamard,2.0,4.0,0.2995215518146455
hadamard,1.0,0.25,0.2989429336939225
hadamard,1.0,2.0,0.2986260243764866
hadamard,0.5,4.0,0.2980684027145734
hadamard,0.25,1.0,0.2974370894182087
hadamard,4.0,4.0,0.2971678998697101
hadamard,0.25,4.0,0.2965117572578932
hadamard,0.25,0.5,0.2953839259669937
hadamard,2.0,2.0,0.2952867797356752
hadamard,0.25,2.0,0.2939938859126093
hadamard,4.0,1.0,0.2929431304499366
hadamard,4.0,2.0,0.2927188136373015
hadamard,1.0,1.0,0.291958954195281
hadamard,4.0,0.5,0.2918162940206061
hadamard,4.0,0.25,0.2915826654260185
hadamard,2.0,0.5,0.2915382462373803
hadamard,0.5,1.0,0.2869726758014811
subtract,0.5,1.0,0.243555514897758
L1,0.5,1.0,0.2424358115405183
average,1.0,2.0,0.2363516808609567
subtract,4.0,4.0,0.2323304694451424
average,2.0,0.25,0.2318752032536014
L1,4.0,4.0,0.2300023851722019
subtract,1.0,0.5,0.2296646441255283
average,0.25,2.0,0.2292100723311808
L2,4.0,4.0,0.2291333743755532
average,4.0,4.0,0.2289036637723948
L2,0.5,1.0,0.2276666564024614
subtract,2.0,1.0,0.2255730163425315
L1,1.0,0.5,0.2251803528542385
subtract,1.0,4.0,0.2249672859872518
subtract,0.5,0.25,0.2247433929199997
subtract,0.5,4.0,0.2242742759655156
subtract,0.25,0.25,0.2236097495343392
average,1.0,0.5,0.2235768092386298
average,1.0,1.0,0.2221158366898937
average,4.0,1.0,0.2214070031669847
average,0.25,1.0,0.2209973309510969
subtract,2.0,0.25,0.2198249291030789
average,2.0,1.0,0.2197974693607595
subtract,0.5,2.0,0.2192978613228612
average,0.5,0.25,0.2188809458827577
L1,1.0,4.0,0.2184050265816066
L1,2.0,0.25,0.2182948641093787
L2,1.0,0.5,0.2180530709592611
L1,0.5,4.0,0.2176388141523938
average,4.0,2.0,0.2174992643076768
L1,2.0,2.0,0.2167881803499729
L1,0.5,2.0,0.21662040129915
L2,0.5,4.0,0.2162932122699786
subtract,2.0,2.0,0.2162114891468075
average,2.0,4.0,0.2161308472268773
subtract,0.25,0.5,0.21538254122402
L2,2.0,0.25,0.2152454931856929
L1,0.25,0.5,0.2151897595704618
subtract,2.0,4.0,0.2150880462521824
average,1.0,0.25,0.214833726663256
L1,0.25,0.25,0.2146726289142327
average,0.5,2.0,0.2144817420034538
subtract,0.25,2.0,0.2135926751381791
L2,2.0,1.0,0.2129593326005169
L1,0.25,4.0,0.212384759884484
L1,2.0,4.0,0.2118364939115852
L2,1.0,4.0,0.2111986833902823
average,0.5,0.5,0.2109384730366068
average,1.0,4.0,0.2109211760988504
L2,2.0,2.0,0.2108963938031204
L2,0.5,2.0,0.2100388799399601
average,2.0,2.0,0.2096746328804614
L2,0.5,0.25,0.2093599368088713
L1,0.25,2.0,0.2089124899658537
subtract,1.0,1.0,0.2084804461681724
L1,2.0,1.0,0.2079993653355684
L2,0.25,0.5,0.2078504091458004
subtract,0.25,4.0,0.2073830318862812
L2,0.25,4.0,0.2071307967090444
subtract,0.25,1.0,0.2071116609457123
average,0.5,4.0,0.2059371509912111
L1,0.5,0.25,0.2049108428627661
L2,0.25,0.25,0.2044794855936331
subtract,4.0,1.0,0.2042148832760509
L1,1.0,1.0,0.2006105223891191
subtract,4.0,0.25,0.2005759975801853
L2,2.0,4.0,0.1999722470157229
average,4.0,0.5,0.1997165244825315
average,0.25,0.25,0.1996388763425391
subtract,1.0,0.25,0.1992852818743802
L2,0.25,2.0,0.1987898519005823
average,0.25,4.0,0.1987431278455719
subtract,4.0,0.5,0.1977814077888352
average,0.25,0.5,0.1974162524900121
L1,0.25,1.0,0.1953001093536408
subtract,1.0,2.0,0.1952016687139012
average,4.0,0.25,0.1942760915185952
L1,1.0,0.25,0.1932990330000317
L2,0.25,1.0,0.1930493307729017
L1,4.0,0.5,0.1911556991223807
L1,1.0,2.0,0.1907836316900181
average,2.0,0.5,0.1901617397899146
L2,4.0,2.0,0.1900251368475507
L2,1.0,2.0,0.1894685966607713
L1,4.0,2.0,0.1885778022379486
L2,1.0,0.25,0.1884010171775548
L2,1.0,1.0,0.1878203913283197
average,0.5,1.0,0.1868913429581621
L1,4.0,0.25,0.1866005586369161
subtract,2.0,0.5,0.1853990824065399
L1,4.0,1.0,0.1853862207349789
L2,4.0,0.5,0.1834335256298176
L1,0.5,0.5,0.1823451945447305
subtract,4.0,2.0,0.1822414045396351
subtract,0.5,0.5,0.1797309348538748
L2,4.0,1.0,0.1796402162833069
L1,2.0,0.5,0.1795034764939226
L2,0.5,0.5,0.1771577693569309
L2,4.0,0.25,0.1719274375854713
L2,2.0,0.5,0.1663328586594811
