method,p,q,R2
hadamard,0.25,0.5,0.0822132336355201
hadamard,0.25,4.0,0.0799392204891584
hadamard,0.5,0.25,0.0796448603541131
hadamard,1.0,1.0,0.0792971798050833
hadamard,4.0,4.0,0.0787560093565161
hadamard,0.25,1.0,0.0786509619025855
hadamard,0.5,2.0,0.0782006974263033
average,4.0,1.0,0.0775795435632046
hadamard,0.25,2.0,0.0773517278786742
hadamard,2.0,2.0,0.0771142003342046
hadamard,4.0,0.5,0.0764416886959179
average,0.25,2.0,0.0763404230384103
hadamard,1.0,4.0,0.0759835416184264
hadamard,0.5,4.0,0.0750334963988578
L2,1.0,0.25,0.0749226113339903
hadamard,4.0,2.0,0.0743151709814523
average,2.0,4.0,0.0743092481488647
subtract,4.0,0.5,0.0739830717740295
hadamard,2.0,1.0,0.0737653977042662
hadamard,1.0,0.25,0.0734683058532417
subtract,1.0,0.25,0.0731708127372985
hadamard,4.0,0.25,0.0731280073808827
hadamard,2.0,0.25,0.0731182308056147
hadamard,0.5,1.0,0.0728904075289702
L1,4.0,0.5,0.0727949750223356
L1,1.0,0.25,0.0727780871653868
hadamard,1.0,2.0,0.0727379330857432
hadamard,4.0,1.0,0.0726040580153062
hadamard,0.5,0.5,0.0724855221408492
average,1.0,1.0,0.0721820231287453
L1,0.25,0.5,0.0718513435017327
hadamard,2.0,0.5,0.071776076219139
hadamard,0.25,0.25,0.0716406514034181
subtract,0.25,0.5,0.0715183157730821
average,0.25,1.0,0.0714839191970287
L2,0.25,0.5,0.0709640225279265
L1,0.5,1.0,0.0708314975931608
subtract,0.5,1.0,0.0708016740492688
L2,4.0,1.0,0.0705870682834766
subtract,4.0,2.0,0.0705641460724443
hadamard,2.0,4.0,0.0703951599291811
L1,4.0,1.0,0.0703266966530117
subtract,4.0,1.0,0.0702716035073059
L2,4.0,0.5,0.0700464937306022
hadamard,1.0,0.5,0.069662893525345
subtract,1.0,0.5,0.0695753269206296
subtract,2.0,0.25,0.0693343765080835
L2,0.5,1.0,0.0692069867391801
L1,4.0,2.0,0.0690733562466648
subtract,0.25,0.25,0.0688237610686127
average,1.0,2.0,0.0685934147434023
average,0.5,0.25,0.0685218907819261
L1,0.5,2.0,0.0684114838334385
average,0.25,4.0,0.0678459724013035
L1,2.0,0.25,0.0672025269818974
subtract,2.0,2.0,0.0669680047651722
average,0.25,0.5,0.06692002411022
L2,4.0,2.0,0.0662958163303064
subtract,0.5,2.0,0.0662948655363936
L1,0.25,0.25,0.0662581427661206
average,0.5,4.0,0.0658825560702852
L2,2.0,0.25,0.0657433328885163
L2,2.0,2.0,0.0656206563824609
average,4.0,0.5,0.065373048760099
L2,4.0,0.25,0.0650712967119775
L2,0.25,4.0,0.0645175436385906
L1,2.0,2.0,0.0642589412652661
L2,0.5,2.0,0.064221924432158
average,4.0,2.0,0.0641558754749256
average,1.0,0.5,0.0640377290033415
subtract,0.25,1.0,0.0636171750134618
average,2.0,1.0,0.0634115673135899
L1,1.0,0.5,0.0630852785534901
subtract,0.5,0.5,0.0627076956515428
average,0.5,0.5,0.0624762147474372
L2,2.0,0.5,0.0623477803237862
L1,4.0,0.25,0.0620408673479992
subtract,2.0,1.0,0.0620172289538581
L1,0.5,0.5,0.0618986398123836
subtract,0.5,4.0,0.0616408376269667
L1,2.0,0.5,0.0616307002576549
subtract,4.0,0.25,0.0616264316490725
average,2.0,2.0,0.061563583092326
L1,0.25,1.0,0.0615151368398089
subtract,4.0,4.0,0.0613609568538997
average,2.0,0.5,0.0612655016511282
L2,1.0,4.0,0.0612406586681228
L1,0.25,4.0,0.0609318324087194
subtract,1.0,4.0,0.0608182596974951
L2,1.0,2.0,0.0605743290848633
L2,0.25,1.0,0.0601658018990454
L1,0.5,4.0,0.0595897430356545
L1,4.0,4.0,0.0592502223338888
average,2.0,0.25,0.0591947560258995
L1,2.0,4.0,0.0590080369205372
L2,1.0,0.5,0.0588463421412966
average,0.5,1.0,0.0584348221945714
L2,2.0,4.0,0.0583395396473803
average,0.5,2.0,0.0583183342041215
L2,0.5,4.0,0.0583084261384447
subtract,2.0,4.0,0.0581608214427061
subtract,2.0,0.5,0.0580373259037968
L2,0.25,0.25,0.0578013986898124
subtract,0.5,0.25,0.0576067774100411
subtract,0.25,4.0,0.0574838050061943
L1,2.0,1.0,0.0569889694626447
L2,0.5,0.5,0.0568503451293903
L2,4.0,4.0,0.0565972918130487
L1,0.25,2.0,0.0563302748041759
L1,1.0,4.0,0.0560997080605496
subtract,1.0,1.0,0.0559412002813696
L1,1.0,1.0,0.0557725647266718
average,1.0,0.25,0.0554773284251908
average,0.25,0.25,0.0554666897665163
L1,1.0,2.0,0.0549629532367315
L2,1.0,1.0,0.0548395890631238
subtract,0.25,2.0,0.0547030364418279
average,1.0,4.0,0.0546662967456986
L2,0.5,0.25,0.0545739911680871
L2,2.0,1.0,0.0544162493845783
L2,0.25,2.0,0.0543072417677616
subtract,1.0,2.0,0.0536234152296555
L1,0.5,0.25,0.0535022129414334
average,4.0,0.25,0.0497168189231209
average,4.0,4.0,0.0472360005721494
