method,p,q,R2
hadamard,2.0,0.5,0.3427246282007576
hadamard,1.0,0.25,0.3356455857951479
hadamard,1.0,4.0,0.3328468046835187
hadamard,0.5,2.0,0.3323666789236524
hadamard,4.0,0.5,0.332296199203114
hadamard,0.25,2.0,0.3312982811534116
hadamard,2.0,1.0,0.3298698904392337
hadamard,1.0,2.0,0.3292857926005937
hadamard,0.5,1.0,0.328462316204131
hadamard,4.0,4.0,0.3282460288340929
hadamard,0.5,4.0,0.3279361408503984
hadamard,1.0,1.0,0.3279113895135697
hadamard,0.25,0.25,0.3276370597962804
hadamard,2.0,0.25,0.3273838223498891
hadamard,0.5,0.25,0.3267682449115391
hadamard,2.0,4.0,0.326734710781373
hadamard,4.0,1.0,0.3265532964829816
hadamard,1.0,0.5,0.3263362935497486
hadamard,4.0,0.25,0.3263184741577211
hadamard,0.25,0.5,0.3246907085684254
hadamard,0.25,4.0,0.3244919057097718
hadamard,2.0,2.0,0.3222909051114211
hadamard,0.5,0.5,0.3221785236504216
hadamard,0.25,1.0,0.3177165850752816
hadamard,4.0,2.0,0.3164933686529956
average,2.0,0.5,0.2894001589027345
subtract,4.0,1.0,0.2881621422360999
average,2.0,2.0,0.2869574953072171
subtract,4.0,4.0,0.28657436726059
average,0.5,0.25,0.2831359032358193
subtract,0.5,1.0,0.2822869880404665
average,2.0,1.0,0.281371532573903
L1,4.0,4.0,0.2812906741143826
subtract,2.0,1.0,0.2810910414767192
average,1.0,0.25,0.2807070409072819
average,0.25,4.0,0.2784555789701366
average,2.0,4.0,0.2777598939301365
L1,0.5,1.0,0.2776956601729767
average,1.0,1.0,0.2772117627158613
subtract,1.0,0.5,0.2766466975127686
L1,1.0,0.5,0.2745441702969327
average,0.5,1.0,0.2728572501715488
L1,2.0,1.0,0.272443978904029
L1,0.5,0.25,0.2718676894585287
subtract,0.5,0.25,0.2709133439156711
subtract,1.0,0.25,0.270704301884073
average,2.0,0.25,0.2704798665181489
average,0.5,0.5,0.2693964409768467
L2,4.0,4.0,0.2679329452651279
average,0.25,2.0,0.2677493560587652
average,1.0,2.0,0.267038905088285
average,4.0,0.5,0.2668889399969627
subtract,0.5,2.0,0.2664123627351603
subtract,4.0,2.0,0.265900315670357
subtract,4.0,0.5,0.2655423646752862
L1,1.0,0.25,0.2641663961694181
subtract,1.0,2.0,0.2639650420486106
L1,4.0,1.0,0.2637845474741813
average,0.5,4.0,0.263730645250077
average,4.0,2.0,0.2623696552011439
average,1.0,0.5,0.2623544345924886
subtract,0.5,0.5,0.2621074825706502
subtract,2.0,2.0,0.2618870796102391
average,0.25,0.5,0.2616263150482981
subtract,4.0,0.25,0.2615380975421529
L1,4.0,2.0,0.2614846679946202
subtract,2.0,0.5,0.2612449021720053
L2,0.5,1.0,0.2605467224465237
L1,2.0,2.0,0.2603597717859182
average,0.5,2.0,0.2602117601235539
L2,1.0,0.5,0.2599824183193959
subtract,0.25,2.0,0.2599482510015118
L1,0.5,0.5,0.2598570161464437
subtract,0.25,1.0,0.2588675925796645
average,4.0,1.0,0.2582432332689937
L1,1.0,2.0,0.2581257777417908
average,1.0,4.0,0.2580185051925036
L1,0.25,1.0,0.2571387275100321
average,4.0,0.25,0.2568316759764076
L2,2.0,1.0,0.2565213055285892
L2,1.0,2.0,0.2552923815465506
average,0.25,0.25,0.2545501666629856
subtract,0.5,4.0,0.2544821522290614
L1,2.0,0.5,0.2526362206555628
L2,1.0,0.25,0.2524529477687371
L1,4.0,0.25,0.2523023110990948
L2,0.5,0.25,0.2516732356440061
L2,2.0,2.0,0.2514860707672173
L1,4.0,0.5,0.2507887662991136
subtract,0.25,4.0,0.250390530510911
L1,0.5,4.0,0.250290059837001
L2,4.0,1.0,0.2498243674051234
L1,0.25,4.0,0.2497875866709312
L2,4.0,2.0,0.2490367081319281
L1,0.25,2.0,0.2474683885040339
L2,0.5,0.5,0.247246176491681
average,0.25,1.0,0.2447964488031684
L1,0.5,2.0,0.2439642705808244
L2,0.25,2.0,0.2435976526500352
subtract,1.0,1.0,0.2430882396009105
L1,0.25,0.5,0.242662011611268
L1,1.0,1.0,0.2424271831037098
subtract,0.25,0.5,0.2414168958779805
L2,0.25,1.0,0.2386714487688989
subtract,2.0,4.0,0.2377363390578294
L2,0.5,2.0,0.2374759328454272
L2,4.0,0.5,0.2372403536651528
L2,1.0,1.0,0.2349019120160923
L2,0.5,4.0,0.2345036245675457
L2,0.25,4.0,0.2336992333265189
average,4.0,4.0,0.2323827987705224
L1,2.0,4.0,0.2311638385314829
L2,2.0,0.5,0.23018883668648
subtract,0.25,0.25,0.2274962663406636
L2,0.25,0.5,0.2260489567109109
L1,0.25,0.25,0.2237969139286673
L2,2.0,4.0,0.222820008735832
L2,4.0,0.25,0.2219541161186036
subtract,1.0,4.0,0.2213842456492313
L1,1.0,4.0,0.2178918544321252
L2,0.25,0.25,0.2169686617193484
L1,2.0,0.25,0.2165102489089357
subtract,2.0,0.25,0.2164988685298114
L2,2.0,0.25,0.2067792858772557
L2,1.0,4.0,0.2003672140371291
