method,p,q,R2
subtract,0.5,0.25,0.1731726218521718
L1,0.5,0.25,0.1713661632107505
average,0.25,0.5,0.1708761935966387
average,1.0,2.0,0.1631499484919228
subtract,2.0,0.5,0.158601789840353
hadamard,0.25,2.0,0.1572242297112495
L2,0.5,0.25,0.1570755137897921
average,0.25,0.25,0.156876372688114
hadamard,4.0,0.25,0.1555655624642452
subtract,2.0,4.0,0.1547782643361834
hadamard,0.5,4.0,0.1544044776376461
average,0.5,4.0,0.1543424799363657
subtract,4.0,4.0,0.1538758703858714
hadamard,2.0,4.0,0.1533591244087836
hadamard,0.25,4.0,0.1525144003149983
average,0.5,0.25,0.1510448258722699
hadamard,0.5,0.5,0.1507251340762199
hadamard,0.5,2.0,0.1507123736904948
subtract,1.0,0.5,0.1506064729295694
average,0.5,1.0,0.1502280854299371
subtract,2.0,2.0,0.1496706670484708
hadamard,4.0,1.0,0.149399567420559
hadamard,0.25,1.0,0.1489659550579665
hadamard,0.25,0.25,0.1485351128103816
hadamard,1.0,2.0,0.1469230947126396
hadamard,0.25,0.5,0.14688736116067
average,2.0,4.0,0.1467878634514109
subtract,0.25,0.25,0.146609831919891
average,4.0,2.0,0.1465577029156123
subtract,4.0,0.5,0.1463041625341161
subtract,0.5,2.0,0.1458527337136461
average,2.0,1.0,0.1455703164556756
hadamard,0.5,1.0,0.1453259178529986
hadamard,4.0,4.0,0.1451275161722988
hadamard,2.0,0.25,0.1450379036255079
hadamard,4.0,2.0,0.1450172841957685
hadamard,1.0,1.0,0.1449961357514954
hadamard,2.0,2.0,0.1447779850236342
subtract,1.0,0.25,0.1446365335184529
L1,1.0,0.5,0.1439065932020473
hadamard,2.0,0.5,0.1439046243002121
hadamard,0.5,0.25,0.1433001698263836
average,4.0,0.5,0.143280330647663
L1,1.0,0.25,0.1432394500585302
hadamard,1.0,0.25,0.1430741703039999
hadamard,1.0,4.0,0.1430509618753688
L1,2.0,0.5,0.1426622398996819
hadamard,2.0,1.0,0.1418789495341694
hadamard,4.0,0.5,0.1413871685153317
L1,0.25,0.25,0.1409124564834348
L1,2.0,2.0,0.1405414494077892
subtract,0.25,0.5,0.1399122396914188
subtract,1.0,2.0,0.1398208779201659
L1,0.5,2.0,0.1394599336535207
subtract,1.0,4.0,0.1394366431098869
L1,2.0,4.0,0.1393442779725592
average,1.0,0.25,0.1379942741790555
subtract,4.0,1.0,0.1378853265512445
subtract,0.5,1.0,0.1376137922946354
subtract,0.5,0.5,0.1373842665997006
average,2.0,0.5,0.1372664634700453
subtract,0.25,2.0,0.1368752880234734
average,2.0,2.0,0.1363892307291412
L1,4.0,0.5,0.136316506640689
subtract,2.0,1.0,0.1347088246552035
hadamard,1.0,0.5,0.1346731383647744
average,0.5,0.5,0.1343219952823029
L1,2.0,1.0,0.133644533878217
L2,0.25,0.25,0.1333222541929115
average,4.0,1.0,0.1324438257104754
L2,2.0,2.0,0.1320407019367711
L1,0.5,1.0,0.1314872577220849
L1,0.25,1.0,0.1313017588817377
subtract,0.25,1.0,0.1311032909661995
L1,4.0,4.0,0.1310096552263406
L1,0.25,0.5,0.1298333256262577
L1,0.5,0.5,0.1296641147086696
L1,1.0,4.0,0.1295997107466301
average,0.5,2.0,0.1293650596704102
L2,2.0,4.0,0.1288557862376251
L2,0.5,2.0,0.1288466762961728
L2,1.0,0.25,0.1287364741788378
L2,4.0,0.5,0.1283358198446836
L1,0.25,2.0,0.1280123642119266
subtract,1.0,1.0,0.1276776382762208
L2,2.0,0.5,0.1271046820852605
L1,1.0,2.0,0.1269878720533515
subtract,4.0,2.0,0.126839431199679
average,0.25,1.0,0.1266881911065992
L2,0.25,0.5,0.1260001236484267
L1,4.0,1.0,0.1254317584650182
subtract,2.0,0.25,0.1252845924104118
L2,0.25,2.0,0.1250982390329396
average,0.25,2.0,0.1250232541922075
average,4.0,0.25,0.124918126071069
L1,4.0,2.0,0.1245100435756757
L2,0.5,1.0,0.1240375924467657
L2,1.0,0.5,0.1239427768370804
L1,1.0,1.0,0.1231132067744191
average,4.0,4.0,0.1214068479097162
L2,0.5,0.5,0.1208350905400169
L2,2.0,1.0,0.1203214500360507
average,1.0,1.0,0.1197483549758411
subtract,0.5,4.0,0.1186824815495387
L1,2.0,0.25,0.1180505770373249
L1,0.5,4.0,0.116160765027533
L2,0.25,1.0,0.1159862210087689
average,2.0,0.25,0.115707176722112
average,1.0,4.0,0.1156972618190552
subtract,4.0,0.25,0.1154674702907104
average,0.25,4.0,0.1151684993166987
L2,1.0,1.0,0.1139882787764076
average,1.0,0.5,0.1136728788207762
L2,0.5,4.0,0.1125189876286374
L2,1.0,2.0,0.1107890403324397
L2,4.0,1.0,0.1102760456005913
L1,4.0,0.25,0.1099379265660905
L2,2.0,0.25,0.1096267939554725
subtract,0.25,4.0,0.107849728076437
L1,0.25,4.0,0.107237461506054
L2,4.0,2.0,0.1042893913414898
L2,4.0,4.0,0.1039429433409711
L2,4.0,0.25,0.100625988168696
L2,1.0,4.0,0.1005398872954019
L2,0.25,4.0,0.0970781322543157
