method,p,q,R2
hadamard,4.0,1.0,0.12176887124311253
hadamard,4.0,0.25,0.12120815482338065
hadamard,1.0,1.0,0.1154989031303909
hadamard,0.5,0.5,0.11531421161563027
L2,1.0,1.0,0.11093814057827112
L2,0.5,0.5,0.10707725852177108
L2,4.0,4.0,0.10456072918128978
L2,0.25,4.0,0.09853740827215474
L2,4.0,1.0,0.09775365277303683
hadamard,4.0,4.0,0.09671084169984201
hadamard,1.0,4.0,0.09659483186313644
hadamard,0.5,1.0,0.0963762660262032
hadamard,1.0,0.5,0.09619228246824951
L2,0.25,1.0,0.09558051619878927
hadamard,2.0,1.0,0.09411462222838063
L1,1.0,1.0,0.09219457331533354
L1,4.0,4.0,0.09035369648366387
L1,0.25,1.0,0.09010009377173922
L2,2.0,1.0,0.08993725880316927
average,1.0,1.0,0.08921221635070287
average,1.0,0.5,0.08917920453447037
subtract,0.25,0.25,0.08831205248984286
L1,0.25,0.25,0.08793679948268074
L2,1.0,0.5,0.08785753214528058
subtract,1.0,1.0,0.08778170594247692
L2,1.0,0.25,0.08767896814161824
L1,0.5,0.5,0.08741176263351613
L2,1.0,2.0,0.0873924706356981
L2,2.0,2.0,0.08721959113554179
hadamard,0.25,0.25,0.08659098051428882
average,4.0,4.0,0.08611388294000522
hadamard,2.0,4.0,0.08596790113376551
L2,2.0,0.25,0.08591170083408273
L1,1.0,2.0,0.08512367454474135
L1,1.0,0.5,0.08509943386460872
L2,4.0,0.25,0.08499458119358327
hadamard,2.0,0.25,0.08482884384284461
L2,0.25,0.25,0.08476488801049165
hadamard,0.5,2.0,0.08471256478398093
average,0.25,0.25,0.08421558484040781
subtract,4.0,0.25,0.08390188179402225
L1,4.0,1.0,0.08387509214292588
subtract,1.0,0.5,0.08385833889714078
L1,2.0,1.0,0.0836367042481263
average,4.0,1.0,0.08303602174360569
subtract,0.25,1.0,0.08250158828725296
L2,2.0,0.5,0.08230601304675134
hadamard,1.0,2.0,0.08184489585316412
hadamard,4.0,0.5,0.08159343567071475
L2,0.5,0.25,0.08131619701140236
average,4.0,0.25,0.08122894488876287
subtract,4.0,1.0,0.08109078711068862
subtract,2.0,1.0,0.08105137980065502
L1,4.0,0.25,0.08040346055640857
L2,0.5,1.0,0.07904142083376631
L1,0.25,4.0,0.07902686652402724
hadamard,2.0,2.0,0.0785548236218967
subtract,4.0,4.0,0.07847432923840114
L1,2.0,2.0,0.07827949875989604
subtract,1.0,2.0,0.07816008681700437
L2,1.0,4.0,0.07797669984418776
average,1.0,2.0,0.07735413240722588
L1,2.0,4.0,0.07685000460702263
subtract,2.0,4.0,0.07678479700343543
hadamard,0.25,1.0,0.07657562014124797
L1,2.0,0.5,0.07634557154886912
subtract,0.5,0.25,0.075920960256598
L2,4.0,2.0,0.07588741130084786
L1,0.5,0.25,0.07551897691172427
L1,2.0,0.25,0.07520634360595801
subtract,0.5,0.5,0.0750056616715652
L1,4.0,2.0,0.07465535034239701
average,0.25,1.0,0.07449970301700659
L2,0.5,2.0,0.07441894655137893
hadamard,0.25,4.0,0.07401891002815086
subtract,2.0,0.5,0.07367016853660968
subtract,2.0,0.25,0.07321204250023539
subtract,0.25,4.0,0.07250012698954056
L2,2.0,4.0,0.07249571996820303
L2,0.25,0.5,0.07068322911141145
average,2.0,1.0,0.07062258670707977
average,0.5,0.5,0.07061207382643175
average,2.0,2.0,0.07040704939834808
hadamard,0.5,0.25,0.07034999516133322
average,4.0,0.5,0.07024749654023421
subtract,4.0,0.5,0.07021139823145262
subtract,2.0,2.0,0.0702094845755602
hadamard,2.0,0.5,0.07018165285157285
hadamard,0.25,2.0,0.07005767354280212
average,0.25,2.0,0.0700076246968494
average,2.0,0.5,0.06996383295450803
hadamard,0.25,0.5,0.06995453858993861
L1,1.0,0.25,0.06991893543638539
average,4.0,2.0,0.0693452353802172
L2,0.5,4.0,0.06920757063709526
average,0.5,0.25,0.0687073401651418
subtract,0.25,2.0,0.06869716467026177
L1,1.0,4.0,0.06846698364593018
L2,0.25,2.0,0.06836379740460607
subtract,0.5,1.0,0.06828263399551537
L1,0.5,4.0,0.06813566097916113
average,1.0,4.0,0.0678649652342308
subtract,4.0,2.0,0.06785941292809072
subtract,1.0,0.25,0.06777737432852926
hadamard,0.5,4.0,0.06712327792303752
L1,0.5,1.0,0.06697152927521854
hadamard,1.0,0.25,0.06680534232701352
subtract,0.5,2.0,0.06627040034035547
average,0.25,4.0,0.06608060535346838
subtract,0.25,0.5,0.06588996275823433
hadamard,4.0,2.0,0.06510635596303682
average,2.0,4.0,0.06507255299347092
average,0.5,4.0,0.0650088269177006
subtract,1.0,4.0,0.06483352596911618
L1,0.25,2.0,0.06436544384130749
L1,0.25,0.5,0.06352617463346066
L1,4.0,0.5,0.06334981534889905
average,0.5,2.0,0.06324731517467208
L1,0.5,2.0,0.06323039747971526
L2,4.0,0.5,0.06297287455386813
average,0.25,0.5,0.06257645097174269
subtract,0.5,4.0,0.06220461767943708
average,1.0,0.25,0.06197618026473606
average,2.0,0.25,0.06139276712908226
average,0.5,1.0,0.05382979280033906
