method,p,q,R2
L1,2.0,1.0,0.6551940175767821
L1,1.0,0.25,0.6545045456776615
L1,2.0,0.5,0.64958642594037
L1,0.25,0.25,0.6443749342824918
L1,4.0,0.25,0.6403529832661954
L1,4.0,4.0,0.6398275966243845
L1,0.5,0.25,0.6397083671878283
L1,0.25,4.0,0.6350113503933045
L2,0.25,4.0,0.6349519918750826
L2,0.5,0.25,0.6344134618248425
L2,4.0,0.5,0.6314228751928093
hadamard,0.5,0.5,0.6305783277484933
L1,2.0,2.0,0.6283912416910584
L1,4.0,0.5,0.62654763288652
L1,4.0,1.0,0.6243888254889576
L1,2.0,0.25,0.6236790050499539
L1,0.5,0.5,0.6227661944801235
L1,1.0,1.0,0.622691642344462
L1,0.5,2.0,0.6212562674602807
L1,4.0,2.0,0.620914617761305
L1,2.0,4.0,0.6199190072697405
L2,0.25,2.0,0.6188131525225924
L2,4.0,0.25,0.6178366247145753
L1,0.25,0.5,0.6177591732607401
hadamard,1.0,0.5,0.6174621341988602
hadamard,0.5,4.0,0.6172172782999625
hadamard,0.25,4.0,0.6171747417223838
L2,2.0,0.25,0.616548195951172
hadamard,0.25,1.0,0.613434857995459
L2,1.0,0.25,0.6131180125213123
L1,1.0,4.0,0.6118474587230693
L1,1.0,2.0,0.6116021783348183
hadamard,2.0,2.0,0.6101359017494292
hadamard,1.0,1.0,0.6100205152484325
L1,0.5,1.0,0.6091997941415057
L2,0.5,4.0,0.6089822094148218
hadamard,0.25,0.5,0.6083698355215438
L2,1.0,1.0,0.6079873621572311
L1,0.25,2.0,0.6079265889262144
L2,0.25,0.25,0.6075715928254926
hadamard,2.0,1.0,0.6065802366665871
hadamard,0.5,0.25,0.6061265379792584
L2,0.25,0.5,0.6050241623793841
hadamard,0.5,1.0,0.6048547527112893
hadamard,1.0,2.0,0.6042681786065782
L2,2.0,2.0,0.6038740394475568
L2,1.0,2.0,0.6032358327080052
hadamard,0.25,2.0,0.6017127436759824
L2,4.0,1.0,0.6014384477433106
hadamard,4.0,0.25,0.6014277991048208
L2,4.0,4.0,0.600493717364001
L2,2.0,0.5,0.5992770481437625
L1,0.5,4.0,0.5992234491165349
hadamard,2.0,0.25,0.5983028593150408
L1,0.25,1.0,0.5972916139579147
hadamard,2.0,0.5,0.5968397370517591
hadamard,1.0,0.25,0.5918487324444528
L2,1.0,0.5,0.591797257276405
L2,2.0,1.0,0.5904783601401989
hadamard,0.5,2.0,0.590119923071786
L2,0.5,0.5,0.588750755721286
hadamard,4.0,4.0,0.5877429152019915
hadamard,4.0,0.5,0.5867466672974163
hadamard,1.0,4.0,0.5845695067124114
L2,0.5,1.0,0.5838820346061913
L2,4.0,2.0,0.5834250871986437
hadamard,4.0,1.0,0.5833562209116261
hadamard,4.0,2.0,0.5830161864585544
L2,0.25,1.0,0.5826362788824219
L2,1.0,4.0,0.5809090070762728
L2,0.5,2.0,0.5808661821475569
hadamard,0.25,0.25,0.5773041511689151
hadamard,2.0,4.0,0.5762209449493667
L2,2.0,4.0,0.5740824539727085
L1,1.0,0.5,0.540936337938608
subtract,0.25,2.0,0.4377986188873201
average,4.0,0.25,0.4359580673944101
average,2.0,0.5,0.4346200473504091
average,4.0,0.5,0.4330769847858393
average,0.25,4.0,0.4327525772741655
average,0.5,4.0,0.43205644669702
subtract,0.25,4.0,0.4278464453579925
average,1.0,0.5,0.4235686777486817
average,0.25,0.5,0.4235174234611496
subtract,2.0,1.0,0.4229291520362961
subtract,4.0,2.0,0.4224867815275374
subtract,4.0,1.0,0.4220552332274684
average,4.0,1.0,0.4218297435692573
average,2.0,4.0,0.4207140869416657
average,1.0,2.0,0.4202562400391396
subtract,1.0,0.5,0.4190408558954133
average,0.25,0.25,0.4188513215468226
subtract,1.0,4.0,0.4178799561706805
average,2.0,1.0,0.4167185115573638
subtract,1.0,1.0,0.4135786191336238
average,4.0,2.0,0.4111505263435455
subtract,2.0,2.0,0.4098715667427328
subtract,0.25,1.0,0.4087290603106527
subtract,0.5,0.5,0.4082186153576593
subtract,2.0,0.25,0.4072852709956924
subtract,4.0,0.25,0.4069707218066853
subtract,1.0,0.25,0.4063179152883558
average,1.0,4.0,0.4060563710514809
average,1.0,0.25,0.4060281339007704
subtract,0.25,0.5,0.4051305229564922
average,2.0,0.25,0.404121416678931
average,0.25,2.0,0.403752176501247
average,0.5,2.0,0.4030834761676077
subtract,0.5,1.0,0.403031273446979
average,0.25,1.0,0.4028015910465207
subtract,0.25,0.25,0.4012084915665362
average,4.0,4.0,0.4004124222061639
average,1.0,1.0,0.3983040475667885
subtract,0.5,0.25,0.3954959442111334
subtract,4.0,4.0,0.3951649863916017
average,0.5,0.5,0.3947806461309698
subtract,0.5,4.0,0.3904764603188358
average,2.0,2.0,0.3897399551901377
average,0.5,0.25,0.3892939762603943
subtract,0.5,2.0,0.38809934169591
average,0.5,1.0,0.3878107009366034
subtract,4.0,0.5,0.3706098596968648
subtract,1.0,2.0,0.3704146824345385
subtract,2.0,4.0,0.3563249293780519
subtract,2.0,0.5,0.3547069481615397
