method,p,q,R2
L1,4.0,0.5,0.07844683323250046
L2,2.0,1.0,0.09059071528310869
average,4.0,0.5,0.18774987197160065
hadamard,2.0,4.0,0.10791860642357498
L2,2.0,4.0,0.08471578842278904
subtract,4.0,0.5,0.09910109107701126
average,4.0,4.0,0.18029284932375522
L1,4.0,4.0,0.07504651036665722
subtract,4.0,2.0,0.10578341146171455
subtract,4.0,1.0,0.1309426281944559
hadamard,4.0,0.5,0.1368481598148591
L2,4.0,1.0,0.07547158978979007
L2,4.0,0.5,0.06715079660872958
hadamard,4.0,2.0,0.11575129852366461
subtract,4.0,4.0,0.12006499675683024
hadamard,4.0,4.0,0.12461041963636366
L2,4.0,2.0,0.05346830054881491
L2,4.0,4.0,0.06753507267250769
