head_node,tail_node,neglog_pval,abs_effect
ukb-b-15730,ebi-a-GCST004607,0.3396302501848432,0.0096335854395268
ukb-b-15730,ebi-a-GCST005195,0.0269203934031571,0.0029523056537272
ukb-b-15730,ebi-a-GCST006095,0.9965081170805478,0.235198940101335
ukb-b-15730,ieu-a-1000,0.244843825497432,0.0096048629157659
ukb-b-15730,ieu-a-271,0.2422203825485697,0.0313844243380968
ukb-b-15730,ieu-a-75,0.0568869782952025,0.0040417425403098
ukb-b-15730,ieu-a-9,1.4571624683195314,0.402229506462732
ukb-b-15730,met-a-404,0.05315388463671,0.002438987183743
ukb-b-15730,met-a-431,1.347367296821298,0.0522601061455997
ukb-b-15730,met-a-436,0.5660040017218565,0.0087644262329698
ukb-b-15730,met-a-447,1.8462549420769083,0.0467665445194505
ukb-b-15730,met-a-457,0.03521698882818,0.0046486461328955
ukb-b-15730,met-a-732,0.0374845646569405,0.0018654237505908
ukb-b-15730,met-c-890,1.1112564444001032,0.10805386526358
ukb-b-15730,prot-a-1095,0.3184970340625708,0.099160196232595
ukb-b-15730,prot-a-1158,0.0685134252963877,0.0220906371917207
ukb-b-15730,prot-a-1182,0.7613108218103317,0.18425998589919
ukb-b-15730,prot-a-1194,0.5880549641288036,0.15208932526836
ukb-b-15730,prot-a-1249,0.1249881719794032,0.025965317202868
ukb-b-15730,prot-a-1298,0.0499304245497188,0.0173524207089157
ukb-b-15730,prot-a-1555,0.3253725672000793,0.094748737040442
ukb-b-15730,prot-a-1771,1.4653193621436549,0.276851743275333
ukb-b-15730,prot-a-1813,0.0327413437435707,0.0083382641531571
ukb-b-15730,prot-a-1888,0.1084368492609704,0.0375374399434978
ukb-b-15730,prot-a-22,0.0002654296641377,9.60321236119722e-05
ukb-b-15730,prot-a-2614,0.8331889928045058,0.0545394929067208
ukb-b-15730,prot-a-2716,0.0104677887338895,0.0025124581553137
ukb-b-15730,prot-a-2907,0.2944904934485232,0.0560355329306479
ukb-b-15730,prot-a-2960,0.2414200044958094,0.110594623983282
ukb-b-15730,prot-a-3029,0.124233794810183,0.0158983478465694
ukb-b-15730,prot-a-3161,1.1927604762579054,0.303106612511722
ukb-b-15730,prot-a-367,0.60641803567769,0.141783865027496
ukb-b-15730,prot-a-374,0.2592548082463949,0.0762556144998468
ukb-b-15730,prot-a-435,0.1640261371734402,0.0533084862185455
ukb-b-15730,prot-a-583,0.2202190874881052,0.0489912331992867
ukb-b-15730,prot-a-700,0.5436416510348266,0.039637853755335
ukb-b-15730,prot-a-742,0.5830252489714469,0.0422153216255124
ukb-b-15730,prot-a-765,0.7653532708179039,0.051436275532794
ukb-b-15730,prot-a-847,0.038518670429479,0.0136566456285932
ukb-b-15730,prot-a-863,0.1739731861030196,0.0220144048577063
ukb-b-15730,prot-a-941,0.3894298765080441,0.0748526860921361
ukb-b-15730,prot-a-954,0.2155512227120154,0.028460400124512
ukb-b-15730,prot-b-9,0.1556759275347804,0.0439663559029809
ukb-b-15730,ubm-a-1047,0.1596348636732527,0.0216700375613985
ukb-b-15730,ubm-a-1229,0.1082097659376829,0.0316505858631093
ukb-b-15730,ubm-a-1292,3.093017318886893,0.101728036068937
ukb-b-15730,ubm-a-1529,1.8607952983614489,0.211804817205287
ukb-b-15730,ubm-a-16,0.3849169314776187,0.0539439519633697
ukb-b-15730,ubm-a-1643,0.5434581013134556,0.0652760217680826
ukb-b-15730,ubm-a-17,0.1834472907860236,0.0217755808636195
ukb-b-15730,ubm-a-1756,0.1231300516830515,0.0259393810226819
ukb-b-15730,ubm-a-1788,0.8375342504568967,0.12573348438806
ukb-b-15730,ubm-a-1796,0.0718355428853636,0.0109875706649933
ukb-b-15730,ubm-a-1841,0.2557233490867656,0.0201018567357373
ukb-b-15730,ubm-a-1843,0.0176134569230144,0.0013576290631636
ukb-b-15730,ubm-a-1844,0.1926381850723313,0.0250245611433444
ukb-b-15730,ubm-a-1914,0.4942617834172614,0.0831345063153868
ukb-b-15730,ubm-a-1998,1.8533190238539283,0.14109198717945
ukb-b-15730,ubm-a-2029,0.1593010311809353,0.0318828919600756
