head_node,tail_node,neglog_pval,abs_effect
ukb-b-13500,ebi-a-GCST003392,0.3010299956639812,1.18140687166899
ukb-b-13500,ebi-a-GCST006061,7.010113276427348,2.00108889604569
ukb-b-13500,ieu-a-1050,-0.0,0.0
ukb-b-13500,met-a-385,-0.0,0.0
ukb-b-13500,met-a-586,-0.0,0.0
ukb-b-13500,met-c-838,-0.0,0.0
ukb-b-13500,met-c-887,2.901932697133129,0.761852781590938
ukb-b-13500,prot-a-1046,-0.0,0.0
ukb-b-13500,prot-a-1140,-0.0,0.0
ukb-b-13500,prot-a-1168,-0.0,0.0
ukb-b-13500,prot-a-1236,0.426194490446536,0.239400562321893
ukb-b-13500,prot-a-1559,0.3010299956639812,1.19442819839041
ukb-b-13500,prot-a-178,-0.0,0.0
ukb-b-13500,prot-a-1838,-0.0,0.0
ukb-b-13500,prot-a-1851,-0.0,0.0
ukb-b-13500,prot-a-1927,-0.0,0.0
ukb-b-13500,prot-a-1932,0.3010299956639812,0.920278655334212
ukb-b-13500,prot-a-194,-0.0,0.0
ukb-b-13500,prot-a-1944,-0.0,0.0
ukb-b-13500,prot-a-2006,-0.0,0.0
ukb-b-13500,prot-a-2042,-0.0,0.0
ukb-b-13500,prot-a-2123,-0.0,0.0
ukb-b-13500,prot-a-2138,0.3010299956639812,0.02940718064537
ukb-b-13500,prot-a-2323,0.3010299956639812,1.122024819189
ukb-b-13500,prot-a-2604,0.3010299956639812,0.289950809214889
ukb-b-13500,prot-a-2649,-0.0,0.0
ukb-b-13500,prot-a-2675,-0.0,0.0
ukb-b-13500,prot-a-2693,0.3010299956639812,1.47843270293139
ukb-b-13500,prot-a-2702,-0.0,0.0
ukb-b-13500,prot-a-2857,0.3010299956639812,0.211204671847341
ukb-b-13500,prot-a-2867,-0.0,0.0
ukb-b-13500,prot-a-2895,-0.0,0.0
ukb-b-13500,prot-a-2922,-0.0,0.0
ukb-b-13500,prot-a-2962,-0.0,0.0
ukb-b-13500,prot-a-2976,0.1209177946688037,0.419707289506114
ukb-b-13500,prot-a-3011,-0.0,0.0
ukb-b-13500,prot-a-3070,-0.0,0.0
ukb-b-13500,prot-a-3189,-0.0,0.0
ukb-b-13500,prot-a-332,0.3010299956639812,1.11747286452406
ukb-b-13500,prot-a-40,-0.0,0.0
