head_node,tail_node,neglog_pval,abs_effect
ukb-b-18953,ebi-a-GCST005047,-0.0,0.0
ukb-b-18953,ebi-a-GCST005071,0.3010299956639812,7.83250961440555
ukb-b-18953,ebi-a-GCST005223,-0.0,0.0
ukb-b-18953,ieu-a-1135,-0.0,0.0
ukb-b-18953,ieu-a-1233,0.3010299956639812,1.2605569799833
ukb-b-18953,ieu-a-23,-0.0,0.0
ukb-b-18953,ieu-a-24,-0.0,0.0
ukb-b-18953,ieu-a-48,0.3010299956639812,0.548275673008389
ukb-b-18953,ieu-a-787,-0.0,0.0
ukb-b-18953,met-a-359,-0.0,0.0
ukb-b-18953,met-a-458,-0.0,0.0
ukb-b-18953,met-a-519,-0.0,0.0
ukb-b-18953,met-a-552,-0.0,0.0
ukb-b-18953,met-a-558,-0.0,0.0
ukb-b-18953,met-a-666,-0.0,0.0
ukb-b-18953,prot-a-1124,-0.0,0.0
ukb-b-18953,prot-a-1238,-0.0,0.0
ukb-b-18953,prot-a-1286,-0.0,0.0
ukb-b-18953,prot-a-14,-0.0,0.0
ukb-b-18953,prot-a-1449,-0.0,0.0
ukb-b-18953,prot-a-1498,-0.0,0.0
ukb-b-18953,prot-a-1515,-0.0,0.0
ukb-b-18953,prot-a-1558,-0.0,0.0
ukb-b-18953,prot-a-1618,-0.0,0.0
ukb-b-18953,prot-a-1763,-0.0,0.0
ukb-b-18953,prot-a-1785,-0.0,0.0
ukb-b-18953,prot-a-1841,-0.0,0.0
ukb-b-18953,prot-a-1870,-0.0,0.0
ukb-b-18953,prot-a-1908,-0.0,0.0
ukb-b-18953,prot-a-1977,-0.0,0.0
ukb-b-18953,prot-a-1980,-0.0,0.0
ukb-b-18953,prot-a-2149,-0.0,0.0
ukb-b-18953,prot-a-236,-0.0,0.0
ukb-b-18953,prot-a-2450,-0.0,0.0
ukb-b-18953,prot-a-2698,-0.0,0.0
ukb-b-18953,prot-a-2931,-0.0,0.0
ukb-b-18953,prot-a-3001,-0.0,0.0
ukb-b-18953,prot-a-3085,-0.0,0.0
ukb-b-18953,prot-a-3278,-0.0,0.0
ukb-b-18953,prot-a-354,-0.0,0.0
ukb-b-18953,prot-a-371,-0.0,0.0
ukb-b-18953,prot-a-534,0.3010299956639812,0.44333774208088
ukb-b-18953,prot-a-546,-0.0,0.0
